五十嵐響子,今晩のご飯、何にしようかなー……
響子,お仕事上手くいったし、ちょっと奮発しちゃうのもいいかも……。この台本に一通り目を通したら、スーパーに寄って帰ろう……
島村卯月,こんにちは！
緒方智絵里,こんにちはっ
小日向美穂,こんにちは
響子,あっ！3人共、こんにちは！
卯月,響子ちゃん1人ですか？
響子,はい、そうですよ！どうかしましたか？
智絵里,ここ、ちょっと使ってもいいかな……？
響子,この部屋ですか？大丈夫ですよ！そういえば、3人でユニットを組むんでしたっけ？
卯月,そうなんです！でも、会議室が全部埋まっちゃってて……
響子,なるほど……。席を外した方がいいですか？
美穂,ううん！平気だよ。ちょっとうるさくしちゃうかもだけど……
響子,構いませんよ！じゃあ、あっちで台本読んでますね
卯月,ありがとうございます！この御恩は一生忘れませんね！
響子,そこまでではないですけど
智絵里,明日1日、絶対服従するねっ！
響子,そこまでではないですけど！？
美穂,そうだよね、24時間じゃ短いよね……
響子,そういう人間に見えてるんですか！？。ちょっと離れたけど……、あの3人、ちゃんと会議になるのかな……
卯月,はい！それでは第83回、ピンキーキュート会議を始めます！
響子,デビュー前なのに83回もやってるの！！？？
美穂,う、卯月ちゃん！回数が違うよっ！
響子,美穂ちゃんはちゃんとしてるのかな……？
美穂,まだ82回目でしょっ！
響子,まだ？？？？？
智絵里,2人共！第79回がベトナム戦争で中止になったから、実質81回目ですよっ！
響子,そんなに歴史があるの！！？？
卯月,え？
智絵里,え？
美穂,え？
響子,あっ！い、いや、だ、台本のことなんです！気にしないでください！。お、思わず声に出ちゃった……！。台本に集中しなきゃ……
卯月,では、今回の議題を、智絵里ちゃん！お願いします！
智絵里,パス！
響子,智絵里ちゃん！？
卯月,では美穂ちゃん！
美穂,えっと……、どんなお仕事をしたいか、とかをまとめておくのはどうかな？
智絵里,ようやくまともなセリフが出てきましたねっ！
響子,ブーメランなんじゃ……
美穂,智絵里ちゃんっ！ブメーランだよ！
響子,惜しい！
卯月,美穂ちゃんはどんなお仕事がしたいですか？
美穂,えっと……、テレビとかは緊張しちゃうから、ラジオとかやってみたいな
智絵里,さて、始まりました、ピンキーキュートのピンキーrrrrrrrrrｪｨﾃﾞｨｵ！！！
響子,何か始まった！？あと巻き舌すごっ！！！
智絵里,全国のヒマ人に送るこの番組の司会は、わたし、緒方智絵里と
響子,ちょっと毒があったような
卯月,ラジオ・音響技能検定１級や第一級陸上無線技術士の資格を持つ島村卯月がお送りします！
響子,セリフの半分くらい自慢でしたけど！？
智絵里,今回はゲストに、何の資格も持たないあの人をお呼びしていますっ
響子,別にいいんじゃ！？
美穂,こ、こんにちは！小日向美穂ですっ！
卯月,美穂ちゃん、3年間の世界ツアー、お疲れさまでした！
響子,設定が大それてる！
美穂,違いますっ、2年と9か月ですっ
響子,ツッコミがちょっとズレてる……
卯月,最初のコーナーはこちら！
響子,ラジオ、続くんだ……
智絵里,“昨日の天気予報”～！
響子,需要がない！！！！！誰が得するんですか！！！！！。罰があるの！？智絵里ちゃん、すごいの用意しそう……
智絵里,明日のお弁当のおかずが一品減ります
響子,罰がかわいい！！！
卯月,減ったおかずで事務所の恵まれないライラさん1人が助かります！
