モバＰ(以降Ｐ表記？お…おぉ～！）,…んぅ、朝か…
Ｐ,眠っ…暑くて寝苦しい分起きるのがかったるくなるよなぁ…。…うん？なんだまた芳乃が潜り込んでるのか？クソ暑いのに何で入ってくるかな。ほれ起きろ。仕事だぞー。遅刻したら財布の破壊者チィケイドにシバかれるぞー。おーい起きろって。起きろーほら起きろー。ザメハッ！起きろー。……あれ？。そう言えば芳乃は昨日から地方ロケに言ってる筈じゃあ…。…え？。えっ何？何が入ってるの何これ本気で怖い！
こずえ,……ふわぁ？
Ｐ,え
こずえ,…もぅあさー…？ねむいー…。すやぁ……
Ｐ,…。あービックリした。なんだこずえかぁ。アハハハハ！俺は遊佐をユサユサしてたって訳だ！こいつは傑作だ！ハッハッ！
こずえ,すぴぃ…
Ｐ,ハハハハ！。ハハッ……。何でいるの！？
こずえ,うるさいー…ねかせろぉー…。ふわぁ……おはよぉー…
Ｐ,おはよう。で、何がどうなってこずえがここにいるん？
こずえ,えっとねぇー…
Ｐ,うん
こずえ,んっとねぇー…
Ｐ,うん？
こずえ,おなかすいたー…
Ｐ,朝ごはんはすぐ用意するよ。こずえはちゃんと寮に自分の部屋あるだろ？てかどうやってウチに入った
こずえ,きょうはねぇー…こずえおやすみー
Ｐ,せやね。んでどうやってウチに入ったん？
こずえ,それでねー…あやもねー…はじめもねー…お仕事でいないのー
Ｐ,そっかそっか。んでどうやってウチに
こずえ,よしののけはいがないからー…こっちにきたのー…
Ｐ,謎が解明されねぇ。お休みだけどいつも遊んでくれる相手が居なくて退屈だから遊びに来たって事かな？
こずえ,えへー
Ｐ,俺は普通に仕事なんだけど
こずえ,あそんでー…？
Ｐ,これから支度してお仕事なんだよ。すまん
こずえ,あそんでー…あそんでよー…
Ｐ,また今度な。寮まで送ってってあげるから
こずえ,あそぺー…しゃちくー
Ｐ,誰だこずえに変な言葉覚えさせたのは。とりあえず朝ごはんにしよう。ほらこずえ。顔洗って着替えなさい
こずえ,おようふくー…ないよー…？
Ｐ,パジャマでここまで来たんかいっ
こずえ,んしょ…よいしょお…
Ｐ,着替え無いのに脱いでどうするよ
こずえ,んむー……ぬげない、ぬげないよー
Ｐ,ボタンくらい外しなさい餅巾着みたいになっちゃってる
ちひろ,おはようございま……どういう状況ですか
Ｐ,どう見えます？
ちひろ,濁った目つきのオッサンが幼気な子を頭に乗っけて出勤してきた事案
Ｐ,ハッハッハッ、てめぇ
こずえ,たかいたかーい…ひとがごみのようだぁー…
Ｐ,落ちるなよー髪の毛掴むなよー
ちひろ,まぁ頑丈な頸椎ですこと。で、何がどうなってるんです？
Ｐ,オフだけど遊び相手が居なくて寂しいんだそうです
こずえ,あそんでー…
ちひろ,こずえちゃん？悪いんだけど私もこの社畜もお仕事があるの
こずえ,えー…
Ｐ,こずえに社畜って言葉覚えさせたのお前か
ちひろ,普段はアヤちゃんや肇ちゃんマキノちゃんあたりがお世話してあげてますけど今日はみんないませんもんねえ。他に誰かお休みの娘はいなかったんですか？
Ｐ,居ましたよ
ちひろ,ならその娘にお願いすれば良かったんじゃないですか
Ｐ,志希と愛海と卯月が休みでした
ちひろ,仕方ないですね、こずえちゃん良い子にしていられます？
こずえ,おー…こずえはよいこー…
Ｐ,チャッチャと仕事なんか終わらせて遊んであげるからちょっとだけ我慢しててくれなー
こずえ,よいこだから、まってるのー…
Ｐ,だから一旦頭の上から降りてくれると嬉しいんだけどなー
こずえ,しらがー
Ｐ,ＩＴＥッ
こずえ,いたいー…？ごめんねー…かえすー…
Ｐ,白髪リリース！？
ちひろ,はいはい、じゃれてないで仕事してください
Ｐ,刹那で終わっちゃった
ちひろ,おいあんた！ふざけて事言ってんじゃあ…
こずえ,おしごとー…おわったー…？
Ｐ,おう。これで思う存分こずえと遊べるぞー
こずえ,おー…あそぶぞー
Ｐ,じゃ、そういう訳でこずえの子守してきますんで何かあったら連絡してください
ちひろ,ちょっ！
Ｐ,よーしこずえ。何して遊ぶ？
こずえ,いんがりつのそうさー…
Ｐ,ハッハッ、それは弄んじゃ駄目なやつだなぁ
ちひろ,…まぁこずえちゃんを１人にさせておくのも可哀想ですし、仕方ないですね。うわ、本当に終わらせてますよあのバケモノ
Ｐ,そう言えばこずえは普段どんな事して遊んでるんだ？
こずえ,えっとねえー…おにんぎょうあそびとかー…
Ｐ,あー、何だかイメージ通りだわ
こずえ,おようふくねー、いっぱい着せてもらうのー…
Ｐ,あー、こずえがお人形にされるのかぁ
こずえ,あとはねー…おにんぎょうつくったりー…
Ｐ,ドール作りの事かな？こずえっぽい気はするけど
こずえ,このまえはねー…はんぶらび、作ったよー…
Ｐ,男の子の人形遊びだねそれ
こずえ,ひとはみんなー…うんめいといういとにあやつられるおにんぎょうだよー…
Ｐ,ん？今何か言ったか？
こずえ,きのせいー
Ｐ,何か妙に不穏なセリフが聞こえたような気がするけど
こずえ,きのせいだよー…きのせいだぞー…
Ｐ,こやつ直接脳内に。何して遊ぶ？
こずえ,かくれんぼー…
Ｐ,おお、中々通だな
こずえ,もういいよぉー…
Ｐ,よくないよ。流石に事務所の中でかくれんぼや鬼ごっこをやる訳にも行かないしな…どこか出掛けるか？子供動物自然公園とか
こずえ,そとあついのー…やだぁ…
Ｐ,確かに今日も猛暑日だからなぁ…うーん、事務所の中で遊べるものを考えるか
こずえ,いりぐちにー…おとしあなー…？
Ｐ,誰かの犠牲の上に成り立つ遊戯はちょっと
こずえ,おにんぎょうあそびー…する…？
Ｐ,オッサンが幼女と人形遊びって凄惨な絵面にならないかな
こずえ,はんぶらびー…？
Ｐ,そっちの人形遊びなら自信があるぞ
こずえ,ばーざむもー、あるよー…
Ｐ,こずえはティターンズ派か
こずえ,もーいーかーい
Ｐ,結局かくれんぼ？
こずえ,ふわぁ…
Ｐ,おーい頼むから人の頭の上で寝ないでくれよー？
こずえ,だいじょうぶー…。すぴぃ…
Ｐ,即落ちじゃねーか。起きろこずえー。寝るなら部屋に連れて帰るぞー
こずえ,むにゃあ…
Ｐ,頭上からずり落ちてきた幼女によって塞がれる視界！
こずえ,なにしてあそぶのー…？
Ｐ,うーん…こずえはゲームやらないしなぁ…
こずえ,げーむ、できるよー…
Ｐ,そうなのか？何か意外だな
こずえ,このまえはねー…れなをすっぽんぽんにしたのー…
Ｐ,麻雀
こずえ,ぷろでゅーさーもー…あそぶー？
Ｐ,ハッハッ、メンツが２人足りないぞ
こずえ,むこうにねー…ちあきとみなみがいるよぉー…？
Ｐ,事務所屈指のゲームセンス皆無ズだよ。ビルドも最終回か…思ってたより綺麗に締められたな
こずえ,さいしゅうかいなのにー…じーにあすでなかったねー…
Ｐ,せやね。でも初期形態でラスボス倒すシチュエーションはやっぱり燃えるな
こずえ,らいしゅうからあたらしいのー…じろうー…？
Ｐ,ジオウだよ次郎じゃ中の人になっちゃうよ。よしこのままルパレンパトレンも観ちまうか
こずえ,みるぅー
Ｐ,こら人の膝の上でモゾモゾ動かないでくれ絵面がヤバい
早苗,あ゛っづいわねぇ…こんな時はキンッキンに冷えたのキュッといきたいところだけど…。って
Ｐ,え？
こずえ,んー…
早苗,…。事案？
Ｐ,アデュー☆
早苗,逃がさんぞ社畜っ！
Ｐ,やましい事はしてないけど誤解を解くのに１７分くらい掛かりそうだったから手っ取り早く逃げたでごぜーますよ
こずえ,おにごっこー…するのぉ…？
Ｐ,しないしない
こずえ,いーち、にーい…
Ｐ,しないっちゅーに。よし、じゃあ次はありきたりだけど本でも読んであげようか
こずえ,わーい
Ｐ,って言っても何かこずえが好きそうな本なんてあったっけかな
こずえ,はっぴーしゅがーらいふー…
Ｐ,あれはこずえにはまだ早い
こずえ,もーいーかーい…？
Ｐ,鬼ごっこなのかくれんぼなの？
こずえ,だーるーまーさーんーがー
Ｐ,新たなる選択肢が！。事務所の中でそんな本格的にドタバタ遊べんよ。常務に怒られてまう
こずえ,それならねぇ…
常務,うむ…今回は中々の力作だな。敢えて名付けるとすればミシロ専用ガーベラ・テトラといったところか
こずえ,じむしょのなかでー…あそんでいーいー…？
常務,っ！？な、なんだ突然頭の中に声が…！
こずえ,いいの…？いいっていえよー…
常務,せ、節度を守るというのならば許可しよう
こずえ,げんちはとったぞぉー…
常務,…。……。これがニュータイプというものか！？
こずえ,あそんでいいってさー…
Ｐ,せめて電話という文明の利器を使いなさいな
こずえ,それじゃあ、あそぶぞぉー
Ｐ,結局何して遊ぶん？
こずえ,がいこくかわせしょうこきんとりひきー…？
Ｐ,マネーゲームはこずえにはまだ早い
こずえ,じゃあー…かくれんぼー…？
Ｐ,前案からの落差よ
こずえ,いーち、にーいー…
Ｐ,もう始まってる！？
こずえ,もーいーかーい…？
Ｐ,せめてあと３０秒くれない？
こずえ,しょうがないなぁー。いーちー、にーいー、さあーんー…
Ｐ,よし今のうちに…程々に見つかり難い場所じゃないとな…
こずえ,ごーおー…ろーくー…しーちー…にじゅうにー…
Ｐ,意外とセコいねチミィ！？
こずえ,もーいーかーい…？。よぉーし…さがすぞぉー…
Ｐ,クカカ、流石に天井に張り付いているとは思うまい
こずえ,んー…
Ｐ,うん？
こずえ,おー…みつけたぞぉー…
Ｐ,卑怯！。それじゃあ次は俺が鬼だな。数えるぞー
こずえ,だーるーまーさーんーがー
Ｐ,自由にも程がある
こずえ,こーろーんー
Ｐ,でも遊ぶと言ったからにはちゃんと付き合うのが大人のルールだろう
こずえ,だー…
Ｐ,
こずえ,おー…びどうだにしないー…
Ｐ,クカカカ、全力で勝ちに行かせてもらうぞ
こずえ,ぶにー…
Ｐ,
こずえ,うごいたぞおー…
Ｐ,ゲホッ！ゴホッ…！な、なんつー顔を…！
こずえ,ぷろでゅーさーの、まけー…まけいぬー…
Ｐ,チミはさっきから姑息な手段を使うね
こずえ,かてばよかろうなのだぁー…
Ｐ,どうでもいいけどさっきの顔絶対他所でっちゃ駄目だからな？
こずえ,えー…
Ｐ,のあさんでも爆笑するわあんなの
こずえ,あっちむいてえー……ほいー
Ｐ,こんなスローなのに何故一度も勝てない
こずえ,折れたー…つるー…？
Ｐ,折り紙なんて何年ぶりだろ。…よし出来たリオレウス
こずえ,これとねー…これー…。あとこれとー、これー…
Ｐ,神経衰弱を１ターン目で終わらせるのやめて？
こずえ,つぎはなにするのぉー？
Ｐ,ハハッ、楽しんでくれてるなら何よりだ
こずえ,うんー、たのしいよー…？。ぷろでゅーさーはー…たのしいー？
Ｐ,楽しいよ。娘が出来たらこんな感じかなーって
こずえ,こんなおとっつぁんやだよぉー…
Ｐ,こずえってパパの事そんな呼び方？。あれ？そう言えばこずえのご両親って…
こずえ,よけいなせんさくはするなぁー…
Ｐ,…。……あれ？今何してたんだっけ
こずえ,あそぶぞぉー
Ｐ,何か凄く気になる事を忘れてるような…まぁいいか。でもそろそろ良い時間だし今日はこれくらいにしておかないか？また今度時間作るからさ
こずえ,よるはこれからだよー…？
Ｐ,夜は寝るのが子供のルールだろう
こずえ,こどもはねぇー…おとながおもっているよりずっとはやくこどもじゃなくなるんだよぉ…？
Ｐ,子供を子供扱いするのは大人の特権です。今日はもうお終い。ほら片付け片付け
こずえ,おうぼうだー…
Ｐ,クカカカ、何とでも言うがいい
こずえ,おにー、あくまー…しゃちくー…あいをしらぬかなしきものよー…
Ｐ,クカカカ、言葉はもう少し選ぶがいい。そんじゃ寮まで送るからおいで
こずえ,おー…
Ｐ,浮くな浮くな
こずえ,ぱいるだーおーん
Ｐ,人の頭に降りるな
こずえ,まじーん…ごぉー…
Ｐ,誰が超合金Ｚ製のスーパーロボットだ
こずえ,きょうはありがとうねー…ぷろでゅーさー…
Ｐ,なんの。俺も久しぶりにこずえとたっぷり遊べて良かったよ
こずえ,ぷろでゅーさーはぁ…ちいさいこがすきなのー？
Ｐ,年上のお姉さん派だよ
こずえ,えー…
Ｐ,何で意外そうな顔をする。まぁいいや。後は１人で大丈夫か？ご飯はちゃんと食堂でお願いするんだぞ？お風呂は肩まで漬かるんだぞ？寝る前に歯を磨くんだぞ？
こずえ,おとっつぁんかよぉー…
Ｐ,おとっつぁんみたいなもんだよ。プロデューサーなんだから
こずえ,えー…
Ｐ,前から気になってたけど何でみんなして俺がパパだと嫌がるん？
こずえ,そういううんめいなんだよー…きっとー
Ｐ,嫌な運命だなぁ
こずえ,ぷろでゅーさーはねぇ…これからもっともっとたいへんなうんめいがまってるのー…。もうすぐねー、とってもおおきなけつだんをせまられるひがくるんだよー…？
Ｐ,占いか何かかな
こずえ,そんなところー
Ｐ,大きな決断ねぇ…味噌か醤油かは毎回悩むけどなぁ
こずえ,とんこつしょうゆにきまってるー
Ｐ,意外とガッツリ系。んじゃ俺は帰るから。また明日なこずえ
こずえ,はぁーい…
Ｐ,帰るっ言っとるのに何故頭に乗っかる
こずえ,かえるぞぉー…いけいけー
Ｐ,こずえの部屋はあっちでごぜーますよ！
こずえ,おー…？
Ｐ,頭上からずり落ちたこずえによって塞がれる視界！。ふわぁ…さて、そろそろ寝るか。明日も仕事だ明後日も仕事だ寝たら朝が来て仕事に行かなきゃだアハハハハ。…よし、何も考えずに眠りにつこう。おやすみー。って俺しかいないけど
こずえ,おやすみぃ…
Ｐ,あ、いた。はいおやすみ
こずえ,すぴぃ…
Ｐ,ふわぁ…
こずえ,すぅ…
Ｐ,ぐぅ…
こずえ,すやぁ…
Ｐ,…
こずえ,ゆさぁ…
Ｐ,……。だから何故ここに！？
こずえ,うるせぇー…寝ろよぉ…
Ｐ,きゅう
こずえ,すぅ…
アッキー,終わりだ
優,アッキー？そろそろ新入社員の面接が始まるよー？
