最上静香,以下、静香
音無小鳥,以下、小鳥
静香,小鳥さんなら、そういうの詳しいかと思ったので……。未来の事は、ぎゅーっとしてワシャワシャとか言ってたじゃないですか
小鳥,うーん、こればっかりは人の趣味嗜好の話になっちゃうから。でも、そうねぇ……未来ちゃんはなんというか、ワンちゃんっぽい所があるというか。そういう所がプロデューサーさんの抱き枕欲をくすぐったのね、きっと
静香,む、無邪気さ……ですか
小鳥,だからって静香ちゃんが真似しなくても良いのよ？静香ちゃんには、静香ちゃんの良さがあるんだから
静香,例えばどんなのですか！？
小鳥,おぉう、積極的ね……？
静香,あ、えっと……
小鳥,ふふ、別に良いのよ？もっと素直になっても
静香,素直になんて……
小鳥,もう、意地っ張りなんだから……。……そうだ！折角だし、プロデューサーさんに聞いてみましょ！
静香,ええっ！？ほ、本人に聞くんですか？
小鳥,モッチロンよ！その人の趣味ほど強い武器はないわ！。まぁ、実際に経験があるわけじゃないんだけど
静香,武器……
小鳥,話を聞くだけよ。聞いておけば、いざって時に使えるって思わない？
静香,い、いざって時……
小鳥,……ベッドに、インよ！
静香,！む、無理です！そんな事！
小鳥,良いのー？未来ちゃんみたいにぎゅってされたいんじゃないのー？
静香,そ、それは……その。……わ、分かりました。お願いしても良いですか？
小鳥,ええ、期待して待っててね？
ミリP(以下、P),ただいまー
小鳥,お帰りなさい、プロデューサーさん！
P,音無さん、ただいまです
小鳥,未来ちゃんのレッスン、どうでしたか？
P,バッチリでした！未来、今日はいつになくやる気があって……
小鳥,これは、噂の抱き枕効果ですかな？
P,もう……単純に吹っ切れただけだと思いますけど
小鳥,ふふ、そういう事にしておいてあげます
P,それで、仕事の方はどうですか？片付いてない所があれば、俺手伝いますけど
小鳥,良いんですか？午後からまたレッスン、見に行くんですよね？
P,でも、音無さんが困ってるなら見過ごせませんし。最近、ますます書類の量増えてますよね？
小鳥,そうですねー……人数が増えたから、当然といえば当然なんですけど
P,それなら、やっぱり俺も手伝いますよ。書類下さい
小鳥,プロデューサーさん……ありがとうございます！。ご褒美に、小鳥ちゃん一日抱き枕券をですね……！
P,それは結構です
小鳥,もう、いけずぅ。そういえば、結局未来ちゃんの事は抱き枕にしてましたけど。他の子の事はどう思ってるんですか？
P,他の子、ですか？
小鳥,例えば……静香ちゃんとか
P,それ、絶対に静香の前で口にしないでくださいね
小鳥,嫌なんですか？
P,嫌っていうか……静香、そういう事言うとすっごい怒ってくるんですよ。不用意な発言には違いないので、静香の前では黙ってようかなと
小鳥,ふーん……？で、本音は？
P,本音って……
小鳥,まぁまぁ、ちょっとした雑談ですから
P,なんか納得いきませんが……まぁ、そのくらいなら。って言っても、静香が未来と同じ感じに抱き枕にしたいかと言うとそうでもないんですよね
小鳥,静香ちゃん、髪の毛長いですからねぇ……それじゃ、手櫛とか？
P,ですね、抱き枕っていう感じじゃない気がしますけど
小鳥,千早ちゃんといい、静香ちゃんといい……髪の毛サラサラそうで羨ましいです
P,長髪の強みですねー……
小鳥,……それじゃ、髪の毛に対して他に何かないんですか？
P,何か……って？
小鳥,顔埋めて思い切り息吸い込みたいとか
P,静香に絶対聞かせないでくださいよそれ！俺死ぬじゃないですか！！
小鳥,別に、プロデューサーさんがそうだって言ってるわけじゃ……。……もしかして、図星ですか？
P,ぐぅ……ッ！この鳥、誘導尋問か……！
小鳥,フフ……これが大人のオンナの手管なのよ、ボウヤ……なーんて！
P,まったく、関係ないのにヒヤヒヤさせられたじゃないですか
小鳥,実際そう思ってるんですか？
P,まぁ、多少は。女の子の匂いって、男には再現出来ませんし
小鳥,よし、これは律子さんに報告しておこう
P,やめてくださいね！本当に！
静香,……勢いで、ついあんな事言っちゃったけど。はぁ……どうしよう
北沢志保,以下、志保
静香,志保……まぁ、そんなところ
志保,……困ったら、私達にも話しなさいよ
静香,心配してくれてるの？
志保,しっ……別に、そんなんじゃないわ。思い詰めた挙句身体壊しましたー、なんてアイドルとして失格だから
静香,そうね……分かった、ありがとう志保
志保,分かれば良いのよ
静香,……でも、これ人に相談するような事じゃないんだけど
志保,そうなの？
静香,……志保、それじゃダメ元で聞いてみても良い？
志保,良いわよ、何？
静香,抱き枕になるにはどうしたらいいのかしら
志保,…………
静香,志保？
志保,はい、これ。水曜日と日曜日はお休みだから、気を付けてね
静香,医者を紹介してほしいんじゃないわよ！
志保,……良いのよ？無理しなくて
静香,憐れんで欲しいわけでもないわよ……
志保,……本気で言ってるの？
静香,本気よ
志保,……話が全く読めないんだけど。ま、良いわよ。暇つぶしくらいにはなりそうだし
静香,良いの？
志保,演技のイメトレに使えそうじゃない？そういう架空の状況って
静香,現実で抱き枕になるなんて言えないわ……
志保,……でも、考えてみると案外思いつかないのね
静香,そうなのよ。正直、男の人の好みなんて分からないし
志保,……とりあえず、身体の柔らかさとかはどうかしら
静香,柔らかさ？柔軟性とか、そういうの？
志保,具体的に言うと胸とか
静香,…………
志保,…………
静香,……や、柔らかい方がいいとは限らないわよ
志保,そうかしら。男の人って、基本そういうの好きじゃない？
静香,うぅ……確かに、そうだけど
志保,ちょっと。そこまで落ち込む事ないでしょ？
静香,でも……折角なら、気持ちよくしてあげたいじゃない？
志保,…………
静香,ちょっと、ひかないでよ！
志保,大したプロ根性ね……真似したいとは思わないけど。……でも、他に考えるとしてもなかなか浮かばないわね
静香,今から胸をすぐに大きくするのは難しいし……どう思う、志保？
志保,……身体ってより、やっぱり精神よりの方が良いかもしれないわね。演技って感覚だと、そっちの方が強いと思うし
静香,精神……っていっても、どう変えるの？
志保,……例えば、呼び方とか？
静香,呼び方？
志保,男の人って、そういうのにグっとくるらしいし。そうね……例えば、お兄ちゃん♪とか？
静香,！む、無理！絶対無理！
志保,そこまで……？それなら、ハニーとか
静香,……志保、ひょっとしてそうやって呼んでみたいの？
志保,呼んでみたいって誰をよ
静香,例えば、プロデューサーとか
志保,っ！？
静香,へぇ～？
志保,抱き枕志望のアイドルに茶化されるなんて思わなかったわ……！
静香,からかってくるからよ、自分は出来ないのに
志保,…………
静香,志保？
志保,出来るわよ、当たり前でしょ
静香,意地張らなくて良いのよ？
志保,……お兄ちゃんの背中、意外と大きいんだねー……♪
静香,！？
志保,言えるわ、私はプロだから
静香,…………
志保,静香は出来ないの？
静香,で、出来るわよ……こほん。……に、兄さん？
志保,まだまだね
静香,……ハニー、ぎゅって抱きしめてほしいの！
志保,！？
静香,ふ、ふふ……ハードルとしては、こっちのが高いんじゃない？
志保,な、何を……！
P,……さて、次は静香達のレッスンを見るんだっけ。喧嘩とかしてないと良いんだけどなー。二人とも、喧嘩とかしてな――
静香・志保,ハニー、だーいすきなの！アハッ♪
P,…………
静香,……えっ
志保,……ち、違うんですプロデューサーさん
P,……ま、また後で来るな
静香,……こんなダメダメな私は
志保,……穴掘って、埋まっておきますぅ
静香,ただいま、戻りましたー……
小鳥,お帰りなさい、静香ちゃ……どうしたの！？
静香,小鳥さん……いえ、なんでもないです
小鳥,大丈夫……？
静香,……はい、大丈夫です。それで小鳥さん、プロデューサーから聞けました？
小鳥,おっ、興味津々ね……ええ、聞けたわよ。っていっても、具体的にどうするかが問題なのよねー……
静香,具体的に、ですか？
小鳥,ええ。プロデューサーさん、髪の毛が気になるっぽいのよ
静香,髪の毛……？私のですか？
小鳥,ええ。長くてサラサラな髪の毛って、やっぱり憧れがあるみたい
静香,…………
小鳥,気になっちゃった？
静香,……はい
小鳥,ふふ……。ま、髪の毛云々よりも、その次が問題なのよねー。具体的にギュってしてワシャワシャしたい！とかなら、その通りで良いと思うんだけどね？。長い髪の毛をアピールするとなると……静香ちゃん、何かない？
静香,髪の毛をアピール……。……そういえば、この前百合子が読んでた少女漫画
小鳥,漫画？
静香,はい、あす……なんとか
小鳥,あすなろ抱きの事かしら？
静香,あ、確かそんな名前だったと思います
小鳥,なるほど……アレなら、確かに髪の毛が目の前に来るわね。後ろからギュってされるの……良いわね！
静香,…………
小鳥,あれ、気に入らなかった？
静香,……それだと、その
小鳥,？
静香,……いえ、大丈夫です。それがいいと思います
小鳥,……静香ちゃん
静香,小鳥さん？
小鳥,どうせなら、自分のやりたいようにやっちゃいなさい
静香,えっ、良いんですか？
小鳥,女の子だもん、多少欲張ったって怒られないわ
静香,小鳥さん……！
小鳥,……頑張ってね、静香ちゃん！
静香,……はい！
P,……よし、これで良い感じかな
静香,……あっ、プロデューサー
P,おう、静香。お疲れ様
静香,まだ残ってたんですか？
P,ああ、ちょっと企画を思いついちゃって
静香,後でまとめるんじゃダメなんですか？
P,こういうのはな、思いついたうちにまとめといた方が色々都合良いんだよ。ま、後で考えてダメならそれはそれだし
静香,そうなんですか……
P,静香もちょっと参加してもらうかもしれないから、楽しみにしててくれよな
静香,……今日は、もう帰るんですか？
P,ああ、音無さんも先に帰っちゃったしな
静香,そ、そうですか……
P,静香？何か用事があったのか？
静香,いえ、時間を取らせるわけには……
P,……静香？言いたい事があるなら、今言ってくれても。大丈夫、レッスンルームでのハニー発言は皆には黙っておくから
静香,そ、そんなんじゃありません！
P,違うのか！？てっきり、アレが言い出しにくいのかと思ってたんだが
静香,まったく、そんな訳ないじゃないですか……いや、広められたくないのはその通りですけど。プロデューサー、この後時間ありますか？
Ｐ,時間？あるよ、後は帰るだけだから
静香,……それなら
Ｐ,静香？
静香,こ、こっちに来てください！。…………
P,……なぁ、静香
静香,な、なんですかプロデューサー
Ｐ,なんで俺と静香でベッドに入ってるんだ
静香,……抱き枕
P,抱き枕？。……えっ、静香あれだけ文句言ってたじゃないか！
静香,わ、私が嫌だとは言ってませんから！
P,そ、そう言われてもな……
静香,やっぱり、私を抱き枕にするの嫌ですか？
P,いや、そんな事はないけどさ。それならなんで、静香はこっち向いてくれないんだ？嫌なら、やめても……
静香,プロデューサー、髪の毛が気になるんですよね？。こうすれば、髪の毛が顔の前に来るかなって
P,……誰から聞いた？
静香,小鳥さんから
P,あの鳥め……早速喋ったな
静香,…………
P,で、でも本当に良いのか？
静香,い、良いって言ってるんだから早くしてください！
P,そ、それじゃ……
静香,あっ……
P,……静香、やっぱり身体細いな
静香,……やっぱり、ボリュームがある方が良いんですか？
P,まぁ、それも一つの持ち味だけどな。でも……うん、細いのも十分魅力的だと思うぞ？
静香,あ、ありがとうございます
P,…………
静香,……プロデューサー、ちょっと手どけてもらえますか？
P,やめるか？うん、それがい――。はい？
静香,……やっぱり、正面からの方がいいです
P,……なんで？
静香,プロデューサーの顔が見えるじゃないですか。……プロデューサーは、髪の毛の方が気になるかもしれませんけど
P,静香がこんな事してくる時点でお腹いっぱいだよ！
静香,♪
P,……はは、なんだか意外だったな
静香,意外？
P,静香、こういうの嫌いだと思ってたからさ。未来にした時も怒ってたじゃないか
静香,そ、それは……その。……しかったから
P,？
静香,なんでもないです！
P,わ、悪い
静香,未来と比べて、どうですか？
P,未来と？話すような事でもないと思うんだが……
静香,…………
P,未来と比べると、妹って感じはしないかなとしか
静香,それなら……こほん。は、ハニー？
P,無理しなくて良いって。静香には静香の良さがあるんだから、な！
静香,……もう、カッコつけたつもりですか？
P,ありゃ、ダメか？
静香,いえ、それくらいの方が頼もしいです
P,……悪い、そろそろ眠くなってきた
静香,良いですよ、そのまま寝ても――。疲れてたのかしら……。……そうだ、今なら。……ど、どっちにしよう。……こんなチャンス、二度と来ないかも。――――！。……お、おやすみなさい！。……♪
小鳥,おはようございまーす
P,来たな、諸悪の根源め
小鳥,何のことか分からないピヨ
P,静香に抱き枕の事話しましたね……まったく
小鳥,まぁまぁ……静香ちゃん、どうでした？
P,……話すの気が引けるんですけど
小鳥,良いじゃないですか、ほら！
P,……俺、勘違いしてました。静香だって14歳なのに。甘えたがりの年頃だったの、すっかり忘れてました
小鳥,甘えさせてあげられました？
P,アレで甘えられたのかは謎ですが……どうだろ
志保,おはようございます
小鳥,おっ、志保ちゃんに……噂の静香ちゃん！
P,二人で来るなんて珍しいな、どうかしたのか？
静香,べ、別になんにも
P,？
静香,――っ！別に、なんでもないです！
P,あ、ああ……？
志保,朝からずっとこうなんですよ、顔赤くして。プロデューサーさん、原因分かりませんか？
P,原因？さぁ……
小鳥,抱き枕の刺激が強すぎたんじゃないですか？
志保,……は？
静香,ち、違いますよ小鳥さん！
小鳥,えっ、何か違うの？
静香,……そ、その
小鳥,――えっ？
静香,言わないでください小鳥さん！
P,！？
志保,なんで唇を抑えたんですかプロデューサーさん
P,い、いやなんとなく
静香,と、とにかく！今日はみんなとリハーサルしてきますから！
P,おう、頑張ってこい！
静香,……はい！行ってきます！
小鳥,良いなぁ、良いなぁ……
P,なんで小鳥さんは沈んでるんですか
志保,それでプロデューサーさん、抱き枕ってどういう事ですか？
P,……し、志保。まずは落ち着いて話し合おう、な？
志保,急に抱き枕になりたいとか言い出したと思ったら……そんな事だったなんて。詳しい話、聞かせてもらいますからね
P,……お、お手柔らかに
静香,～～♪
