？,Pさん、今夜は何時ぐらいに帰れそうですか？本当ですか？じゃあ、ご飯を用意して待ってますから。Pさんが帰ると聞いてヌーベルいちごパスタを……え？急に無理になったんですか？。プロデューサーちゃん、プロデューサーちゃん、ゆいと一緒にカラオケに行こうよ！。ぴ、P！……その、今晩なら開いてるからな。か、勘違いするなよ！あ、アニメの消化がまだなんだから……。Pちゃま……こ、今晩は…いいんですのよ……。Pさん……お夕飯だけでなく、ナナも食べて……え？誘い方が古い！？。キスだけじゃ足りない？……ふふっ、キスマークをつけていいのはあなただけよ……。勇戦奮闘でもって必ずや皇国の不朽を勝ち取らん！
志希,プロデューサー好きぃ！
モバP,今回は志希P。以下P
志希,アタシの方がプロデューサーを好きなんだから！
P,俺の方がさらに志希を好きなんだぞ！
志希,むーっ！
P,むーっ！
P･志希,……愛してるよ
ちひろ,わかりましたから仕事してください！
P,おらっ！そろそこ学校だぞ！
志希,いやーん、寝起きの女の子の素顔を見ナイデェ
P,……後半、演技が棒だったぞ
志希,むぅ……やっぱこういう演技は無理だわ
P,普通にドラマとかには出てるのになんでだろうな？
志希,にゃはは……それは愛する男の人の前だからだよ
奏,あら？……志希はまた来てないの？
美嘉,本当に……もう
フレデリカ,なら、プロデューサーに知らせる？
周子,……その必要はないんじゃない？
P,待たせたな！生きのいいぴちぴちの女子高生だ！
志希,いやぁん、志希ちゃん、Pに食べられちゃう？
P,だから、お前が学校を卒業するまで待つって言ってるだろ？
志希,そうだった、そうでござんした……すっかり忘れていたにゃあ
P,お前……三日に一度はそれをいわせているのを忘れるなよ
志希,にゃはは――
奏,ふぅ……私もPさんにキスしてもらいたいわ
フレデリカ,フレちゃんもイイ人が欲しいなぁー。あ、ガチャしたら降りてこないかな？
周子,そんなんで降りて来て嬉しいの？
フレデリカ,フンフフーン
美嘉,…………
奏,……美嘉
美嘉,え……はっ、それよりも最近は志希の失踪も無くなったけど、何か心境に変化でもあったのカナ？
志希,ふふーん、志希ちゃんは全力で逃げてますよー
P,コイツがどこにいようが絶対に見つけ出すし、逃がさないだけさ
志希,敵わないよ、これだも～ん
P,ひっつくな！暑苦しい！
美嘉,……
志希,でもね……
奏,ところで、今日は志希の誕生日だけど……
志希,うんうん、今年……も18歳になりました！！
フレデリカ,たしか7回目だっけ？実装がフレちゃん達より遅かったもんね
周子,メタい……
志希,まぁいいじゃん。今年は、総選挙のお祝いもあるからね～
奏,なんだかんだで、今はあなたが一番人気だものね
志希,にゃはは、周子ちゃんには負けてるよ～
周子,でも、一度シンデレラになってると、50位以内もキツいのよねぇ
志希,やばっ……
奏,地雷踏んだ！
かな子,みんなー、誕生日ケーキだよー
愛梨,うさぎ亭がお休みでしたから、私とかな子ちゃんで焼いてきました！
志希、奏,……
かな子,えっ？えっ？
愛梨,ど、どうしたんですかぁ？
志希、奏,空気を変えてくれて
フレデリカ,ありがとうね、杏ちゃん
杏,もう……急かせるの大変だったんだよ
周子,貸し一つで我慢してあげるか……美嘉も心配だしね
美嘉,
フレデリカ,それじゃあ、改めて
みんな志希,ちゃん
美嘉,……
なお、美嘉の件は過去作にてのゴニョゴニョは年齢指定,R18
