大和亜季,――という相談をプロデューサー殿から受けたであります
野々村そら,無事ではっぴーはっぴー
斉藤洋子,むしろ、今までどうやって身を守って来たんだろう。あんなに可愛いのに
桐野アヤ,とりあえず、プロレスでも教えるか
上田鈴帆,この防弾着ぐるみをあげるばい
松尾千鶴,文香さんを闘ドルや芸ドルの道に誘わないでください。そもそもこういうのって、早苗さんや有香さんが適任じゃないですか？あと真奈美さんとか
亜季,確かにそれは私も思いましたが、プロデューサー殿が私に相談したのは、きっと何かしらの理由があると考えたのであります
洋子,そもそも護身術って、何を教えるつもり？
亜季,とりあえず、自衛隊格闘術。その後にクラヴ・マガ、システマ、フェアバーンシステム、アメリカ陸軍格闘術を一通り教えるつもりであります
千鶴,やっぱり人選間違ってますよね
強盗が店員を脅すんじゃない。店員が強盗を脅す国なのだ！,事実
亜季,参考までに聞きたいのでありますが、みんなはどうやって自分の身を守っているのでありますか？
アヤ,相手が2人までだったらプロレスでどうにかなる
洋子,一応、学校では護身術を習いましたけど、あまり使わなかったですね。走って逃げてました
鈴帆,着ぐるみの中に籠っていたばい！
そら,そらちんぱわー(暴力)で
千鶴,墨汁でカッチカチに固まった筆を秘孔に突き刺して、ひでぶっ！って言わせてました
亜季アヤ洋子鈴帆そら,それはやり過ぎ
千鶴,え…ひどくないですか？
そら,そもそも悪漢なんて、道端に転がってる手榴弾をぽいしてどかーん！すれば解決！
亜季,知識の無い人間に手榴弾を扱わせるのは危険であります。下手すると自分の手が吹き飛んでしまうのであります
鈴帆,毎年やってた学校の手榴弾講習ば思い出したばい。ぴ・にゃな
千鶴,ぴ
洋子,にゃ
そら,こ
亜季,ら
アヤ,た
亜季,そもそも地元とは違って、手榴弾なんて転がっていないであります
アヤ,懐かしいな。学校帰りに拾って遊んでたっけ
洋子,結局、誰もぴにゃこらたの約束守ってなかったよね～
千鶴,私はちゃんと守ってましたよ！
修羅の国の民は3人集まると,学生時代に通学路で手榴弾をいくつ拾ったか
アヤ,実は…とんでもないことに気づいてしまった
千鶴,え？何ですか？
アヤ,こっちに来てから、一度もヤクザ関連のニュースを聞いていない
亜季,発砲事件も聞かないであります
洋子,手榴弾も全然転がっていないですよね
そら,不良ややんきーは見かけるのにね
千鶴,人口は地元の2.5倍なのに…
鈴帆,ここまで徹底された情報規制。東京。やっぱり恐ろしい街ばい
島村卯月,こ…これは、ツッコミ待ちなんでしょうか？
洋子,……。あ、これにしようかな……
拓海,洋子さん
洋子,ひゃっ！……あ、拓海ちゃん！？ビックリした～
拓海,ごめんごめん。何読んでんの？
洋子,事務所に置いてあったバイク雑誌
拓海,原付でも買うのか？
洋子,うん。免許取ったしね。オススメとかある？
拓海,原付かぁ。私より里奈に聞いた方がいいかな
洋子,そっか。あ。そういえば、走らないエリアとかある？
拓海,え？
洋子,ほら、暴走族だし。そういうところは避けないと…
暴走族は決してヤクザ事務所の近くを走らない。,五月蠅い
他にも一般市民がトラックで暴走族を轢き飛ばしたりする,事実
拓海,パネェな！修羅の国！
千佳,へ～んしん！愛と正義のプリティーアイドル！キュアキュート！
奈緒,おお。振り付けまで完璧だな
比奈,あの変身シーンはクオリティ高いっすからね。私も何度もリピートするッスよ
奈緒,それに衣装もこれよく出来てるな。誰に作ってもらったんだ？
千佳,心さんが作ってくれました
奈緒,さすが346プロ服飾製作部自称
比奈,悪役がいれば、ヒーローショーが出来るッスね
奈緒,悪役かぁ～。着ぐるみとかで作れるかもな
鈴帆,着ぐるみと言えば、ウチに任せんしゃい！
比奈,ありがたいッスけど、そのアニメ見たことあるんスか？
鈴帆,ウチもアニメは見るばい。日曜朝の特撮魔法少女から深夜の日常ものまで
奈緒,へぇ～そうなんだ。意外。何見てたの？
鈴帆,ブラックラグーン
奈緒比奈,え？
鈴帆,ブラックラグーン
修羅の国の民における日常アニメとは、ブラックラグーン,日本編を除く
家の押入れを探せば、ロケランの一丁や二丁は多分見つかる街だ,事実
千佳,ブラックラグーン。どんなアニメなのかな？
奈緒,5.6年後ぐらいに見せてやるよ
泰葉,アヤさん……ですよね？
アヤ,エ？誰ノコト？人違イジャナイデスカ？
こずえ,アヤ～！このおにんぎょうさんほしい～
アヤ,こずええええええええええええええええええええええええええ！！！
泰葉,やっぱり、アヤさんじゃないですか
アヤ,…………悪いか？
泰葉,え？
アヤ,だって、おかしいだろ？姐御肌で格闘技好きを公言するアタシがドール好きだなんて
泰葉,そ、そんなおかしくないですよ！可愛いじゃないですか！私だって、同じ趣味の人を見つけられて嬉しいんですよ！どうして隠すんですか！？
アヤ,だってお人形さん欲しかったんだもん！地元じゃ、持ってたら男子たちのイタズラでバービー人形が暗黒街の娼婦になっちゃうもん！シルバニアファミリーが血と硝煙に塗れたマフィアになっちゃうもん！
泰葉,なにそれ逆に見てみたい
こずえ,“あんこくがいのしょうふ”ってなに？“ちとしょうえんにまみれたまふぃあ”って、どんなおうち？
Ｐ,
だからお母さん銀行は物凄く重要なのだ,これは本当だった
Ｐ,うっひょー！アイドル共ぉ！身体検査性的な意味で
早苗,Ｐくん
Ｐ,
早苗,まだ懲りないみたいね。今日もシメなきゃ駄目かしら？
Ｐ,ひ、ひぃぃぃぃ！誰か助けてええええ！
亜季,待つのであります！早苗殿！
洋子,待ってください！早まらないでください！
