姫川友紀,…行くよ、茜ちゃん
日野茜,いつでも来て下さい、友紀さん！
若林智香,……ッ
友紀,これが！あたしの生み出した、最強の魔球！
茜,っ！…来るっ！！
智香,すごい…！友紀さんの振りかぶった右腕が、光って…っ！
友紀,大・アイドルボール、３２号！っっっだーーーッ！！
茜,…なんのっ！打ち返して、みせます！！
智香,くぅっ…！？茜ちゃんのバットからも、火が…！
友紀,うおおおおおぉ。おりゃっ
茜,あっ
智香,…あ
友紀,あー…。やっちゃった…
智香,…見事な池ポチャ
茜,ホールイン・ワン！ですね…
友紀,…いやぁ、追い込んだと思ったんだけどなー…
智香,ものすごいすっぽ抜け方しましたね
友紀,おっかしいなぁ…昨日は上手くいったのに
茜,なんと！昨日完成した魔球だったんですかっ！！？
友紀,そりゃーもう、できたてエボレボ滑り込みセーフだよっ
智香,ジェネレーションはどこへ…？
友紀,本当なら、ぎゅらりゅるぅぅ！…って曲がる、スーパー変化球だったんだけど
茜,じゅらるー…ですか！？
友紀,違う違う！ぎゅらりゅるぅぅぅ！って
智香,ぎゅらりゅる？
友紀,良いところだったのに、ごめんね茜ちゃん
茜,いえいえっ！熱い勝負でした！！
智香,茜ちゃん、２０球ぐらい粘ってたもんね
友紀,うん、そのぐらい。あんなに粘られるとは、思ってなかったよ…
茜,勝負はお預けですね！今度は、仕留めてみせます！！
友紀,負けないからねっ！。智香ちゃんも、キャッチングの上に実況までこなすなんて…超ファインプレーだったよ！
智香,本当ですか？ありがとうございますっ♪
茜,すぐ後ろから聞こえる、臨場感に溢れた実況…素晴らしかったですっ！
智香,こういう時、解説役がいないと締まりませんからねっ！
友紀,うんうん、良い仕事してたな～
茜,友紀さんの右腕、本当に光ってるみたいでした！！
友紀,でも…キャッチャーマスク付けっぱなしで、大変じゃなかった？
智香,大丈夫ですよ？平気です！。それに、例え遊びでも、安全の為に付けなきゃ駄目だって、プロデューサーさんに言われたので☆
友紀,ほへー、マジメ…
智香,ファウルチップが目にでも当たってみろ、超痛いんだぞって
茜,なるほど！
智香,俺は眼鏡が割れてちょっと腫れた程度で済んだけど…女の子なんだから、気を付けるに越したことはないって言われました！
茜,実感が伴っていますねっ！
友紀,痛そー。…さて。こうやって話してる間にも
智香,噴水に落ちたボール、ですね
友紀,さっきからこうして、バットで引き寄せてみてる訳だけど…
茜,けっこう大きい沼ですからね…
智香,…噴水だよ？茜ちゃん
友紀,ふんっ！……ふんぬーっ！。…うー
茜,取れませんね…
智香,あとちょっとなんですけど…
友紀,こんなところで、あのボールを失う訳にはいかないんだ…！
茜,いっそ、ダムの中に入った方が早いのでは…？
友紀,茜ちゃん、ダムじゃないから。噴水だからこれ
智香,…アタシにやらせてもらえませんか？
友紀,と、智香ちゃん？気を付けてね？
智香,こう、バットの頭の方を握って…。優しーく、撫でるようにして…
友紀,…撫でる？水面をだよね？
茜,おぉっ！玉に触れました！
友紀,玉って
智香,後はゆっくり…手を引いて…
茜,あぁっ惜しい！ズルッとズレてしまったーっ！
智香,もう一回…ふっ……んしょっ……！
茜,ファイトです！智香ちゃん！
友紀,…ねぇ。さっきからその実況、大丈夫なの？
茜,はて？何がでしょうか
友紀,何っていうか…ナニっていうか…
茜,あぁ、それなら大丈夫です！普段の友紀さんの方が、よっぽど無自覚に振り撒いてますからっ！
友紀,無自覚ってどういうこと！？何を振り撒いてるって！？
智香,もう、少し……！。きゃ…
友紀,えっ
茜,わっ。うわーーっ！落ちたー！？
友紀,あっちゃー…
茜,智香ちゃんまで池ポチャです！
友紀,智香ちゃーん、大丈夫？
茜,…
友紀,…
茜,むむ？
