和久井留美,和久井留美よ。趣味は仕事…と言いたいけど、昨日仕事を辞めたばかりだから、趣味すらない女よ
留美,そんな私にアイドルを勧めるだなんて…君、悪趣味ね。こうなったらヤケだわ。とことん付きあってあげる
Ｐ,なんて、言ってた頃が懐かしいなぁ……
留美,？。何かしら、いきなり溜息なんて
Ｐ,いえ、何でもないですよ……それより和久井さん、今日はオフですよね？
留美,ええ、そのつもりだったのだけど……正直、オフの日に何をすればいいのかわからないの
Ｐ,えっ
留美,冗談なら、良かったのだけれどね。秘書の仕事をクビになって、それからすぐに君にスカウトされて。最初は歌やダンスのレッスンやら、営業周りやらで忙しくて。ちょっと慣れてきたと思ったらいきなりLIVE……と言っても、デパートの上の小さなものだったけれど。その後何回かLIVEバトルをして……オフの日も色々考えることが多くなって。今日は息抜きでアイドル業のことを忘れよう……って思ったら何をすればいいのかわからなくなっちゃったわ
Ｐ,ホントすんません
留美,いえ、別にいいのよ。コレはコレで充実してる……と言えるしね
Ｐ,はぁ…
留美,それで、事務所に来てみたのだけれど……他のみんなは？
Ｐ,今日は川島さんと一緒にレッスンの予定だったんですけど……急用が入っちゃったみたいで
留美,なるほど……それじゃ、君は今は暇なのね？
Ｐ,ええ、まぁ
留美,それなら、ちょうどいいわ。ちょっと付き合って欲しいところがあるの
Ｐ,ここ、ですか？
留美,意外かしら？
Ｐ,ええまぁ……
留美,確かに、そうかもしれないけど……以前、貰った子が寂しそうにしてるのよね
Ｐ,あ、そういえば誕生日プレゼントに貰ってましたね
留美,きらりちゃんに、とびっきり大きいのをね
Ｐ,ハハ…
留美,それで私一人でこういう店に入るのもアレだし、君に一緒に選んで欲しいなって
Ｐ,それで、俺にですか……しかし、こういうのは女の子と一緒に選んだ方がいいんじゃ？
留美,何を言うのよ。私にあんな衣装を着せてるクセに
Ｐ,それは……その
留美,それに、こういう可愛いのを選ぶのは慣れてるでしょ？
Ｐ,え？
留美,私、見てたのよ？。杏ちゃんには、ぬいぐるみ。蘭子ちゃんには、天使の羽をモチーフにしたアクセサリー。凜ちゃんには、桜の花のピアス。莉嘉ちゃんには……確か、その携帯に貼ってあるシールとお揃いのものだったかしら
Ｐ,………は、ハハ…
留美,ね。期待してるわよ
Ｐ,というわけで、一緒に選ぶことになったけど
留美,あ、ネコの……。……。……ニャー
P,いざ店内に入ってみると、無事に上手く仕事のことも上忘れられてるみたいだ
留美,……なによ？
P,いえ、何でも
留美,……あ、コレ
P,お、どうやらそのぬいぐるみ、ペアになってるみたいですよ。そっちが花嫁で
留美,君が今持ってるのが、花婿役というわけね
P,そうみたいですね
留美,……そういえば、もうそんな時期だったかしら
P,ジューンブライド、ですか
留美,ええ……。昔の友達がもうすぐ結婚するとか言ってて……
P,おお、おめでたいですね
留美,確かにそうなのだけれど……色々、考えちゃって
P,？
留美,私は、これからどうなるのかしらって
P,おお…
留美,秘書をやっていた時も、仕事漬けであまり結婚のことは考えていなかったけれど。アイドルなんて始めちゃったら、さらにわからないじゃない？
P,うーん……でも、和久井さんなら相手なんてきっとすぐに見つかりますよ
留美,そうだといいのだけれど
P,美人ですし、気配りも出来ますし……それに、万が一行き遅れたら俺が責任とりますよ……とか言っちって
留美,あ、それいいわね
P,え？
留美,というか、もう今すぐでもいいんじゃないかしら？
P,え？
留美,式も、出来れば6月以内がいいと思うのだけれど……今すぐ予約して間に合うのかしら？
P,ええっ！？
留美,あ、洋式にすること前提で話してたけど……君はどちらの方が好み？
P,いや、あの
留美,ああ、でもその前に……ご両親への挨拶が先だったわね。いけない、早とちりしちゃったわ
P,いや、だから
留美,そうね――プロデューサー君、君の実家の連絡先を教えてくれる？
P,和久井さん！？
留美,――冗談、よ。そこまで驚かないでちょうだい
P,は、ハハ……ですよね。目がマジに見えた
留美,……でも、本当にそうなった時は…
P,……え？
