前作はこちらです。,これを読まなくても本作を楽しんでいただけると思います
菜々,あなたがナナのプロデューサーさんですか.....？
花京院,ええ、そうです。僕の名前は花京院典明です。
菜々,わたしよりも年下ですよね.....？
花京院,僕はまだ17歳ですが、あなたをプロデュースすることにかけては全力をかけるつもりですので、ご心配なく。
菜々,えっ！？17歳！？菜々よりも10歳わか.....
花京院,どうかしましたか？
菜々,いいえ、なんでもありませーんっ！。あ、ナナも17歳ですから敬語なんて使わなくてもいいんですよ～。
花京院,僕と同い年だったんですか！雰囲気がとても落ち着いていらっしゃるので、てっきり２０歳を越えているものだと.....
菜々,そ、そんなわけないじゃないですか～！ナナはれっきとした、ピチピチの17歳ですよ～！。かなり勘の鋭い子ですね.....危ない危ない.....
花京院,何はともあれ、これからよろしくお願いしますね。
菜々,あ、こちらこそよろしくお願いします～！
花京院,今日はレッスンです。レッスン場にトレーナーさんがいるので、トレーナーさんの指示を受けてください。
菜々,はい、分かりました！
トレーナー,君が菜々さんだな？早速レッスンを始めたいところだが.....まずは走りこみからだッ！
菜々,えっ.....！
トレーナー,どうかしたか？何か問題でも？
菜々,い、いえ、そういうわけじゃないんですけど.....。ナナには走りこみは少しキツいかな～って.....
トレーナー,甘えたこといわずにさっさと行ってこい！このド低脳がーーッ！
花京院,失礼します。菜々さんのプロデューサーの花京院です。菜々さんのレッスンの内容をお伺いしてもよろしいでしょうか？
トレーナー,走りこみなのだが、菜々が嫌みたいでな.....
花京院,やはり走りこみか.....いつ出発する？。わたしも同行する。
承太郎,花京院。
菜々,え、今の誰ですか！？
トレーナー,そうだな、初回ということもあるし、同行するのは私じゃなくてプロデューサーでもいいかもな。よし、菜々、プロデューサーと行ってこいッ！
菜々,はぁ～い.....
花京院,ご心配なく。僕がついています。
菜々,は～、やっと終わりましたぁ～.....
花京院,菜々さん、お疲れ様でした。シャワーを浴びて、汗を流すことにしましょう。
菜々,そうですね～。それじゃあ、シャワールームに.....うッ！
花京院,だ、大丈夫ですか！？菜々さん！
菜々,す、すみません.....腰痛めちゃいました.....
花京院,それはいけませんね。腰に少しショックを与えたら治るかもしれません。少し僕に背中を向けていてください。
菜々,え、えぇ.....分かりました.....
花京院,エメラルドスプラッシュッ！
菜々,え、今なんてーー。キャハッ☆！？。腰の痛みが無くなっているーー？
花京院,やや荒療治でしたが、うまくいってよかったです。念のため、湿布を貼っておいてくださいね。
菜々,は、はい！ありがとうございますっ！
