前スレ春香,仮面ライダーって寂しいね
Ｐ,せまるーショッカー……地獄のぐーんーだん
律子,……
Ｐ,あーかーいあかーあいー……赤い仮面の……
律子,……はぁ
Ｐ,せたーっぷ、せたーっぷ、せたーっぷ
律子,小鳥さん、プロデューサー、何かあったんですかね？
小鳥,さぁ……ずっとああやって歌いながら仕事してますね……
律子,仕事に支障が出てないならいいですけどね……
小鳥,どうなんでしょう、というか何なんでしょう……
Ｐ,おーおーぞらにきけー……おーれーのぉー名はぁー。つーぅっぱしーれー……そーらーをーとべー
やよい,おはようございますー！……？ど、どうしたんですかぁ？
小鳥,あ、やよいちゃん。おはよう。さぁ、私達にもよくわからないのよね
Ｐ,とべーとべー……たーかーくー……そーらーをーゆけー……
小鳥,！そうだ、丁度いい所に来てくれたわね。ちょっと今からうっうーってやってもらえるかしら？
やよい,え？いいですよ！それじゃ……
Ｐ,セーイリーングジャンプ……
やよい,うっうー！
Ｐ,……ああ、やよい。おはよう
やよい,おはようございます！
Ｐ,あーおい空からやってきてー……
律子,重症ですね
小鳥,ですねぇ……
Ｐ,電撃稲妻熱風……電撃稲妻熱風……
春香,おはようございまーすっ！
千早,おはようございます
律子,おはよう。今日は一緒だったのね
春香,あ、たまたま……あの……
小鳥,余り見ない方がいいかも……
Ｐ,時を……こーえろ空を……かーけろ……この星のためー
春香,……す、スケジュール確認しとかないとね、千早ちゃん
千早,そ、そうね。プロデューサーは疲れているようだし
Ｐ,ｳｪｲｶｯ！！
千早,ひっ
Ｐ,光の……オーロラ……身に纏い……
千早,なんで今立ち上がったのかしら……
律子,放っておきなさい。ええと、二人のスケジュールだけど……
春香,レッスンでしたっけ？
Ｐ,大事な人数える……なら……あーなたー……
やよい,あの、大丈夫ですかぁ？えっと、その……
千早,高槻さんが頑張っているわ……
律子,やよいー、こっち来なさい。伝染るわよ
やよい,はわっ！プロデューサー、病気なんですか！？
律子,そうよきっと。いいからこっちでスケジュール確認しなさい
Ｐ,明日をさえーぎーるー……ガラスのかーべーをー今ー
律子,あんた達の予定はこんなとこね。質問は？
Ｐ,どーこまでも続くあーおーぞらーにー……
春香,プロデューサーがどうしてああなったかは聞いても
律子,原因不明
春香,はい
小鳥,多分そろそろ終わると思うわ。あの曲が終わったら……
Ｐ,出会ったんじゃないさ……ふぅ
律子,流石音無さん。さて、それじゃ本式に仕事を……
Ｐ,……空っぽの星……時代をゼロから……
律子,……ああもう！いい加減にしてください！
Ｐ,やーみーのーなーかー……
律子,……
Ｐ,つーかーみーとーれー
律子,いい加減に仕事しなさい！
Ｐ,ひでぶっ！……はっ！律子！俺は一体……
律子,全くもう……しっかりしてくださいよ
Ｐ,あ、ああ。悪かった……ええと、それで俺はミラーワールドで戦えばいいんだっけ？
律子,千早の送迎です！
Ｐ,お、おう！いくぞ千早！
千早,えっ、あのっ、はいっ！い、行ってきます！
春香,いってらっしゃーい……
やよい,元気になってよかったですぅ！
小鳥,……律子さん、お母さんみたいだったわね
律子,誰がお母さんですか……いやですよあんな息子……
千早,あの、本当に大丈夫ですか？
Ｐ,ああ、悪かったな。どうも最近調子が出なくてな……
千早,何かあったんですか？あの、私では頼りないでしょうけど……
Ｐ,……そうだな、心配かけてばっかりも何だし。千早ならある意味適任か
千早,私が？
Ｐ,うん。何か、ってのはな。春香と真の事なんだよ
千早,春香と、真の……
Ｐ,なんか、あいつら頼もしくなっただろ。千早ならわかってると思うが
千早,ええ、驚くくらいに……
Ｐ,それがどうもなぁ。最近良く褒められるんだよ、スタッフの人にも
千早,良い事なのではないですか？
Ｐ,うん、もちろん良い事だよ。だけど、その……贅沢な悩みなんだろうなぁ。あの二人は、なんていうか、普通に見たら駄目な所も魅力だと思ってたからな。それが薄くなったのが辛いのか。それとももっと単純なことで……あいつらの良さがわかってるのは俺だけだ、とか思ってたのがそうじゃなくなったからか。何にせよちょっと寂しくてな。大の大人が恥ずかしい話だけど
千早,いえ、そんなこと。だって、その気持ちは良くわかりますから
Ｐ,千早が？またどうして
千早,仲間だと、親友だと思っていました。だけど、そんな二人の為に私が出来る事は何も無くて、それでも二人はどんどん進んでいく
Ｐ,置いてかれた感じか。はは、あるよな。マラソン大会で一緒に走ろうねって言っといてめっちゃ速いとかな
千早,えっと……それは、良く……
Ｐ,あ、はい……
千早,……本当に、そう。置いていかれた、って気分です。どこか、遠くへ……
Ｐ,……ま、仕事はきちっとこなすぞ
千早,そうですね、今はそれが一番大事です
Ｐ,ん。そういう事。千早も悩んでるなら誰かに相談しろよ。勿論俺でも
千早,プロデューサーがもう少し頼りになればいいんですけど
Ｐ,返す言葉も無いな
美希,おはようなのー
響,はいさーい
貴音,おはようございます
春香,あ、三人ともおはよー
美希,ハニーは？お仕事？
真,千早と現場だよ
美希,残念なの。じゃあ真クンで我慢するの
真,何をだよ……わっ
美希,真クンの膝もなかなかの寝心地なのー。おやすみー……
春香,こーら。真が困ってるでしょー
美希,やっ！なの。離れないのー
真,あはは、いいよ春香。だけど仕事になったらどいてよ？
美希,わかってるのー
響,なんか最近、春香と真は仲いいなー
貴音,良い事ですね、とても
春香,そうかな？
真,元から仲いいよね
美希,むっ、ミキは！？
響,美希は美希からじゃれに行ってるようにしか見えないぞ
美希,そんな事ないもん！仲良しだよね？
真,うんうん
貴音,……真は大人の対応も心得ているのですね
真,へへっ、まぁね～
美希,仲いいって言ってくれるまでここ動かないの！
響,ちょ、自分たちレッスンがあるだろー！
貴音,そうですよ美希。日頃の練習の大事さはわかっているでしょう
美希,しょうがないの……春香！真クンの膝とっちゃダメだからね！
春香,とらないよ……
トレーナー,はい、お疲れ様。三人ともオッケーでーす
響,ふぁー、疲れたぞー……
貴音,ですが、良い動きでしたよ、響
美希,んー……ミキ的には、もうちょっとやれると思うな
響,えー？そりゃ、出来ればいいけど……
貴音,余り無茶をして体を壊しでもしたら元も子もありませんよ？
美希,あのね、この前真クンのダンス見せてもらったんだけど、すごかったの
響,あー、最近すごいな、真は。自分でも一緒に踊れるかわかんないさー
美希,それがペアだったの
貴音,なんと……誰が真の相手を務めたのでしょう？
美希,春香だよ。春香と真の二人で踊ってたの
響,春香がぁ！？……正直、ダンスで春香に負けるとは思ってなかったぞ……
貴音,確かに、春香は歌唱方面に力を入れていたはずですが……
美希,でも本当なの。正直、すごいなって思った。だから、私達もやれるところまでやってみたいの
響,う～ん……でももう体が……
美希,響や貴音が無理でもミキはやるの。……あんな風にキラキラしたいから
貴音,……致し方ありませんね。ですが、ほんの少しですよ
響,え゛っ、貴音、まさか……
貴音,こうなっては美希は諦めません。ならば、私達がついて少しでも補佐してあげなければ
美希,ありがとうなの、貴音！響は無理なら休んでてもいいよ？
響,うぅぅ……うがー！やるさ！やればいいんでしょー！こうなったらとことんやってやるさー！
トレーナー,……無理そうならそこで止めますからねー
美希,お願いしますなの！
響,し、しぬ……これはしんでしまう……
貴音,はぁ、はぁ、はぁ……流石に、限界です、ね
美希,もう一回今のところ、お願いしますなの！
トレーナー,星井さん、今日はもう無理。あとの二人の事も考えて
美希,でも……
トレーナー,一人で上手くなっても意味がないの。星井さんならわかってるでしょう？
美希,……ごめんなさいなの、貴音、響
響,いいよ、別に……久々にいいレッスンになった気がするし
貴音,確かに、ここまで根を詰めたのは久しぶりですね。疲れはしましたが、どこか清々しくもあります
美希,ありがとうなの。じゃあ、帰ろっか
響,ひ、膝が笑ってるぞ……
貴音,肩を貸しましょうか？
美希,そういう貴音もぷるぷるしてるの……大丈夫？
響,ま、大丈夫さー。歩けないわけじゃないし
貴音,美希は平気なのですか？
美希,ん、うん。別になんともないの。二人とも、待ってて。荷物取ってきてあげるの！
響,お、じゃあ頼んだぞー
貴音,お任せします
美希,うん。すぐ戻ってくるからね。……“まだまだ、美希はレッスンが足りてないぞ！”。ぷぷっ、今の似てたの。言いそうなの。よし！もっと頑張ってもっともーっとキラキラするの！負けないの！。えっと、こっちが響の鞄で、こっちが貴音の……よし、っと。待たせると悪いから急ぐの
春香,……！
真,……
美希,……あれ？あ、二人もレッスンだったのかな。けど、何か変なの。あんな真剣な顔で……
春香,……
真,……
春香,……！
美希,あっ、ふたりとも走って行っちゃうの！追いかけなきゃ！。足、速すぎなの……この辺だと思うんだけどな……。でも、やっぱりおかしいの。真クンはともかく、春香はあそこまですごくなかったはずなの。もしかして、何か秘密特訓とかしてるのかな……？。よし、見つけたら無理やりにでも聴きだしちゃうの！って、いた！。……あれ、誰だろう。知らない人もいるの
男,またしても邪魔をするか！
真,当たり前だ！
春香,その子を離して。そうすれば、私達はあなたに何もしないから
男,そうはいかん。この子どもは我々の爆弾になるのだ。誰にも警戒されずどこにでも入り込める遠隔操作の爆弾にな！
真,そんな事、させるもんか！
男,ならば力付くでも俺を止めてみろ！変身！
春香,……仕方ないよね。やろう、真！
真,ボクは最初からそのつもりだよ！行くよ、春香！
春香・真,変身！！
美希,え……。わっ、まずいの！逃げるの！
真,……？
春香,どうしたの、真？
真,いや、今……
ゲバコンドル,どうしたライダー！かかって来ないならこちらから行くぞ！
真,って、そんな場合じゃないか！
美希,ここまで来れば大丈夫なの……もしもし？。こっちの台詞なの！今すっごく大事な……。あっ……。ごめんなの、でも大丈夫だから心配しないでって言っておいて欲しいの。ミキこのまま帰るから。うん、またね。……すっかり忘れてたの。いや、でも。あの二人が……仮面ライダーだったなんて、なの。おはようございますなの！
Ｐ,おっ、おはよう。今日は早いな
美希,そりゃ早いの！それより春香と真クンは？
Ｐ,今日はまだだぞ？何か用か？
美希,別になんでもないの！来たら起こしてハニー！
Ｐ,お、おう。そりゃ構わんけど……って、寝てるし
小鳥,どうしたんでしょう、美希ちゃん……？
Ｐ,さぁ……何でしょうね……？
律子,おはようございまー……って、美希。早く来てると思ったら寝てるし
Ｐ,何か張り切ってたぞ。何なんだろうな
律子,さぁ……そうそう、聞きましたか？この辺でまた誘拐未遂らしいですよ
Ｐ,え、何だそれ
小鳥,あ、聞きました。男の子が拐われそうになったんですよね
Ｐ,物騒な……
律子,最近多いみたいですよ。それで、被害にあった人はだいたい“仮面ライダーに助けてもらった”なんて言ってるみたいです
Ｐ,へー、本当なのかな
小鳥,だったらアツいですね！
律子,本当かどうかはわかりませんけど、そういう奇特な人がいるんでしょうね、体を張って人助けするような人が
Ｐ,いい話だなぁ。けどまず被害にあわないようにしないとな。防犯徹底！
律子,……ま、仮面ライダーって人のマッチポンプの可能性もありますしね
Ｐ,それは無いだろ……と思いたい……
小鳥,でも、防がれてる割に犯人は捕まってないんですよね、確か
律子,それもあっての話ですね
Ｐ,それなら簡単だろ。ライダーの相手だから、怪人なんだよ。んで、倒された後は爆発するから……
律子,はいはい。さー仕事仕事
小鳥,私は理解しますよ、そういうの……
Ｐ,へへ、ありがとうございます……
春香,おはようございまーす
真,おはようございまっす
美希,
Ｐ,おう、来たか。おはよう。あのな……
美希,おはようなのふたりとも！ちょっとお話したい事があるの！
春香,うわっ！どうしたの美希、急に……
真,話って、ボクらに？
美希,そうなの。ちょっと聞きたい事があるの。いいでしょ？
春香,まぁ、いいけど……
Ｐ,と、いうことらしい。後任せた
真,はぁ、まぁ……
美希,できたら内密にいきたいの！社長室借りますなの！
小鳥,りょーかいしましたー
律子,……何なんでしょう？
Ｐ,さっぱり
美希,ここなら大丈夫なの……
春香,あの、本当にどうしたの？何か相談？
真,美希らしくないよね、内緒話なんて
美希,内緒にしたいのはミキじゃないの。二人の方でしょ
春香,……何の、事かな？
美希,とぼけなくていいの。言いふらすつもりも無いし……でも、正直に答えて欲しいの。二人は、仮面ライダーなの？
真,……
春香,……
真,……はぁ
春香,美希、どうしてそう思ったの？
美希,見ちゃったの、昨夜。レッスンしてたんだよね、ふたりとも
春香,確かに、レッスンはしてたけど……
真,春香、もういいよ。昨日の、美希だったんだね
春香,昨日の……？あ、あの時言おうとしてたのって、そうなの？
真,みたい。電話の音が聞こえた気がしたんだけど
美希,そうなの。それミキなの
春香,あちゃー……参ったなぁ
真,美希、ライダーなんて知ってたんだ
美希,ハニーの趣味はミキの趣味なの。二人は、改造されてるの？
春香,んー、まぁ、見られたなら仕方ないか。そうだよ、私と真はもう人じゃないの
真,はは、内緒にしていたかったんだけどね。いつかボロが出るとは思ってたけど、思ったより早かったな
春香,この皮膚は人工細胞で、体のほとんどは機械。もう健康診断も受けられないね
真,普通じゃないよね。気持ち悪いでしょ？だから、内緒に……
美希,ずるいの！
真,そう、ずるいって思うのが普通……え？
春香,ちょ、ちょっと美希？何言ってるか……
美希,ふたりとも、最近すごいなって思ってたの！すっごくキラキラしてて、追いつきたいなって。でもまさかそんな秘密があったなんて知らなかったの……羨ましいって思うな！
春香,……真さん、一言どうぞ
真,えー……美希、そんないいもんじゃ無いんだよ？
美希,でも、かっこいいの。羨ましいの
真,あーうん。その気持ちはね、よくわかるよ。うん。だけど、あのね……
美希,ずーるーいーのー。ミキも改造して欲しいのー
春香,美希。冗談でもそんな事言わないで
美希,どうして？
春香,どうしてって……
美希,ミキは、キラキラ出来るならそれでいいの。真と春香みたいにすごい事したいの
春香,美希、わからないかもしれないけど聞いて。この体になって得た物は大きいよ。私の体はずっと強くなった。だけど、失った物も大きいの。大きいんだよ。出来る事が増えて、それでも嬉しいなんて思えない
美希,……むー
真,実はね、ボクも美希と同じように思った。それで改造してもらったんだけどさ
美希,そうなの！？
真,うん。その結果は散々だったよ。雪歩が怪我してるでしょ？あれ、やったのボクなんだ
美希,えっ……
真,今では、どうしてあんな事したんだろうって思ってる。手に入る物が余りに眩しいと、近くにある落とし穴も見えなくなっちゃうんだね
美希,……わかんないの。ミキは、ミキは……
春香,もし、さっきの……改造して欲しいっていうのが本気だとしたら、私達は本気で止めるよ
真,後悔する事がわかってるからね。美希にはボクたちみたいになって欲しくない。それがボクたちから言える事だ
美希,そんなのってないの！ミキだって……
春香,軽くないんだよ。自分の体が全く別物になる感覚なんて、想像も出来ないでしょ？
美希,でも……
真,それにさ、順番で言ったら次はV3でしょ？だけどボクたち、改造なんて出来ないからさ。諦めてよ、ね？
美希,……もう、いいの。ごめんなの、変な話して
春香,ん……けど、本当に
美希,もういいの！！
真,あっ、美希！
春香,大丈夫かな、美希
真,あー、どうだろう。経験者としては、非常にマズいかも
春香,私、なるべく目を離さないようにする……
真,ボクも、出来る限り見とくけど……どうにもならないかも、ね
春香,考えたくないけど、美希だからね……あの子、なんていうか、凄い瞬発力あるし
真,大丈夫、ボクたちがさせなければいいよ。きっと出来る
春香,……そうだよね
トレーナー,はい、お疲れ様。今日はちょっと早めに切り上げましょうか
響,ふぅー……今日も疲れたぁ！って、そうだ、美希が……
貴音,美希、今日は追加でれっすんしないのですか？
美希,もういいの。どれだけレッスンしたって無駄なの
トレーナー,……早めに切り上げた理由は星井さんなのだけど、わかってるかしら
美希,ミキが悪いの？
トレーナー,何か悩んでいるのかもしれないけど、身が入ってないわね
美希,ふーん。別にいいの。こんなの無駄だし
響,み、美希……それはマズいぞ。トレーナーさんに悪いって……
美希,本当の事なの。どれだけ頑張っても無駄なの
貴音,そのような事はありませんよ、美希。しっかりとれっすんすれば……
