市原仁奈,仁奈はさいきょーのアイドルを目指しやがりますよ！
仁奈,さいきょーになるにはそれそーおーの名前がひつよーでごぜーます！。てはじめに奈緒おねーさんから襲いやがりますよ！。奈緒おねーさん！
神谷奈緒,ん？どうしたんだ仁奈ちゃ……
仁奈,お名前ちょーだいつかまつりやがります！！
奈緒,うわああああ！
仁奈奈,になーっはっはっは！
緒,うっ、ううっ……ひでぇよ……
仁奈奈,もっと名前を長くして仁奈奈はさいきょーのアイドルになるでごぜーますよ！。次のターゲットが来やがりましたね？
今井加奈,おはようございます！
仁奈奈,すきあり、でごぜーます！
緒,加奈ちゃん危ないっ！
加奈,きゃあっ！
加,あいたたた……何が起こったの？
仁奈奈奈,加奈おねーさん……じゃなかった、加おねーさんの名前は頂いたですよ
加,ああっ！メモに書いておいた名前が今井加になってる！？
仁奈奈奈,になーっはっはっは！
緒,くそっ！
仁奈奈奈,次は仮眠室で寝てる比奈おねーさんがターゲットです！
緒,ま、待て……仁奈ちゃん、じゃない仁奈奈奈ちゃん……
仁奈奈奈,比奈おねーさん！
荒木比奈,んあ……どうしたんスか仁奈ちゃん？
仁奈奈奈,今の仁奈奈奈は仁奈じゃねーですよ
比奈,になな……へ？
仁奈奈奈,仁奈奈奈は仁奈奈奈でごぜーます！
加,比奈さん、逃げてっ！
比奈,そんなセガガガみたいな……うわあっ！？
仁奈奈奈奈,になーっはっはっは！
比,あァァァんまりだァァアァ
緒,ダダっ子のように泣きわめいてる！？
仁奈奈奈奈,死してしかばね拾う者ねーですよ
比,フーーースッとしたっス
加,立ち直りが早い！？
仁奈奈奈奈,さあ、まだまだ名前を増やすですよ！
？？？,そこまでだ
緒,き、木場さん！
木場真奈美,仁奈くん、いや、今は仁奈奈奈奈くんだったかな？
仁奈奈奈奈,いかにもでござーますよ
緒,逃げてくれ木場さん！今の仁奈奈奈奈奈ちゃんは……
仁奈奈奈奈,一つ多いでごぜーます！
緒,あれ、そうだったっけ。ごめん……って何でアタシが怒られてるんだよ！怒りたいのはこっちだよ！
真奈美,フッ、心配する必要はないさ
加,木場さん……
比,大丈夫っス。木場さんなら何とかしてくれるっスよ
加,……はい！
仁奈奈奈奈,よゆーぶってられるのも今のうちでやがりますよっ！
真奈美,仕方ない。少し懲らしめてやる必要があるようだね
真美,うあうあ～！やられちゃったYO！
緒,待て木場さんそれはマズい！
真美,大丈夫っしょ→
加,あぁ、木場さんまで……
仁奈奈奈奈奈,になーっはっはっは！これでまた一歩さいきょーに近づきやがりました！
比,何か手は……そうだ！あの人なら！
真美,何か策があるの、お比奈ちん？
緒,面妖じゃねぇよ……
真美,ナイスツッコミだね緒っちゃん！
緒,緒っちゃん言うな！
比,緒っちゃん、加ちゃん、真美ちゃん。あたしは仁奈奈奈奈奈ちゃんをなんとかできる人を呼んで来まスから。それまで時間稼ぎをお願いしまス！
真美,ラジャー！
加,分かりました！
緒,普通に奈緒って呼んでくれよ……
真美,んっふっふ～、仁奈奈奈奈奈っち、さいきょ→を目指すんなら真美とライブバトルして勝たないとね！
仁奈奈奈奈奈,のぞむところでごぜーますよ！
緒,……あれ、木場さんだよな？
加,見た目はそうですけど……
真美,ま、負けちゃった……
仁奈奈奈奈奈,になーっはっはっは！もう誰も仁奈奈奈奈奈を止めることはできねーですよ！になーっはっはっは！
緒,もうダメなのか……っ！
比,ちょっと待つっス！
加,比奈さん！それに、後ろの皆さんは！
浜川愛結奈,大変なことになってるみたいね
松本沙理奈,ウフフ、もう大丈夫よ
藤本里奈,うおーっ、仁奈っちすげーことになってるじゃん！
有浦柑奈,今は仁奈奈奈奈奈ちゃんじゃなかったっけ？
小関麗奈,そんな事はどうでもいいわ！アンタが好き勝手出来るのもこれまでよ！アーッハッハッ……ゲホゲホッ
西川保奈美,大丈夫？ちゃんとノドはケアしないと駄目よ
小室千奈美,さあ、来なさい仁奈……奈奈奈奈ちゃん
緒,仁奈奈奈奈奈ちゃんが狙ってる人ばっかりじゃないか！
仁奈奈奈奈奈,一人一人探すてまが省けたでごぜーます！飛んで火にいる夏の虫でやがりますよっ！
加,危ないっ！
真美,みんな逃げて！
比,……今っス！
安部菜々,呼ばれて飛び出てミミミミーン！
仁奈奈奈奈奈,まっ、まずいです！
緒,な、菜々さん……？なんで……
々,比奈さん、これちゃんと元に戻るんですよね！？
比,大丈夫っスよ々さん。……なんて読むんスかこれ
々,それは同の字点と言って……って、普通に菜々って呼んでくださいよ！
仁奈奈奈奈奈菜,ぐわああああああ！ふ、不純物が混ざりやがりました！
緒,仁奈奈奈奈奈菜ちゃん！？何が起こったんだ……？
加,……あ！字です！字が違うんですよ！
真美,字？
加,今まで仁奈奈奈奈奈菜ちゃんが奪った名前は全部奈良の奈、でも菜々さんの菜は菜の花の菜なんだよ！
比,その通りっス。々が取られてたら危なかったんスけど、そこは賭けでした
緒,でも字が違うだけでなんであんなに苦しそうに……
比,バランスの崩れた名前の力は持ち主にダメージを与えてしまうんでス
真美,じ、じゃあ今の仁奈奈奈奈奈菜っちは！
比,……名前をみんなに返すまで苦しみ続けまス
緒,そんな……。仁奈奈奈奈奈菜ちゃん！早く名前をみんなに返すんだ！
仁奈奈奈奈奈菜,うう、嫌だよう……仁奈奈奈奈奈菜はさいきょーのアイドルになるんだもん……
ヘレン,聞きなさい、仁奈奈奈奈奈菜
真美,ヘレンねーちゃんいつのまに！？
比,……あたしは呼んでないっスからね
ヘレン,焦らなくても貴女には世界に通用するポテンシャルが秘められているわ
仁奈奈奈奈奈菜,ヘ、ヘレンおねーさん……
ヘレ,自信を持ちなさい
仁奈奈奈奈奈菜ン,ぐわあああああああ！
緒,なんで追い打ちかけるんだよ！？
仁奈,うわああああん！ごめんなさい！もうしねーです！
菜緒,いいんだよ、ちゃんと反省したもんな？
加奈,またみんなで頑張ってトップアイドル目指そうよ！
仁奈,うん、うん……！
真奈美,一時はどうなる事かと思ったが、何とかなってよかったよ
比奈,ホントっスよ……って双海真美じゃないスか！？
真奈美,あり、バレちった？
比奈,そりゃあ見た目がそのまんまっスからね！
真美,真奈美ねーちゃん、奈返してよ→
真奈美,ごめんごめん、面白そうだったからつい……はい！。やれやれ、これで元通りだね
真美,だねっ！じゃあ真美はこの辺でシツレイっ！
比奈,いつの間に入ってきてたんスかねぇ……
ヘレン,エンジョイしてたみたいね
真奈美,名前というものは強い力を持っているからね、不可抗力さ
ヘレン,フッ、貴女がそう言うのならそうなのね
真奈美,フッ……
比奈,……まあ何にせよ、これで全部元通りっスね
奈々,これでナナもアイドル声優ですね！キャハッ！
菜緒,待て菜々さんそれもマズい！というか名前返してくれよ！
