千川ちひろ,最近はスポーツ系の子たちが人気出てきてますね
モバP,そうですねぇ。茜のラグビー観戦しかり美波のラクロスしかり…あと幸子のスカイダイビングもですか
ちひろ,幸子ちゃんのスカイダイビングはちょっと違うと思うんですけど
P,まぁまぁ細かいことは水に流しましょう。輿水だけに
ちひろ,つまらないこと言ってると穴という穴にスタドリ流し込みますよ
P,すいません仕事します
ちひろ,まったく…ところで、スポーツといえばプロデューサーさんはどんなスポーツをやっていたんですか？
P,お、それ聞きますか。学生時代は特に何もやっていなかったんですけど、実は最近バスケを始めようかと思いまして
ちひろ,へぇ～バスケですか。それにしても何でまた急に始めようと？
P,実は先日こんな事があったんですよ。１on１がしたい？
愛野渚,最近あんまりバスケができなくてさァ、せっかく開いた時間もできたことだしプロデューサーとやってみたくてサ！
P,俺はバスケは授業くらいでしかやったことないし、現役の渚の相手にならないだろう。つまらない練習になると思うぞ？
渚,いいっていいってッ！深く考えずに楽しく運動しよう☆ッてね！！
P,そういうことならまぁ……お手柔らかにな。こんな所あったっけ
渚,まずはアップから始めようか！
P,久々だしドリブルの練習からしてみるか。セイッ！！。ナッシュッ！
渚,ちょッ、プロデューサー！？あ、顎…力強く叩きつけすぎだって！
P,あががが……これ以上ｯ……ｺﾞｯ何か危険だから早く始めよう……
渚,このまま始める方が危険な気がするんだけどなァ。と、とりあえず１シュート１ポイントで気楽に行こうか。へへッ、プロデューサー！バスケ部の意地にかけて、簡単には脇を抜かせないよッ
P,遊びとはいえ負けん！。俺をなめるなよ……渚！。くらえ必殺！マタニティシュート！
渚,……ボールが消えた！？
P,……
渚,……。……お腹、膨らんでない？
P,きゅ、９ヶ月です
渚,悪いねッ！シュート決めさせてもらうよ！
P,フンフンフフーンフンフフーン！！
渚,うわッ、何その動き！？
P,素人ながらに守りの方は割と得意でな！クラスの連中には守備コスに定評のあるモバPと呼ばれたもんだ！
渚,侮れないねェ……プロデューサー！
P,だが……ちひろから財布を守り通すことはできなかった……。ｾﾞｰｯ……結果は8対１か……ｾﾞｰｯ
渚,想像以上にやるねェ……楽しかったよ、プロデューサー！
P,ﾊｰｯ…そりゃ……どーもッ…ﾊｧｰｯ…
渚,いつも忙しいのに悪かったね……でも私、プロデューサーとバスケができて嬉しかったなァ！
P,！！。……渚の笑顔を見れただけでも付き合った甲斐があるというものだ。この笑顔をもっと多くのファンにも届けるために、俺も頑張らないとな！。さぁ渚、戻ろう……かっ！？
渚,プロデューサー！？
P,ぐっ……いててて。すまん脚が…渚、大じょ。ん？
渚,プ……プロデューサー……手
P,…………。ｏｈ……。目線を上げた先にあったのは、渚のバスケットボールをおもいっきり握りしめた俺の手だった。渚の試合は何度か見たことがあるが、そのプレイスタイルは獅子のような力強さを感じたものだ。その渚が、顔を赤く上気させてている。床になげうたれた健康的な肌に輝く汗が艶かしい。…………
渚,…………
P,！。…………
渚,――――～～～～～～～ッッ！！！？？
P,18の娘の胸を揉みしだく俺ことプロデューサー。Aを超えてBなんて親御さんに知られたら血を見るというレベルじゃない。だけどこんなボール……トラベリングしちゃうに決まってるだろ！。とまらない！なんというパッション……なんという８４ョン……。もっとだ……もっと強く……更に強く……。もっと！。フォルテッシモッ！！！！
渚,……反省したかなァ？
P,しているぞ渚！とても！めちゃくちゃ！かなり！。あ、様を付けたほうがよかったか？私みたいなゲス野郎には渚様を呼び捨てで呼ぶ資格なんてありませんからな！
渚,いや……そこまで謙られると逆に引いちゃうって。まぁ、この事は忘れるとして……プロデューサー
P,な、なんだ？
渚,ありがとう
P,……えっ！？
渚,私も少しは忙しくなってきたからサ、プロデューサーと仕事以外で触れ合う機会もこれから少しずつ減っていくと思うんだ
P,びっくりした……胸を揉まれたことに対しての言葉かと
渚,そうでなくてもプロデューサーは忙しい人だからね。こういう風に二人とも予定が空いて他愛もなく遊べる時を、私ずっと待ってたんだからっ
P,渚……
渚,だから、忙しい中こんな私のわがままに付き合ってくれて
P,とまぁ、こういう事があった訳ですよ
ちひろ,……
P,ちひろさん？
ちひろ,……いえ、思いのほか真面目な話だったので。途中の部分は本当に余計ですけど
P,失礼ですねあなた。俺だってそういう時もありますよ
ちひろ,いや本当に……それで、渚ちゃんの為にバスケを嗜もうかなと思い始めた訳ですね？
P,えぇ、リベンジマッチは、いつでも受け付け中だから！とも言われましたし、次の機会までにもっと上達して見せますよ！
ちひろ,いや本当に……それで、渚ちゃんの為にバスケを嗜もうかなと思い始めた訳ですね？
P,そうです。あとおっぱいの為にですね
ちひろ,は？
P,いやだってあんなボール掴まされてもみてくださいよ。そりゃ大きさで言えばもっと大きい子もいますけどね。その衝撃たるや、家族の愛を知った時の孤独な少年ほどかと
ちひろ,なに言ってんだコイツ
P,こんなの知っちゃったら他のボールの触り心地も試してみたいじゃないですか
ちひろ,
P,だから俺はバスケを始めますよ。まずはシューズを買ってこないと行けませんね
ちひろ,謝りなさい！！バスケの神様に謝りなさい！！
P,何わめいてるんですかちひろさん……はい、ごめんなさい冗談ですよ冗談。冗談冗談マイケルジョーダン
ちひろ,…………。あっ千川です。……はい、ちょっと頼みたいことが
P,！？
ちひろ,実は――で――あれ――じゃあお願いしますね
P,ま、まさかあの人に……嫌だ！俺は元国家権力には屈さないぞ！
ちひろ,彼女は仕事が入ってますよ
P,じゃあ誰が……ええい誰でも関係ない！俺は逃げ
大和亜季,ムダな抵抗を。降伏せよ！
P,
亜季,千川殿の指示を受け参りました！さぁプロデューサー殿、泣いたり笑ったり出来なくしてやります！
