283P,……んー――
恋鐘,おーっ！Pさー――ん！
P,あ……そっか、うん……
恋鐘,どうしたん？昨日、プロデューサーがPさんと呼べって言ったと？
P,いや……その、な。新鮮で
恋鐘,いやや！もうPさんったら、お世辞がうまいんだからぁ！！
P,痛てて……
恋鐘,それでは、誕生日デートといくばい！！
短めかつ、方便が変,……長崎弁わからんばい
摩美々,でー、恋鐘のプレゼントは決まったのー？
霧子,あ、婚約指輪とかはダメですからね
咲耶,婚約届けもNGだ
P,それはプレゼントの範疇なのか？
結華,なら、Pたんからデートに誘ってみるとかは？
霧子,で、で、で……
三人,デートぉ？！
結華,そっ。まぁ簡単に駅前を散策してショッピングに付き合って、食事をして……
摩美々,その後、ホテルに入り一糸纏わぬ姿で乱れて……
咲耶,十月十日を過ぎた頃には……
霧子,ｷｭｳ
結華,きりりー――んっ！。ま、まぁ……そうならないように、知り合いに頼んで止めてもらうから大丈夫だよ
摩美々,知り合いー？
咲耶,誰かは検索しないが……
霧子,それなら、恋鐘ちゃんも……
P,おいおい、仮にもプロデューサーとアイドルなぁ……
結華,でも、346プロの成宮由愛ちゃんだっけ？プロデューサーと婚約したのって
咲耶,あぁ、母親が公認したらしいな
霧子,源文ママ
由愛,くしゅん！
千枝,わわっ、大丈夫ですか？
美穂,花粉症の季節到来とも聞くけど……
由愛,大丈夫……多分智絵里さんが噂しているだけだよ
智絵里,違うよー
美穂,違ったみたいだね
千枝,そうですね……
由愛,昨日、遅くまで起きていたからかな？
智絵里,何で遅くまで起きていたのー？
由愛,それは…………――――えへへ。内緒です
P,てなわけで押し切られてしまったが……
恋鐘,Pさん、あーん！
P,こらこら、クレープぐらいそんなことしないでも……
恋鐘,あーん
P,……
恋鐘,あーん
P,……
恋鐘,ん――、ここを食べたたいね。よしっ
P,…………まぁ、恋鐘が楽しそうでいいか
恋鐘,それで……あ！結構いい帽子ばい！
P,んー、ちょっとカラフル過ぎないか？もう少し落ち着きのある色の方が……
恋鐘,とりあえず入るたい！
店員,こちらなんていかがですか？
恋鐘,んー、どう？似合ってるたい？
P,そうだな。柄といい色といい、恋鐘によく合うぞ
恋鐘,う……誉め過ぎばい…………
P,いや、それぐらい出すよ
店員,そうですね。デートですからカレシさんにプレゼントしてもらいましょうね
恋鐘,か、か、か、か……
店員,ん？……違いましたか？
恋鐘,カレシだなんてー！照れるたい！！
P,痛い痛い！。ここのはずなんだけど……
恋鐘,なんかものすごく混んでいるばい……
P,ああっ！そういえば、今日の朝に346さんとこのアイドルが宣伝していたんだった！！
恋鐘,それでばい！
瑞樹,ミズキの一押しよっ！
早苗,ビールはあるわよねっ？！
P,すまない……まさかこんなことになるなんて
恋鐘,仕方がないばい。ばってん、気持ちを切り替えてどっか入るとこ探さんと、背中とお腹がくっつきそう……
P,お、可愛い音
恋鐘,せ、せからしかー！
P,んー
恋鐘,どった……んと、近所にもあるファミレスの姉妹店か……
P,お、おいおい！
店員,では鉄板が熱いのでご注意ください
恋鐘,うーん！久しぶりのお肉たい！！
P,そうか。そういや、レッスンばかりで大分絞っているみたいだったな
恋鐘,今はアイドルの話はない。ただの男女たい
P,あ、あぁ……すまない
恋鐘,もう、男がいつまでもウジウジしてると嫌われるたい！
P,まぁ、そうは言うが
恋鐘,それに
P,……っ！？
恋鐘,ふぅ……お腹いっぱい
P,ははっ、よく食べたからな
恋鐘,明日からまた頑張るからチャラたい！
P,お、期待しているぞ
恋鐘,ふふーん！
P,…………
恋鐘,…………
P,………………
恋鐘,………………
P,……………………
恋鐘,……………………
P,会話が続かん！
恋鐘,ねぇ
P,俺がオレでない？
恋鐘,つまり
P,そう言うと恋鐘は目をつむり、こっちに顔を近づけてきた
？,あら……もしかしてアイドルの月岡恋鐘さんですか？
二人,っ！！
恋鐘,えっ、えとえと……ちなうんです！これはきっとちなうんです！
P,お、おい、落ち着け！きゃみまくってるぞ！
恋鐘,ぷ、プロデューサーだって！
？,うふふ……
三船美優,青葉、見ちゃいました…………です
P,あ、あなたは……
美優,ふふっ、初めまして。三船美優と申します
恋鐘,あ、あの346の三船さんですか？
P,
美優,ふふっ
恋鐘,は、はい！
美優,勢いだけでキスすると後悔するかもしれませんよ
恋鐘,っ！！
美優,なるべく、じっくり彼のハートを捕らえて離さないようにしないといけません
恋鐘,は、はい！
美優,いい……笑顔です
恋鐘,笑顔……ですか？
美優,はい
結華,で、どうなったの？
P,美優さんに連れられて飲みに行ったっぽいんだがな
摩美々,さいてー
P,うぐっ！
咲耶,そうだな。最低でも二人をエスコートできるぐらいでないと
P,うぐっうぐぐっ！
霧子,え、えい！世界樹の葉です
恋鐘,お゛ばよ゛～
P,恋鐘っ？！
結華,あー……こがたん、飲み過ぎだよ
咲耶,たしか、実家の手伝いで飲むぐらいはできると言っていたはずだが……
恋鐘,ぶだり゛でね゛……ずぎなお゛どごに゛づい゛でがだっ゛でだがら゛……
結華,好きな……三船さんもってこと？
霧子,お、お水です
恋鐘,ふわぁ……生き返ったぁ
摩美々,で、結局進展はなかったわけー？
恋鐘,ん………………
