みんな,千秋ちゃん誕生日おめでとー！！
千秋,ありがとう、みんな誕生日会なんて子供の頃以来だわ…
友紀,今日は千秋ちゃんのためにみんなプレゼントを用意したんだー！
千秋,そんな、別にいいのに…
友紀,遠慮しない遠慮しない！私からはこれ！
若葉,これは…
ケイト,グローブ…デスネ！
洋子,グローブ…友紀ちゃんらしいけど、ちょっと千秋ちゃんには合わない気が…
友紀,そんなことないよ！千秋ちゃん、今度一緒にキャッチボールしようね！
千秋,そうね、たまには体を動かすのも悪くないわ…ありがとう
友紀,えへへー
洋子,私からはこれ！スポーツウェア！
友紀,あー！グローブは千秋ちゃんに合わないとか言っときながら自分だってそんなんじゃんよー！
洋子,い、いいでしょ別にー！ねっ千秋ちゃん！
千秋,ふふっ、そうね…ありがとう洋子さん
ケイト,私からはこれデス！
茄子,これは、お酒ですか？
ケイト,そうです！故郷から取り寄せた地元では有名なお酒デス！千秋はお酒が弱いからこれで特訓するといいデス！
千秋,そ、そうねありがとうケイトさん
由里子,ﾕﾘﾕﾘたちからは！
比奈,これっス！
千秋,何かしら？本のようだけど…
比奈,まぁ、見てみればわかるっス
千秋,？……！こ、これは///
由里子,ふっふっふ、比奈ちんと協力して作った美里×千秋の薄い本だじぇ！
比奈,製作期間一ヶ月の自信作っスよ
千秋,な、な、な///
美里,あらぁ、二人共とっても絵が上手なのねぇ♪
美世,若葉ちゃんは見ちゃダメだよ
若葉,また子供扱いして！
千秋,……///
友紀,あ、あのー千秋ちゃん？
千秋,…はっ！ｺﾎﾝｯせっかく二人が一生懸命作ってくれたものだから、大切にするわ、どうもありがとう
若葉,私からはこれです
千秋,この箱は何かしら？中に何か入っているわね…
若葉,それ、ジグソーパズルなんです
千秋,ジグソーパズル？
美世,あー、そういえば若葉ちゃんの趣味だったよねー
若葉,はい、いい暇つぶしになりますしなかなか楽しいですよ！
千秋,ふふ、おもしろそうね、ありがとう若葉ちゃん
クラリス,私からはこれを…
美世,わっ！可愛いマフラー！
千秋,これ、高かったんじゃないのかしら…？
クラリス,実はこれ、私の手作りでして…
洋子,えっ？これクラリスちゃんが作ったの！？
クラリス,お恥ずかしながら…///
友紀,すっごい上手だねー
比奈,女子力高いっスね
千秋,ありがとうクラリスさんこれなら寒い冬も乗り越えられそうね…
クラリス,喜んでもらえてなによりです
茄子,私からはこれですー
千秋,これは…お守りかしら？
茄子,はい、私が子供の頃から通ってる神社で買ってきました♪
千秋,ありがとう、大切にするわ…
美世,私からはこれを…
千秋,これはCDね
美世,うん、私車でよくクラシック聴いてるんだけど、千秋ちゃんもクラシック好きだったから…
千秋,聴いたことないものばかりね…ありがとう美世さん、帰ったらさっそく聴いてみるわ
友紀,これであとは美里ちゃんだけだね
ケイト,美里は何を持ってきたんですか？
美里,私はぁ…。私自身をプレゼントしちゃおっかなぁ♪
千秋,な…///
由里子,
比奈,
茄子,あらあら♪
美世,ちょっと美里ちゃん？///
美里,うふふ、冗談ですよぉ
由里子,ﾁｯ
美世,もう、美里ちゃんったら…
友紀,で、美里ちゃんは何持ってきたの？
美里,私は旅行セットですぅこれひとつあればどこに行っても大丈夫な代物ですよぉ
洋子,ほら千秋ちゃん？美里ちゃんがプレゼントくれるってよ
千秋,…はっ！あ、ありがとう…間中さん…///
美里,ふふ、どういたしましてぇ♪
友紀,さて、プレゼントも無事渡せたし…。今夜も飲むぞー！！
美世,またこの前みたいにならないように気をつけてよ
友紀,わかってるって！。もう…勘弁してぇぇぇええええ！！
クラリス,あなたも学習しない人ですね、友紀さん…
茄子,ふふっ、おイタはめっ！ですよ♪
若葉,だからいちゅまでもころも扱いするなって言ってんらろぉ！！
美世,きゃははははははは！若葉ちゃん全然怖くないよ！
ケイト,お二人はなんの話をしてるんデスカ？
比奈,ピーーーーーーーーーーーーーーー
由里子,ピーーーーーーーーーーーーーー
洋子,…Zzz
千秋,これは…ひどいわ…
美里,うふ、前もこんな感じだったよぉ、千秋ちゃんもねぇ
千秋,うそ、私も…？
美里,それにしても今日は千秋ちゃん酔わなかったんだねぇ
千秋,えぇ、今日はあまり飲まなかったから…
美里,…
千秋,間中さん…？
美里,抜けがけしちゃおっか♪
千秋,え？///
美里,行こっ、千秋ちゃん
千秋,あっちょっと、引っ張らないで…
美里,いらっしゃい千秋ちゃん
千秋,もう…間中さん強引なんだから…
美里,美里…
千秋,え？
美里,もう二人きりなんだから美里って呼んでよぉ
千秋,あぁ、ごめんなさいね…美里…///
美里,千秋ちゃんよく言えましたねぇ
千秋,も、もう、子供扱いして…///
美里,ねぇ千秋ちゃん
千秋,なぁに？美里
美里,誕生日おめでとう
千秋,え？
美里,さっきはドタバタしててちゃんと言えなかったからぁ…
千秋,美里…
美里,うふ、千秋ちゃん、飲み直ししましょうか
千秋,そうね、さっきケイトさんにもらったお酒もあるし
美里,外国のお酒飲んでみたぁい♪
千秋,もう美里ったら…
美里,それじゃあ改めて、誕生日おめでとう千秋ちゃん♪
千秋,ありがとう、美里…。うーん…ここは…？
美里,千秋ちゃん目ぇ覚めた？
千秋,美里…？私…
美里,千秋ちゃん、酔って寝ちゃったんだよぉ
千秋,そうだったの…あれ、今何時…？
美里,今、夜中の12時を回ったところね
千秋,12時…こんな形で誕生日を終わらせてしまうなんて情けない…
美里,ねぇ千秋ちゃん、今日はもう遅いし泊まっていったら？
千秋,そうね、明日は仕事もオフだし、そうさせてもらうわ…。あ、でも…
美里,でもぉ？
千秋,着替えとか何も用意してなかったわ…
美里,それなら大丈夫よぉ
