モバＰ,ニッチすぎるわ！！！！！
姫川友紀,……
Ｐ,ん？どうした友紀？バットは危ないだろ
友紀,……
Ｐ,とりあえずバット下ろさん？危ないだろ
友紀,……
Ｐ,事務所でスイングするな、危ないだろ
晶葉,どうだ？
Ｐ,………何が？
晶葉,これが輝子の名前を打つときにてること打ち込んでいないか調べるマシンでこっちがニッチという言葉に反応して姫川友紀がニッチローのモノマネをするように洗脳するマシンだ！！
Ｐ,長い！！！物騒！！！！ニッチィィィ！！！！！！！
友紀,……
Ｐ,いやそのニッチのくだりもうやったから
友紀,……
Ｐ,そのくだりもうやったって言ってんだろ！！
晶葉,素晴らしい出来だろ？
Ｐ,ていうか洗脳って。仮にもアイドルが洗脳ってどうなの
晶葉,案ずるな、容易に解除が可能なのでポリにバレる心配はない
Ｐ,そっちじゃねえよ！！ていうかポリって拓海かよ
晶葉,ふふ、それほどでもない
Ｐ,ほめてねーよ貧乳
晶葉,……
Ｐ,やめろ！友紀のバットを持って近づくのはやめろ！！
晶葉,ともかく助手よ！事務所のみんなで試運転だ！
Ｐ,ふぁい…。いや待てよ！ていうか友紀の洗脳だけでも解いていけよ！
晶葉,よし！まずは星輝子の第一夫人である白坂小梅から行こう！
Ｐ,え？俺にいないのにあいつに彼女いるの？しかも複数？
晶葉,うん…いや、それは…ドンマイ
Ｐ,ふざけんなーーっ！！。単発でもねえよ！！
白坂小梅,どうしたの…？プロデューサー…
晶葉,よし！行くぞ小梅！
小梅,な、何…？
Ｐ,この音は！
晶葉,OKだ！小梅は輝子のことをきちんとしょーこと打ち込んでいるようだな！
小梅,う、うん…辞書登録してるよ…
Ｐ,くっ、さすがに愛が深いな…
晶葉,よし！では次の被験者のところへ行くぞ！
Ｐ,被験者て
小梅,ま、待って……！
晶葉,む？どうした？
小梅,その機械…何…？
晶葉,ああ、これは…かくかくじかじか
小梅,すたどりごくごく…わかった…
Ｐ,よく通じたな今の
小梅,気になるから…私も一緒に行っていい…？
晶葉,構わんぞ！
Ｐ,ところで晶葉はどうなんだ？
晶葉,う゛……仕方ない、やるよ
小梅,……？
Ｐ,どうしたウサミン星人が美優さんに実は１７歳ではないことを言い出せず良心の呵責に苦しんでいるような声を出して…何かあるのか？
晶葉,やけに具体的だな…。なんでもない、いくぞ！
Ｐ,……何これ？
小梅,もしかして…てるこって打ってるの…？
晶葉,恥ずかしながら…LINEで輝子と話したことがないんだ…だからテルコともショーコとも打ったことがなく…同じボッチ仲間なのだが…
Ｐ,なるほどな
小梅,晶葉ちゃんが話してくれたら…輝子ちゃん…喜ぶと思うよ…？
晶葉,ほ、本当か！ならば今から辞書登録せねば！
Ｐ,天使だなあ。天使のやり取りを見た。ああ…メリットが目に優しいカラーリングくらいしかない悪魔に洗脳された私の心が……っていってぇぇ！？！？
晶葉,わースタドリが投げ込まれたなー
Ｐ,てめぇちひろォ！中身の入ったスタドリを投げるんじゃねえ！蛮族か！野蛮人か！！[ﾋﾟｰｰｰｰ]！！！！
小梅,こっちは全然天使じゃない…ね
晶葉,さて、モルモットを探しに行くか
小梅,プロデューサーは…？
晶葉,いや…無理だろう？
Ｐ,このッ！黙ってスタージュエル250個ばらまいてろ！デジタルカネゴン！腹でiTunesカード読み込んでろ！
晶葉,なぜ助手は劇場版しか作られていないウルトラマンゼアス
小梅,晶葉ちゃんも…だよ？
早坂美玲,おはよーッ！あれ？プロデューサーとちひろケンカしてるのかッ？
小梅,あ…いいところに…来たね…？
晶葉,よーし！ここではまずいから別室行くぞ！
美玲,え？な、なんだッ！離せー！！！！
小梅,大丈夫…痛みは一瞬…
美玲,そう言われるともっと怖いッ！！。なぁ…縛る必要あったのか…？
晶葉,一言で言うと、ないな！
美玲,うがーッ！じゃあほどけッ！
小梅,この機械で調べるからね…ふふ
美玲,やめろーッ！その笑みは怖いからやめろッ！
晶葉,なんだまたか
小梅,これは…どういうこと…？同じユニットだから…話したことはあるよね…？
晶葉,本人に聞いてみるしかないな
美玲,…何がだよッ
晶葉,実はこの機械は…かくかくじかじか
美玲,すたどりばしゃばしゃ…そういうことか…ウチはショーコのことはショーコって打つからな！
晶葉,早坂美玲のように漢字で打ち込まないパターンもあるのか…
小梅,なかなか…難しいね…
晶葉,美玲はキチンとしょーこと打っていたからこのような場合もセーフとするように改良しておく！数分待ってろ！
小梅,うん…待ってる、ね…
美玲,いい加減これほどけー！！
小梅,あ…忘れてた…えへっ
美玲,でも、メールとかLINEじゃなくて現実でショーコのことをテルコって呼ぶやついないだろッ？。わぁぁッ！！いつからいたんだ！
輝子,この部屋に小梅ちゃんたちが入ってきたときからいた…ﾌﾋ
小梅,輝子ちゃん…ふふっ
輝子,親友だって…初めて会ったときは履歴書を見てテルコって言ってたぞ…
美玲,履歴書って大体フリガナあるよなッ？
小梅,まあそれは…プロデューサーがバカなだけだから…
輝子,というか…さっきの…ニッチな機械は需要あるのか…？
小梅,あれ…誰かの足音…もしかしてゾンビ…？
美玲,こ、怖いこと言うなよッ。ライバルゲームにケンカを売るなーッ！！
友紀,……
輝子,………ﾌﾋ？
晶葉,修正完了だ！！おや、姫川ニッチローじゃないか
小梅,なにその…芸名…
晶葉,こいつはニッチという言葉に反応してニッチローのモノマネをするんだ
小梅・輝子・美玲,ニッチに反応？？
晶葉,おっと、３人同時に言ったからシークレットのモノマネが見られるぞ
美玲,シークレット！？
輝子,本物の…イチローかな…？ﾌﾋﾋ
小梅,それ、変わってないよ…？
輝子,あ…ホントだ…
友紀,………
美玲,腰を低くしたまますごいこっちを睨んでくるぞッ！
小梅,威圧感…すごい…
晶葉,テレビ番組ゼウスのPK対決でジャニーズ軍団に超プレッシャーをかけるGKニッチローだ
輝子,こ、細かすぎる…
美玲,こんなのわかるかッ！！
友紀,………
小梅,もう睨まなくて…いいから…
Ｐ,おっす、遅くなってすまん
晶葉,助手よ、ちひろとのケンカは済んだのか？
Ｐ,ああ、三万円の罰金だけで済んだから俺の大勝利だ
輝子,勝ってないだろ…？
