袋,ﾋﾞﾘﾋﾞﾘｯﾄﾞｻﾄﾞｻﾄﾞｻｰ
アイドル達のあられもない姿が表紙の薄い本,こんにちは(^^)
P,あっ
さよことエレめぐしず,！！？！？！？！？///
P,ちゃ、ちゃうねん！
琴葉,こ、これは…
P,あっ、ちょっ
琴葉,こ、これってアレよね？私のいやらしい本よね？。やっぱり！！。はい喜んでーーーっ！！///
恵美,琴葉。落ち着いて
琴葉,そして２人は愛の結晶を授かり幸せな家庭を
エレナ,これは重症だネ
紗代子,しばらく戻ってこなそうだよね
琴葉,ふつつか者ですがよろしくお願いします///
P,琴葉の様子がおかしい
エレナ,刺激が強すぎたんだヨ
琴葉,そ、そうじゃないです！！なんですかこれ！
エレナ,戻ってきたネ
紗代子,意外と早かったね
琴葉,事務所にこんなものを持ち込むなんて！こんな……こんな……。プロデューサーはこんな格好が好きなんですね///
エレナ,どんな格好なのかナー
静香,ここからじゃよく見えませんね
P,弁解させて。というわけなんだ
琴葉,話はわかりました。プロデューサーが私達をオカズにしているということがよくわかりました！
P,オカズにしてるって言わないで！
琴葉,そ、それで！私の本はどうだったんですか！///
紗代子,私も気になります！///
P,こ、今回のはまだ読んでないから
エレナ,前回のは読んだんだよネ？///
恵美,プロデューサーが毎晩アタシで…？///
P,毎晩はしてない！
静香,……
琴葉,というか私達をそういう目で見てくれていたのが意外です
エレナ,普段全くそんな感じしないもんネ
P,そりゃ理性を総動員してるから
紗代子,でも心の中では？
恵美,家に着いたら？
P,し、静香、助けてくれ
静香,知りません！
琴葉紗代子,大丈夫ですプロデューサー
P,なにが？
琴葉紗代子,私はいつでもOKですから
P,OKじゃないぞ。ああ…こんな大勢に担当アイドルの薄い本で致しているのがバレてしまった
エレナ,致すってナニ？
恵美,ちょっと言いにくいかなー///
P,やっぱりよくないよな。反省してます。許してちょんまげ
静香,多分みんな全然イヤがってないと思う
琴葉,静香ちゃんは知ってたの？
静香,はい。みなさんが来るちょっと前に。一緒に少し読んだなんて言えないなあ)
P,できれば今この場にいない人には黙っておいて欲しい
恵美,しょーがないなあ
琴葉,しかしすごい数ですね。もしかして私達全員分あるんですか？
P,アイドル達のは全員分頼んだよ。友人が全て手に入れてくれたかはわからないけど
琴葉,なるほど
小鳥,プロデューサーさん、ちょっといいですか
P,どうかしましたか？
小鳥,今アイドル達のは全員分って言いました？
P,言いました
小鳥,もしかして私の薄い本だけ頼んで無いなんて言いませんよね
P,………
小鳥,まさか私だけそういう目で見てないなんて言いませんよね
P,………
小鳥,………。みんな。さっきプロデューサーさんと静香ちゃんが2人でその本読みながらイチャイチャしてたわよ
Pしず,あああああああっ！！
ことエレめぐさよ,………
琴葉,静香ちゃん。プロデューサーといやらしい本読んでイチャイチャしてたの？
静香,い、イチャイチャというわけでは///
P,音無さん。確かに今回は頼んでなかったんですけど今までお世話になった分がかなりありますよ
小鳥,そ、そうなんですか///私ったら早とちりしちゃって///
P,いえいえ、こちらこそ言葉足らずでなんで俺の性事情を説明してるんだろうなあ
エレナ,ねえプロデューサー。シズカだけなの？
P,えっ
紗代子,私達とは読んでくれないんですか？
P,いや、それは
恵美,確かにちょっと不公平だよね
琴葉,プロデューサー、私悲しいです
P,こ、この件の口止め料としてなら
ことエレめぐさよ,じゃあそれで！
静香,あああああ
P,わかった。でも今日はもう時間が無い。これから出かけるからさ。また後日な
アイドル達,コクコク
P,………。静香もまた後でもう1度な
静香,！！は、はい///
P,じゃあ行ってきます。昨日は大変だったな。アイドル達に薄い本のことがバレてしまうとは。まさかとは思うが広まったりしてないだろうな。そこはかとなく不安なんだが。まあ口止めしておいたから大丈夫だよね！
翼,おはようございまーす
P,おお翼おはよう
翼,ねぇねぇプロデューサーさん！ちょっと質問があるんですけど
P,近い近い。なんだい
翼,プロデューサーさんが///わたし達のエッチな本読んでるってほんとですか///
P,ブホォー！！
翼,きゃあああああああ！
P,す、すまん。汚れなかったか？
翼,大丈夫でーす
P,だ、誰だいそんなデマをばらまいたのは
翼,なんか小鳥さんがニヤニヤしながらブツブツ言ってたの聞こえちゃいましたー
P,音無小鳥ィ！
翼,やっぱりほんとなんだ///
P,他の人には内緒でお願いします
翼,わかってますよー。その代わりわたしのお願い聞いてくれますよね
P,弱みを握られてしまった
翼,静香ちゃんとはもう読んだんですよね？
P,どんな独り言言ってたんだ音無さん
翼,わたしも静香ちゃんみたいにその本一緒に読みたいなー
P,OH、それは…
翼,ダメなんですか？
P,あんまり良くはないな
翼,静香ちゃんは良いのに？
P,あれも事故みたいなもんだからなあ。仕方ない、口止め料としてちょっとだけ
翼,やったあ
P,でも導入だけな。さすがに女子中学生にアレなシーンは見せられん
