城ヶ崎美嘉,卯月～、どうやったら意識してもらえるのかなぁ
島村卯月,……どうしたの？急に
美嘉,プロデューサーのことだよ。あんだけハッキリ告ったのに相手にしてくれなくてさ～
卯月,それを私に聞くのはどうなのかな？曲がりなりにもライバルだよ？
美嘉,ライバル～？プロデューサーに別に好きじゃないって言ってなかったっけ？
卯月,う～……そういう意地悪はやめてよぉ……
美嘉,日和った者にはそれ相応のペナルティーがあるんだよ。恋のルールには
卯月,そんな事言って……美嘉ちゃんだって勢いで告白して以降、今日まで激テレ状態なくせに……
美嘉,は、はあ！？べ、別にテレてないし！？
卯月,プロデューサーさんに会うと顔真っ赤にしてモジモジしちゃってまともに話せてないのに？一時のハイな状態での告白にもペナルティーがあるんだよ？恋のルールには
美嘉,こ、この……。はぁ……ごめん。やめよ？こうやっていがみ合ってたら、また誰かにかっさらわれる
卯月,うん……そうだね
美嘉,お互いどうにかして前進したいとこだよね。関係性はもちろん、気持ちのあり方、向け方とか自分に対しても
卯月,そうだけど、どうにも出来ないのが現状だよね
美嘉,あ゛～……。卯月～、どうやったら意識してもらえるのぉ～？
卯月,美嘉ちゃん、ループしてるよ。ループ
美嘉,手っ取り早くイイ感じの自分になれるアイテムとか欲しいよぉ……。晶葉、作ってくれないかな……
卯月,そんなふんわりした希望を汲み取って望み通りの自分にしてくれるアイテムを発明したら、晶葉ちゃんほとんど神様だよ。創造主の領域
美嘉,ですよねー。結局は自分の努力次第なんですよねー……
卯月,うんうん。お互い恨みっこ無しで頑張ろうね。私はまず気持ちを伝えられる勇気を鍛えないと。いや、まずはスキンシップの強化かな
美嘉,……めっちゃ邪魔しよ
卯月,な！？流れ的に協力していこうってことじゃないの！？美嘉ちゃん、心が仄暗いよっ！
美嘉,仄暗い言うな！……卯月だって、アタシがプロデューサーとベタベタしてたら邪魔するでしょ？
卯月,するねっ！
美嘉,即答じゃん。卯月も仄暗いじゃん
卯月,……やるね、美嘉ちゃん。ぐうの音も出ないよ
美嘉,そこは出しとこうよ
うえきちゃん,………………………………ニャフフ
本田未央,ただまー
渋谷凛,ただいま
神谷奈緒,おつかれー
卯月,おかえりなさい。未央ちゃん、加蓮ちゃんの代役お疲れさま！
未央,うむ。労いの言葉、大義である！褒美にお茶を入れてやろう！
卯月,ふふ、私も手伝うよ
美嘉,加蓮なんかあったの？
凛,ちょっと体調崩してね。ただの風邪だけど、大事を取ってお休み
美嘉,そうなんだ。ライン送っとこ……。それでプロデューサーは？
凛,加蓮のお見舞い。一緒に行きたそうな奈緒が可愛かったよ
奈緒,おい！あたしは別に……！み、未央が一緒に行きたいって言ったんじゃないか！イチャコラしそうで心配って！！
凛,その言葉に必死で頷いて精一杯のアピールしてたじゃん。それがもうたまらなく可愛いくて可愛いて。ありがとう、奈緒
奈緒,～～っ！なんのお礼だよっ！馬鹿っ！！
凛,ふふ。……ん？美嘉？
美嘉,……ちょっと加蓮ん家行ってくる
凛,だ、駄目だよ。私達もプロデューサーに止められたんだから。うつったらいけないって
美嘉,でも、イチャコラしそうで心配……
凛,美嘉まで……。大丈夫だって。あのプロデューサーがアイドルに手を出す訳ないでしょ？
美嘉,逆だよ、凛。加蓮も奈緒みたいにプロデューサーのこと憎からず想ってるっぽいから、プロデューサーを守らないと
奈緒,な、何言ってんだ！あたしはＰさんのことなんて……なんて……あ、アレなんだからなっ！！
凛,アレ？どれ？
奈緒,う、うるさい！うるさーい！！未央ー！！凛が陰湿なイジメしてくる！！たすけてっ！！
美嘉,……えっと、なんだっけ
凛,加蓮が手を出すんじゃないかってことでしょ。それも心配ないって。あの子が心の準備なしに何かできるとは思えないし。その場の勢いでってことは無いよ。断言する
美嘉,……凛がそこまで言うなら。う～……でも、なんか悔しいからアタシの家にも来てもらお。仮病使うのは気が引けるけど
凛,そんな事しなくても、親が呼んでるって言えば来てくれるよ？さっきそう言って私ん家に来てもらったし
美嘉,……なんで？
凛,なんか両親がプロデューサーのこと気に入ってて話たがってたから。それでついでにお見舞いの花を買って貰おうという商売根性だよ
美嘉,そ、そう。にしても、ただの風邪にお見舞いの花か……。二人共、微妙な空気だろうな……これなら心配ないか
凛,……加蓮は素直に喜んで好感度上げそうだけど
美嘉,え？なに？
凛,ううん。とにかくプロデューサーは保護者には弱いから。なんだったら、親と口裏合わせてお泊りの方向に……なんてね
美嘉,！
凛,ふふ。まあ、頑張って
未央,おまたせー。何々？なにを頑張るの？
美嘉,な、何でもないよ？
卯月,……良からぬことを考えてるね？その顔は
奈緒,だな。こいつはくせぇ
未央,ほほう……美嘉ねぇ、何を企んでるんだい？大人しくウタっちまいな？上のもんには黙っといてやるから
美嘉,べ、別になにも企んでなんか……
未央,仕方ねえ……おめぇらやっちまいな
卯月,ヘイ、アニキー！こんなおへそが見えそうな服着ちゃって……くすぐって下さいって言ってるようなものだよ！それそれっ！
奈緒,エッロイ格好しやがって！ほらほらほらっ！！
美嘉,あははっ！！や、やめっ！！うひぃ！！ひゃはは！ふひひひひ！！
卯月,スベスベの脇してからにっ！まったく、まったくもう！！
奈緒,ホントだよ！くすぐる手が止まらんわ！！
美嘉,いーひっひひ！お、おねがいっ！も、もうやめ、んはぁん！
卯月,エッチだ！あはは！！
奈緒,ふはは！
うえきちゃん,にゃーははは！！それそれ～
卯月,あはは……？
奈緒,ははは……？
うえきちゃん,わさわさくすぐり～。わさわさ～
卯月・奈緒,ほわぁ！？うえきちゃん！？
美嘉,た、たすかった……ふぅ、ふぅ……
未央,……しきにゃん、何してんの？
一ノ瀬志希,お？よく分かったね？そうですあたしが志希にゃんです
未央,いや、そうじゃなくて。なんでうえきちゃん？
