阿修羅センター顔(以下センター),ひどい……あんなに好きって言ってくれたのに……
センター,よりにもよってキスの前にお前……やっぱり正面から見るとキツいわ、別れよなんて……。そりゃ確かに私は両サイドの顔はいいのにセンターだけクソブスで詐欺ってるなとは思うよ？デートの時も横顔だけ見られるように意識して歩いてるよ？だからってそんなキスの前で言わなくても……。言ったらあのヤローだってセンターは松坂◯李みたいなとこあるけど、両サイドは結構壊滅じゃねーか！。ああほんと、阿修羅(♂)はセンターメン食い多すぎて嫌になるわ
阿修羅右顔(石原◯とみ似、以下さとみ),まぁまぁ、少し落ち着いて
阿修羅左顔(橋本◯奈似、以下ハシカン),あんな男のこと忘れましょ？
センター,あんたらもあんたらよ！あんたらの顔が無駄にいいせいで街中で何度声掛けられて振り向いた瞬間(察し)されたことか！
さとみ,いやあれは何度でもウケる
センター,ウケてんじゃねーよ！
ハシカン,新しいお相手を見つけたらどうでしょうか？
センター,いや、もう当分男はいいわ、特に阿修羅オスはクソ！
さとみ,なら次はケルベロスにすれば？
センター,3頭シリーズやめろや！
ハシカン,それならば双頭のオルトロスなどどうでしょうか？
センター,そういう問題じゃねぇよ！せめて亜人がいいつってんだよ！。あーつれぇ、どっかに現金5億落ちてねぇかな。ん？チラシ……阿修羅専門整形外科新装オープン！6箇所同時マッサージから顔面ポジションチェンジまで……これだ！
さとみ,ってあんたまさか！
ハシカン,センターを降りるおつもりですか……？
センター,あぁそうだよ！こんなクソブスは脇に引っ込んであんた顔のいい女をセンターにして人生大逆転だよ！。おっしゃー！顔面顔面顔面～！。すんませーん！顔面ポジションチェンジ1丁！麺大盛りで！って違うか、ガハハ！
ダイダラボッチ,シャッセー、オオーオ客サン初メテノ来店ネー！
さとみ,そら阿修羅専門とか超ニッチだからね……
ダイダラボッチ,特別ニ、オ客サン無料ニシテアゲルヨー
センター,しゃー！真面目に生きてて良かった！
ハシカン,なんて都合のいい展開なのでしょうか……
センター,んで、どうやって顔面ポジションチェンジすんの？
ダイダラボッチ,ハァッ！
元センター,いてぇ！
ダイダラボッチ,完了ダヨー
元センター,そんな力技なのかよ！てかいてぇ！マジでいてぇ！
さとみ,そんじゃ、これかれはアタシが新センターね
元センター,マジで痛覚がワシにしかない仕様なんとかならんの……？。あー！後ろ向きの景色って新鮮！見てみ？あいつさとみの顔見て思わず振り返ってワシの顔見た瞬間にめっちゃ嫌そうな顔したぜ？ｻﾞﾏｧ
さとみ,あーうるさいうるさい、少し黙ってよ美人が台無しじゃない
ハシカン,何事です！？
口裂け女,あー！顔のいい女全員ﾀﾋね！あっ、石原◯とみ顔！
さとみ,な、何あいつ……
口裂け女,てめぇの顔面ボロッカスにしてやるわーーーー！！！！！
さとみ,いやーっ！
口裂け女,失恋ショコラティエぇぇぇぇぇぇぇぇぇ！！！！！
センター,……
口裂け女,あん？
ハシカン,せ、センター……？
さとみ,あんたまさかアタシを庇って……
口裂け女,ぷっ……ククク……こいつセンターは顔がいい女の癖にサイドの顔こんなクソブスなのかよwそんなん詐欺じゃねーかwww
センター,ああ……いてぇいてぇ……。首回したのマジいてぇ、もう二度とあの手術やらねーからな……
口裂け女,そっちかよ！
さとみ,センター！ヤバイって逃げなきゃ！
ハシカン,そうです！危険です！
口裂け女,ハッ！1面だけ顔がいいとかとんだ詐欺阿修羅メスじゃない！あーお菓子食って腹痛いわー！
センター,おい……
口裂け女,あん？
センター,ワシの悪口はいい、どうせクソブス顔面凶器なんだから。でもなぁ！ワシの大切な残り二つの面、さとみとハシカンをバカにするのは許さねーぞ！。てめぇは性格がブスだから顔面もブスなんだよおらぁぁぁぁ！
口裂け女,ぐふええええええええ！！！！！！！！
センター,ふぅ、何なんだよあいつ、顔もブスだし断末魔もモヒカンじゃねーか
さとみ,それよりセンター！病院病院！
ハシカン,血が……血が……
センター,あー大丈夫大丈夫、ブスの生命力半端ないから。それよりあんたらの顔面に傷つかなくて良かったわ
ハシカン,センター……
さとみ,ほんと、やっぱセンターはいい女だわ！
センター,おうありがと！そんじゃ飲みにでも行くか～！
