本田未央,おっはろー！
渋谷凛,あ、未央、ふふっ、なにその挨拶。まるで“おはようとハローがかかっていることが面白いと言わんばかりであり本人もそう信じて疑わんばかりの挨拶”だね
未央,その明確すぎる敵意はどうしたの？
凛,そんなことより、ちょっと相談に乗ってほしいんだけど
未央,そんなことって
凛,実は、ウチの花屋についてなんだ
未央,しぶりんの家の花屋？なにかあったの？
凛,ううん、特別なにがあった、ってわけじゃないんだけどさ。ほら、私たちも少しは有名になったでしょ？
未央,まあ、そうだね
凛,それを、上手く花屋の人気に結び付けられないかな……って。親孝行って程でもないんだけど、もっと売り上げが伸びればなって
未央,おお～、いいことだね！そういうことなら協力するよ！
凛,ありがと。目指せ全国チェーン！
未央,目標が不相応。でも、しぶりんの実家ってことでファンがけっこう訪れてるって聞いたよ？
凛,うん、確かに来る人は増えてるんだけど、結局、花を目当てに来てるわけじゃないから、そこまでの売り上げにはならないんだよね
未央,あー、シビアだけどまあしょうがないね……
凛,しかも、割と1度行ったら満足する人も多くて、継続的な収入は見込めないし
未央,難しいね……
凛,10000円以上買い物しないと外に出れないシステムとかどうかな？
未央,悪質ってレベルじゃないよ
凛,9500円！
未央,金額じゃなくて！あと下げ幅せこい！！。じゃあ、花だけじゃなくてしぶりんのグッズとかも売ればいいんじゃないかな？
凛,それは邪道だね
未央,さっきまで犯罪まがいのプレゼンをしてた人とは思えないね
凛,花屋はね！売ってる花だけで勝負しなきゃダメなんだよ！
未央,じゃあこの会話の意味ないよ！現状の戦力でこの先も頑張ってよ！！！
凛,さすがに冗談なんだけどさ
未央,適当なこと言って冗談でしたの一言で投げ捨てるのやめない？
凛,そこで、全国で儲かってる花屋について調べてみたんだ
未央,そこはちゃんと調べたんだね、成功例に学ぶのはいいかも
凛,まず、どこかと提携しているパターンだね
未央,提携？
凛,うん、例えば、結婚式場とか
未央,あー、なるほど！結婚式場ならたくさんお花も使うもんね
凛,うん、人の幸せにつけこんでなんか派手な花を売りつけるぼろい商売だね
未央,発想が鬱屈してない？同業他者はみんな親の仇に見えてるの？
凛,あとはお寺とか
未央,うんうん、そっちも花は必要だね
凛,人の死という、ある種の人生の区切りの際に花で彩りをし、故人の穏やかな死後と子孫の繁栄を祈る素敵な商売だね
未央,もうしぶりんの価値観が理解できないや
凛,でもやっぱり、そういうところは既にどこかと提携してるから、新規参入は難しいんだよね
未央,そうでなきゃ、みんなお花屋さんになっちゃうもんねー
凛,だから、もうアイドルに売りつけようかなって
未央,急に戦略もクソもなくなったね！？
凛,まずほたるにスズラン100鉢
未央,もはやそれは販売じゃなくて卸売りだよ！！
凛,じゃあどうすればいいのさ！！
未央,情緒が安定しなさすぎだよ……
凛,どうせ花屋なんて必要ないって思ってるんでしょ！
未央,しぶりんの中で私は花屋業界の敵なの？なんで？
凛,未央のフラスタだけ断ってもいいんだよ
未央,もはや売り上げを下げにいってるじゃん！
凛,やっぱり、普通に宣伝するのがいいのかな……
未央,うーん……、あとは、“1000円以上お買い物でしぶりんと握手！”みたいなのは？あまり褒められた作戦じゃないかもだけど……
凛,ノーベル賞モノだね。今日からなんでも命令していいよ
