クラスメートの悪魔,私と……？
タプリス,はい、もしよければご一緒にと思いました。チケットを2枚もらったので
クラ悪,……行く
タプリス,あなたはどんな映画がお好きなんですか？
クラ悪,映画……。恋愛……？
タプリス,恋愛映画ですか！素敵ですね
クラ悪,最近見たのは……。貞子vs伽椰子……
タプリス,それ恋愛映画じゃないですよね！？
クラ悪,戦いの中で一つになる……素敵
タプリス,やっぱり理解出来ないかもしれません……
クラ悪,千咲さんは……？
タプリス,私？
クラ悪,映画……何が好き？
タプリス,そうですね。最近だと君の名はでしょうか
クラ悪,君の名は……。……見てない。ごめんなさい……
タプリス,い、いえ全然謝る事じゃないですよ！。私だって貞子vs伽椰子見てませんし
クラ悪,……それで。……名前はなんだったの？
タプリス,気になる所はそこですか！？。瀧くんと三葉ですかね
クラ悪,たきくん……みつは……。これで見たも同然……
タプリス,絶対そんなことないです！。もうすぐDVDが出るので見ましょう
クラ悪,……。一緒に……？
タプリス,えっ！？それでもいいですが
クラ悪,そう……。楽しみ……
タプリス,それで。映画は今日の放課後で大丈夫ですか？
クラ悪,今日……。うん……大丈夫。今朝ヤカンを火にかけたまま家を出てきたから心配だったけど……
タプリス,大丈夫じゃないじゃないですか！
クラ悪,でも大丈夫だから……。行きたい……
タプリス,そ、そうですか？。まず家に寄ってから行きましょう
クラ悪,うん……
タプリス,火、止まっててよかったですね
クラ悪,うん……。ホームレスになるところだった……。そういえば……。……何の映画を見るの？
タプリス,いまやってるうちの好きな映画を選べるみたいですよ。何かみたい映画はありますか？
クラ悪,……。千咲さんは……？
タプリス,私は……そうですね。美女と野獣なんてどうでしょう
クラ悪,私も……それが見たい……
タプリス,本当ですか！じゃあ整理券に交換してもらってきましょう。吹き替えと字幕、どちらが良いですか？
クラ悪,どっちでも……
タプリス,うーん、じゃあ字幕で
クラ悪,映画……慣れてるの？
タプリス,前に先輩に連れてきてもらったことがあって。それからたまに見に来ているって感じですね
クラ悪,そうなんだ……
タプリス,もしかして映画館は初めてですか？
クラ悪,うん……。いつもレンタル……
タプリス,映画館で見る映画は凄い迫力です。ぜひ楽しんでください！
クラ悪,うん……！。あ……あれ……
タプリス,ポップコーンですか？
クラ悪,うん……。食べてみたかった……
タプリス,映画のお供はやはりポップコーンですもんね。味は何にしますか？
クラ悪,味……？。何があるの……？
タプリス,塩味とか、キャラメルとかですね
クラ悪,……キャラメル
タプリス,私もキャラメル大好きです。甘くて少しサクサクしてて
クラ悪,美味しそう……。なんだか……緊張する……
タプリス,楽しみですね。そろそろ始まりますよ
クラ悪,暗く……なった……。落ち着く……
タプリス,素敵な映画でしたね！
クラ悪,うん……。映画泥棒先輩……初めて見た……。あの人は……魔界の有名人……
タプリス,映画泥棒って悪魔だったんですか！？
クラ悪,うん……
タプリス,映画、面白かったですね
クラ悪,特に……終盤の盛り上がりはよかった……
タプリス,はい！ラストもとても感動的でした！
クラ悪,……こうして。見た映画の話出来るの……嬉しい……
タプリス,そうですね！。いつもは一人で来るので見てすぐに話ができるのが楽しいです
クラ悪,もっと……話したい……
タプリス,あ、それじゃあこの後私の家に来ませんか？
クラ悪,いいの……？
タプリス,はい！都合がよければですが……
クラ悪,行きたい……。……お泊り？
タプリス,そ、そうですね！。誰かを家に泊めるなんて始めてなので緊張しちゃいます
クラ悪,私も……。友達の家に泊まるの初めてだから……
タプリス,友達……
クラ悪,違った……？
タプリス,……いえ！。友達です！
クラ悪,……うん。今日は……徹夜で語り合おう……
タプリス,徹夜！？それはさすがに……
