俺の声は誰にも届いていないようだ。コミホ,小日向美穂のこと。イかしてあだ名だろ？
嬉しいときの話題は決まって,プロデューサー
そう思ってたときだった。,ガチャリ
ここに,99
昔は器物だけがこの,ツクモガミ
しかし、俺は,神様
しかし、なら話は変だ。俺は生まれて100年も経ってない。工場でおぎゃあとなった,なってない
付喪神は、,モノ
まぁ、悪い気はしねぇ。むしろ嬉しいわ。コミホが、俺が生まれる前から、俺の事をずっと大切にしてくれた証が,プロデューサーくん
え、ちょ、ヨダさん、まだ俺訊きたいこととかいっぱいあるんだけど、ねぇ、あ帰っちゃった、,おじゃましました
ヨダの視界の、ピンク色が映る。そのピンク色は、アイドル双葉杏が愛でているウサギのぬいぐるみ――,うさぎ
P,プロデューサーの頭文字をとったぜ。だって俺と混じってややこしいだろ
……なんだこの、,応援してるぜ！
ドアをノックする音もなく、廊下の光が入り込む。何だ泥棒か！？オイ、泥棒か！？このセキュリティが厳しい,とコミホが言っていた
俺以外の付喪神を見たのは初めてのことで気が動転していた。ずっと叫んでた。俺が叫んだところで誰にも聞こえないけれど、同じ付喪神なら声が届いてしまうらしい,この考えていることも訓練すれば垂れ流さずシャットアウト出来るようになるんだとか
うさぎさん,一応先輩
うさぎさんは一切顔色を変えず,元々顔変わらないけど
900年前、ほら貝の付喪神に,ヨダヨシノ
なぜならば、それが,ヨダヨシノ
彼女がプロデューサーくんの発生を予知出来たのも、彼女がプロデューサーくんお前でアイドルである,依田芳乃
その彼女は、今プロデューサーくんに対しある試験のような事をしている。それは,無害な付喪神に成れるか
数ヶ月前にこの試験を受けたうさぎは、ヨダの助手として付喪神の観察をしている。彼の存在理由は,存在理由を探すため
さっきから何回,心地良い
それに一度動くことの,快感
そして、俺は今うっさん,うさぎさんだと長いからあだ名
そして今日、下の中庭に仁奈ちゃんがいる。仁奈ちゃんは洗濯が上手らしい,うっさん談
片耳だけが洗濯ばさみで吊されることになって、より痛みが増した。俺たち二人,？
俺の叫びも虚しく、うっさんは中庭へ落ちていく。地面とぶつかった瞬間に,ぎゃおら！
いつか、俺がいる部屋に戻ったときも、コミホじゃない、,アイドル小日向美穂
かつてこの部屋を訪ねてきた二人,一人と一つ
俺は、コミホに,プロデューサーくんへ
ヨダさんは腕だけをほら貝にして,中々にクリーチャー
彼女,今は男の姿
それじゃあ、とうっさんも帰って行った。いや姿が男のままだから問題になりそうな気が,侵入者だーー！
俺の毛がボサボサになって色落ちして、日焼けしてシミが付いて、お前がゴミ箱に入れるその瞬間まで。コミホのくれた,プロデューサーくん
元ネタは小説仮面ライダーオーズ,バースの章
