透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
カガヤイテ～ココイチバン～～♪,OP
咲,お邪魔しまーす
宥,咲ちゃんいらっしゃーい
玄,んふふふっ、今日も来たんだね咲ちゃん
淡,咲もほんと飽きないよね～
咲,なんですかその含み笑いは・・・、ただ遊びに来ただけじゃないですか
玄,だって・・・
玄淡,ねぇー♪
咲,なんなんですか二人して・・・まったくもう・・・
宥,玄ちゃんと淡ちゃんは、あれで結構気が合うから
咲,ほんとあの二人は・・・って、え！？なんで大星さんが宥さんの家にいるの！？
淡,なにさー、私がここに居ちゃいけないって言うのー？
咲,そうじゃないけど・・・
宥,淡ちゃんも、よく家に遊びに来るんだよ？
淡,どうも！松実家三女、松実淡です！
咲,松実家三女・・・！？。そうか・・・その手があったんだ・・・。私が松実家の三女になれば、堂々と宥さんに甘えられたんだ・・・。そうなれば・・・
玄,咲ちゃんがまた、理想のおねーちゃん妄想してるや
咲,あぁ・・・宥さんの膝枕と耳かき・・・
淡,ねえねえ咲
咲,・・・！なっ、何大星さん？
淡,私と咲が知り合いってこと、宥に教えて大丈夫なの？
咲,！？。そうだった！私は阿知賀麻雀クラブにいた、小学生の設定！。私が大星さんと知り合いってことを知ったら、宥さんに私の正体がばれるかも！？
淡,まぁたぶん、宥は以外と鈍感だから気づかないと思うけど
咲,・・・というか、大星さんはどこまで知ってるの？私がここ格好してる理由を・・・
宥,あっそうだ、私お菓子持ってくるね
淡咲玄,・・・
咲,・・・ばれてないよね？
玄,あれは気づいてないね～
淡,ほらやっぱり、宥があんな些細なことで気づくはずないもん
咲,でっ！なんで大星さんがここにいるの！？
淡,淡でいいよ、私のこと大星さんなんて呼ぶ人全然いないし
咲,あえっと・・・じゃっじゃあ、淡ちゃん
淡,はいはいなんですかー？
咲,どうして淡ちゃんがここにいるの？私がこの格好してる理由知ってるの？
淡,んふふ～っ♪なんででしょ～？
咲,ちょっと、真面目に答えてよ・・・って言ってもまぁ、理由の方は大体分かってるけどね
玄,えへへっ、私が教えちゃいました
咲,玄さん！。どうして淡ちゃんに、私が宥さんに憧れてること教えちゃったの！？
玄,だって、誰かに話したくなっちゃって・・・
咲,なんでよりによって淡ちゃん！？トラブルメーカーですよこの子、きっと
淡,今なんだか咲に、失礼なこと言われた気がする
玄,淡ちゃんは本当にちょっと前から家によく遊びに来るようになったの。多分咲ちゃんが家に来るようになったのと、同じ時くらいかな？
淡,今までここでは会ったこと無かったもんねー
玄,それでこの間、淡ちゃんが家に来てる時咲ちゃんの話になって・・・
淡,小学生の咲が見たい！ってわけで、今日は遊びに来たんだよ
咲,うぅっ・・・玄さんのおしゃべり・・・
淡,いいじゃんいいじゃん！別に邪魔するわけでもないし！
咲,これ以上、面倒事を増やしたくないの！
玄,そう思えば思うほど面倒事が増えていく、そんなもんだよ人生って
咲,なにその年で人生語ってるんですか！
淡,前に会ったときとだーいぶ印象が違うや。ねえねえ、なんで咲は宥に憧れてるの？
咲,それは・・・
玄,咲ちゃんはね、おねーちゃんに理想のお姉さんを重ねてるんだよ
淡,理想のお姉さん？でも咲にはテルーが・・・
咲,淡ちゃん！・・・この事はお姉ちゃんには言わないでね
淡,えっ？あっ、うん・・・
咲,・・・私ね、お姉ちゃんとあんまり仲良くないんだ。昔は仲良しだったんだけど、色々あって・・・今は・・・
淡,そう・・・なの？
玄,人生色々って事だね
咲,でもね、やっぱり私はお姉ちゃん子だったんだよ。だけど今私に甘えられるお姉ちゃんはいないんだ・・・。そんな時、宥さんに会って私・・・
玄,優しい理想のおねーちゃんに一目惚れってわけだね
咲,・・・そういうわけじゃないですけど。ただ、宥さんと一緒に居るとあったかいっていうか・・・。妹だったときの私に戻れるっていうか・・・
淡,・・・ふーん、そう言うことかー
玄,でも最近は、私と遊ぶのが楽しいからだよね！
咲,えっ？あっ・・・はい、少しは
淡,ねえ咲？多分テルーは咲のこと・・・
宥,お待たせー、お菓子持ってきたよ
玄,わーい、お菓子だお菓子ー
宥,あっ、お茶の準備忘れて来ちゃったや
咲,宥さん！私手伝います！
宥,ありがとう咲ちゃん
咲,えへへへへへへへへっ
淡,・・・まっ、また今度でいっか
宥,じゃあ台所まで来てくれる？
咲,はい！宥さん！
淡,咲ってば、ほんとに宥になついてるんだね
玄,家に遊びに来たら大体いつもあんな感じだよ
淡,玄はヤキモチとかやかないの？
