ラフィエル,この近くには悪いオオカミ駄天使がいるから丈夫な家を建てるんですよ♪
サターニャ,ふふん！大悪魔である私が作る家だもの。オオカミ駄天使ごときが突破できる訳ないじゃない！！。やれやれ。やっぱりサターニャはダメね！藁なんかで家を建てたらすぐに壊されるに決まってるじゃない。それに比べて私の家は木で出来ている。オオカミ駄天使なんて目じゃないわ！！。甘いわ…藁だの木だの。そんなんでオオカミを防げる訳ないじゃない。それに比べて知的でスマートな私はレンガで家を建てるわ！！オオカミだろうが駄天使だろうがいくらでもかかってきなさいっての！！なぁ～っはっは！！
ガヴリール,サターニャ。すまないが家に入れてくれないか？腹が減って死にそうなんだ
サターニャ,フン。嫌よ！どうせ開けた途端私を食べるつもりなんでしょう？
ガヴリール,そうか。それならこんな家吹き飛ばしてやるよ！
サターニャ,えっ…？私の家…あ、嫌…や、やめて…食べないで！！やめっ
ガヴリール,食べるよ！！
サターニャ,あ…あ゛がッ？！い、痛…やめ゛っ…///痛゛い！！死ぬ…嫌…い、あ゛あ゛あ゛あ゛あ゛★？！！
ガヴリール,サターニャ、サターニャ。開けてくれよ…たのむから家に入れてくれよ
サターニャ,駄目に決まってるじゃない？！あなたサターニャを食べたでしょう！きっと私のことも食べるに決まってるわ！！
ガヴリール,そうか…それならさっきと同じようにこの家を吹き飛ばしてから食べてやる！！
サターニャ,ふ、ふふん！そんなもんで私の木のお家が壊れる訳ないじゃない！！
ガヴリール,そうか…それなら体当たりでぶち破ってやる！！
サターニャ,ひ、ひぃぃ？！！私の家が…や、やめ…来ないで！
ガヴリール,お前は丸呑みにしてやるよ
サターニャ,ひあっ？！にゃ…め、やめ…///くぁ…？！あ…あぁ！！死……助け…
ガヴリール,………けぷ。おい、サターニャ！！家に入れてくれ！
サターニャ,い、や、よっ！！私は2人のサターニャほど馬鹿じゃないんだから！何をいっても無駄よ
ガヴリール,そうか…なら力強くで引っ張り出すしかないな！。ちっ、なら体当たりだ！
サターニャ,ふ、ふふふ！！だから言ったでしょう？私は他のサターニャほど馬鹿じゃないって！
ガヴリール,いてて…くそ！こうなったら煙突から入って食ってやるよ！！
サターニャ,え…？た、大変！！
ガヴリール,へへへ、待ってろよサターニャ。お前もすぐに腹のなかで姉妹に再会させてやるからな！！。熱゛っつあ゛あ゛ーーーーっっ？！！。熱い！！サターニャ！助けて！！
サターニャ,助けて欲しかったらもう私たちを食べたりしないって約束しなさい！！
ガヴリール,しないしない！！
サターニャ,食べたお姉ちゃんたちも返す？
ガヴリール,返す返す！！返すからはやく助けて！！！
サターニャ,よし。約束よ？それなら助けてあげる
ガヴリール,ふいー…助かった…
サターニャ,それじゃあ約束通りお姉ちゃんたち返してもらうわよ？
ガヴリール,ふあ…？お、おまえどこ触って…ひゃん！？
サターニャ,ちょっとうるさいわよ！約束は守りなさいよね！！
ガヴリール,そんなこと言ったって…っ///んあっ♡？！
サターニャ,うぅ…いったいどこにいるのよ…？！
ガヴリール,うや？！あ、あぁ…うぃぃ///？ふーっ…ふーっっ…っ///あ、あ…あ゛あ゛～～～～っっ★？！！！
サターニャ,えいっ！！
サターニャの肉片,
溶けかけのサターニャ,
サターニャ,ひっ…これって…お゛ぇえ゛え゛！！！！！あ、あ゛あ゛あ゛あ゛！！！！！！！
ガヴリール,もうお嫁にいけない…っ///責任…とれよな…♡
