財前時子,朝から、うるさいわね
恵磨,時子ちゃん、おはよう！はやいね！
時子,だから、声が大きいのよ。朝ぐらい静かにしてほしいものだわ
恵磨,普段通りだけどなぁ
時子,普段からうるさいってことよ。もう少し声量を落としなさい
恵磨,あー、朝ご飯食べてないから、はらへったー。時子ちゃん、カ○リーメイト食べる？
時子,少しは話を聞きなさいよ
恵磨,もぐもぐ、うん、チョコ味が一番！
時子,……一本頂戴
恵磨,はい！
松山久美子,おはよー
時子,おはよう、久美子
恵磨,おはよっす、久美子ちゃん
久美子,あら、相変わらず仲よくて羨ましい
時子,なんで、恵磨なんかと……
恵磨,カロリー、久美子ちゃんも取る？
久美子,私は食べてきたから、遠慮するね。プロデューサーはまだ？
時子,まだよ。私を待たせるなんて、いい度胸だわ
恵磨,誰よりも早く来て、そのセリフ言うんだ
時子,ありがとう、久美子。ローズヒップティーを買ってあるのよ、開けていいわ
久美子,ふふふ、わかった
時子,なによ、久美子
久美子,なんでもなーい、待っててね
恵磨,ムフフゥ
時子,恵磨もなによ
恵磨,いやー、時子ちゃん優しいなぁって
時子,ハァ？何言ってんのよ、というか何本食べてるのよ
恵磨,３本目、もっと欲しい？
時子,いらないわよ
恵磨,もう一箱あるから遠慮しなくていいのに
時子,何本食べる気よ。というか、今日なにするかわかってるのかしら？
恵磨,わかってる、わかってる、ロケでしょ
時子,食べる仕事もあるのに、止めときなさいよ
恵磨,ん？なんで？
時子,なんで、って……
恵磨,これ別腹だし、心配ないっしょ
時子,まさか貴方、本当に別腹があると思ってるのわけ？
恵磨,え、ないん？
時子,ないわよ！
恵磨,ははは、冗談だって。流石にそんなおバカじゃないよ！
時子,はぁぁ、それでも貴方は脳味噌足りてないわ
恵磨,小顔だからね！
時子,そうじゃない
恵磨,味噌、ああ！名古屋に帰りたいとか？
時子,名古屋人が味噌ばっか食ってると思ったら大間違いよ
恵磨,嘘だぁ、チューブ味噌なんて普通の家には置いてないよ
時子,はいはい、冗談はやめて
恵磨,冗談じゃなんだけど
時子,……嘘よね
恵磨,……
時子,え？
ＰａＰ,おはよーさん
恵磨,おはよーございまーすっ！
ＰａＰ,おはよう、恵磨ちゃん。時子ちゃんはなんでそんな難しい顔してんだ？
時子,貴方は時子様と呼びなさい。ところで、貴方
ＰａＰ,なんだい、時子ちゃん？
時子,……チューブ味噌、家に置いてるわよね？
ＰａＰ,味噌、チューブの？うちにあるのは生クリームとか練乳のチューブだけだ
時子,聞く人を間違えたわ
久美子,お茶が入ったよー
ＰａＰ,おはよう、久美子ちゃん。僕にも貰える？
久美子,あ、おはようございます、ＰａＰ。今から注ぎますね
恵磨,おー、いいニオイ、アッチ
ＰａＰ,良い、気持ちが落ち付くな
時子,香りが引き出されてるわ、ありがとう、久美子
久美子,どういたしまして
時子,あと、聞きたいことがあるのだけれど
久美子,なぁに？
時子,チューブ味噌、家に置いてるわよね？
久美子,それは時子ちゃんだけよ
時子,ま、まさか、そんな
恵磨,時子ちゃんが慌ててるの珍しいなー
ＰａＰ,こういう路線もありだな
時子,貴方、何言ってるのかしら？
ＰａＰ,なーんにも、いつか可愛いフリフリドレスを着せて、慌てふためかせてやる、とか思ってもないし、言ってもない
時子,言ってんじゃないの！
恵磨,似合うと思うけどなぁ
久美子,ふふ、うふふ……
時子,あ、貴方達……
ＰａＰ,時子ちゃんのファンがそんなの求めてないからしないけどね
時子,なら、なんで言ったのよ、わざわざ！
ＰａＰ,さて、そろそろ時間だな。準備出来たかー？
恵磨,オッケー
久美子,大丈夫よ
時子,待たせすぎよ
ＰａＰ,はい、調子よさそうだな。企画書は持ったか？
久美子,はい、これよね？
ＰａＰ,そう。出発前に簡単に説明しとくぞー。今日はロケで、行き先はイ○ンだ
時子,イ○ンって、もっと遠出したかったわ。最近近場ばかりだもの
ＰａＰ,はいはい、次は３人で旅番組だといいね。今日は、今月１日付で店内内部をリニューアルして、その新店舗の紹介だ
恵磨,今日はアタシのお気に入りのお店の紹介なんだよね
ＰａＰ,訪ねる店は決まってるから、企画書見てね。一応店舗全体に撮影許可撮ってるから、フィルムを圧迫しすぎない程度には他の店の映像とるかもしれないから、興味ある店は言うように
久美子,わかった
ＰａＰ,では、出発。車内で企画書にもう一回目を通せよー
久美子,こんにちは！今日は今月１日にリニューアルオープンしました、イ○ンモール××店にお邪魔しています
恵磨,おー、凄い人だかり。平日なのにねぇ
久美子,こちらは平日なのに大盛況です
恵磨,みんな元気ー？
久美子,それでは、今日も、松山久美子と
時子,財前時子と
恵磨,仙崎恵磨でお送りします！
時子,なんかうるさいのがいたわねぇ。そこの貴方！その戯言を吐くしか能のない口を閉じなさい！
久美子,あー、彼があの声の正体かぁ。時子ちゃん耳いいよね
恵磨,嬉し泣きしてるね、彼
久美子,あんなに顔を赤くして……
恵磨,そりゃ嬉しいよ、時子ちゃんに指名されて罵られるなんて滅多にないもんね！
時子,さて、静かになった所で行きましょうか
久美子,え、ええ。気を取り直して、今日の初めのお店はこちら！
恵磨,じゃーん
時子,じゃーん……
久美子,Banosdeさんでーす！
恵磨,パチパチ！
時子,口でいうかしら、普通……
恵磨,久美子ちゃん、このお店は？
久美子,Banosdeさんは、お風呂用品のお店なんです
時子,へぇ。なんだか、いい香りがするわね
久美子,独自ルートを用いた、バスオイルとバスソルトが自慢だそうで
恵磨,へー、時子ちゃんにぴったりだね。バラの香りに包まれるとかいいじゃない、女王様気分になれそうだわとか言ってたもんねー
時子,似てないうえに、その情報いるかしら？
久美子,まぁまぁ、まずは行ってみよう！
時子,ふーん、これは
久美子,バスオイルね、サンプルがあるから試してみたら
時子,あら、良い香り
恵磨,アタシにも貸して、うわ、キッツ！
時子,直接鼻近づけるとか、バカじゃないの
恵磨,あー、そうだよね。うん、いい香りだ
時子,ほぉ。いいわねぇ、これ
久美子,バスオイル使うと温まり方が違うものね、香りにはリラックス効果もあるし
時子,久美子は入浴にも気を使ってそうね
久美子,キレイのコツはお風呂とお風呂場の鏡だもの
時子,じゃあ、オススメを教えて頂戴
久美子,ええ、喜んで
時子,あなたもよ、恵磨
恵磨,アタシも？
時子,どうせ、ゆったりと入ってなんかないんでしょう
恵磨,失礼だなぁ。ちゃんと５分はかかるよ
久美子,……恵磨ちゃんにも探しましょう
時子,落ち着かせるものを探しましょう、凄く効く奴がいいわねぇ
恵磨,次のお店はここ！
久美子,アクセサリーショップ？
恵磨,そう！今注目のショップ、フェスターさんです、じゃーん！
時子,……
久美子,あれ、じゃーん、って言わないの？
時子,あれ、言わされてるのよ……。そんなことより、ここのお店は久美子が案内しないのね
久美子,はい、ここは恵磨ちゃんにお任せです、よろしくね
恵磨,よろしくされました！近くに出来て嬉しいんですよ！
時子,はいはい、それはわかったわ
恵磨,時子ちゃんにあげた革のブレスレットもここで買ったんですよー
久美子,ああ、それ。右腕についてるやつ
時子,あら、そうなの
久美子,あらあら、やっぱり仲良しね
時子,貰ったら使わないと損じゃないの、別に気に言ったとかそういうわけじゃないわ
久美子,はいはい、わかってる
恵磨,さ、入るよ！。おおー、テンションあがって来たぞ！
久美子,ほんとに革小物ばっかのお店なのね
時子,へぇ、好みだわ、この店
久美子,また、ごっつい革ジャン選んだね
恵磨,おお、時子ちゃん、ロック！
久美子,ロックというか、あれねぇ……
時子,クックック、アッハッハ、いいわね、漲ってくるわ
久美子,何がよ……
恵磨,時子ちゃん、それ男性ものだけど、いいの？
時子,そうね、やっぱり肩幅が広いわ。女性向けもあるの？
恵磨,レディースの品ぞろえもいいんですよ、ほら！
時子,あら、やるじゃない
恵磨,そう、いいお店なんです！品ぞろえも豊富！
時子,このベルト……、叩いたらいい音がしそうねぇ……
