島村卯月,※以下卯月表記
凛,ほら……私たちって、この事務所が出来た最初の頃から居るでしょ？
卯月,うん
凛,それで、私たちも仕事に慣れてきたし、新しい人達も増えてきて。プロデューサーも新しい人達の面倒を見るようになって、私たちの事を見ることは減ってきたよね？
卯月,うん
凛,だから、たまには私たちの事も構って欲しいな……って、思って……
卯月,なるほどね……ふふっ、凛ちゃんは本当にプロデューサーさんの事が好きなんだね！
凛,えっ、いや……別に……そんなんじゃなくて……でも、ただちょっと寂しいなって……
卯月,ふふふ！そういう事なら、私も手伝うよ
凛,卯月……ありがとう
卯月,えへへへっ！
凛,それで、プロデューサーに構ってもらうにはどうしたら良いかな？
卯月,普通にお仕事について来てもらうとか、レッスンを見てもらうんじゃダメなの？
凛,うーん……なんか、こう……もっと意識して欲しいというか……もっと印象付けたいというか……
卯月,うーん……それじゃ、他のアイドルの人達を真似して、普段とは違う凛ちゃんを見せるとか
凛,例えば？
卯月,えっと……あっ、ちょうど瑞樹さんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
モバP,※以下P表記
P,そうしたら……あれ？えっと……
瑞樹,この書類でしょ？わかるわ
P,あぁ、そうです。ありがとうございます
瑞樹,どういたしまして
P,じゃあ、そうしたら……
瑞樹,コーヒーでしょ？わかるわ
P,あぁ、そうです。ありがとうございます
瑞樹,どういたしまして
P,いつもいつも、よく俺の欲しい物とかわかりますね
瑞樹,プロデューサー君の事なら、なんでもわかるわ
P,はははっ、すごいですね
瑞樹,ふふっ
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！。よし……今ここに居るのはプロデューサーと私だけ……よし
P,ちぇーんじいーんまいわーるど♪かわーるせーかーいー♪。そうしたら……あれ？えっと……
凛,この書類でしょ？わかるよ
P,いや、手帳をどこにやったか探してたんだけど
凛,あれ？
P,えっと……あったあった！……ん……そしたら……
凛,コーヒーでしょ？わかるよ
P,いや、トイレに行こうと思ってたんだけど
凛,あれ？
P,さっきからどうしたんだ？妙に周りを気にしてたり……
凛,……ううん、なんでもない……それじゃ
P,？
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
