南条光,最近寒くなってきたね
小関麗奈,そうね
光,宿題は終わった？
麗奈,アンタはどうなのよ
光,アタシはもちろん、やるだけやったよ
麗奈,ふ～ん、“やるだけ”ねぇ……
光,なんだよ
麗奈,なんでも～
光,そっちはどうなんだ、レスキューしてもいいぞ
麗奈,家にあるの。ここではできないわ
光,そうなんだ。いつやるの？
麗奈,アタシたちが死ぬ前にはやるわよ
光,ちゃんと帰ったらしなよ？
麗奈,良い子ちゃんはキライ
光,おい、それホンキで言ってるのか？
麗奈,ホンキで言ってたらこうして駄弁ってないわよ
光,……
麗奈,……
光/麗奈,うぇへへ
結城晴,丸パクリじゃねぇか
光,あっおはよう晴
晴,おはよう光ねーちゃん
麗奈,よく来たわね。レイナサマに挨拶する権利をくれてやるわ
晴,はいはい。おはようごぜーますレイナサマ
麗奈,心がこもってないわね。やり直しよ！
晴,……
光,怒りに飲まれちゃだめだ！落ち着くんだ晴ゥ！
晴,ハッ……一体オレは何を
光,危ないところだった……
麗奈,で、挨拶は？
晴,……
光,……
晴,そういえば2人は何話してたんだ？
光,宿題やったかどうか
晴,めちゃくちゃ普通の話だな……
麗奈,そりゃ漫画でもなし、そうそう面白い話なんて転がってないわ
晴,仕方ない、オレが楓さんから教わった面白い話を
麗奈,絶対《尾も白い》話でしょそれ
晴,バレた？
麗奈,そりゃねぇ……
光,アタシたちも聞いたからな！
晴,なんだよ、落語みたいで結構面白かったのに
光,元ネタは落語なんじゃないのかな？
麗奈,さぁ？
晴,なぁなぁ、落語って聞いたことある？
光,ない
麗奈,ないわ
晴,オレもねえ
光/麗奈/晴,ははは！
晴,今のなんで笑ったんだ？
麗奈,いやそんなのわかんないわよ
光,あるある、なんかよくわかんないけど笑っちゃうの
麗奈,本当？
光,適当
晴,おいヒーローそれでいいのか
光,適当なヒーローなんてジャンルとしてはありきたりだよ
麗奈,なんでちょっと怒ってるのよ！大人気ない！
晴,すまん
光,いいんだ。アタシも悪かった
麗奈,茶番よ茶番やってられないわ
晴,なんだよ。混ざりたいのか？
麗奈,んな！
光,そうだったのか！ほら、握手だ麗奈！
麗奈,ぐぬぬ
光,あー
麗奈,いー
晴,うー
光,江戸
麗奈,ど田舎
晴,カラオケ
光,ケタロス
晴,なんだそれ？
光,仮面ライダーケタロス
麗奈,そういうの無しで
光,えー……
晴,だって嘘か本当かわかんねえもん
光,アタシを信じて！
晴,適当なヒーローは割といんだろ？
麗奈,けっこう根に持つわね……
光,くっ、自業自得ってことか
晴,これいつまでやんだ？
光,アタシたちの覚悟が決まるまでかな？
麗奈,パッと舞って、ガッとやって、チュっと吸って、はあぁぁぁぁぁぁぁん！したらこの妙な部屋から出れるんでしょ？
晴,なんだそれ！？オレと条件が違うぞ！？
麗奈,ゔぇ！？
光,アタシは“マジカルナンジョルノに変身する”って指令だった
麗奈,ファ！？
晴,オレは“きらりのマネする”っての
麗奈,え……ちょ
光,……
晴,……
麗奈,なんで遠ざかるのよ！！
晴,にげろーエロだー！！
光,うわー！
麗奈,小学生か！！
晴,小学生だよ
麗奈,そうだった！
光,中学生だ！
麗奈,うっさい！待ちなさいこのぉ！
