男,ん？もしもし……。メ、メリーさん！？。ち、近く！？。切れた……。も、もしもし！。ひっ！。振り込めば来ないんだね！？。分かった、すぐ振り込むよ！口座を教えてくれ！
刑事,ぐぅ、ぐぅ……
課長,おい、なに寝てるんだ！
刑事,ハッ！や、やだなぁ、課長……ちゃんと起きてましたよ
課長,今、新しい振り込め詐欺が流行ってるというのに、だらしない……
刑事,新しい振り込め詐欺？
課長,その名も、“メリーさん詐欺”！
刑事,なんですかそれ？
課長,メリーさんって都市伝説の怪談話、知ってるだろ？
刑事,えーと、メリーさんっていう女の子が電話かけてきて、だんだん近づいてくるアレですよね
課長,メリーさん詐欺ってのは、そのメリーさんを騙って不安を煽り、金を巻き上げるという詐欺だ
刑事,くっだらねー……そんなのに引っかかる奴いるんですか？
課長,現実にいるから、こうして問題になってるんだろうが。とにかく、とっとと顔でも洗って、振り込め詐欺グループの一つでも捕まえてみろ！
刑事,……。そう簡単に捕まるわけないっつーの。あいつら賢いし、イタチごっこなんだから。はい。噂をすれば、か。詐欺なら他の奴にやってくれ。切るよ。さて課長は消えたし、もうひと眠り……。ちっ、なんだよ。あぁ？ふざけんなよ！。ったく……。な、なんだお前！？
メリー,私メリーさん。ずっと自己紹介してたじゃない
刑事,……俺になんの用だ？
メリー,あなたおまわりさんでしょ。“メリーさん詐欺”をやってる連中を逮捕して欲しいの
刑事,なんで……？
メリー,だって、私のニセモノが出た上、悪さしてお金をだまし取るなんて。こんなのほっといたら“コケン”に関わるじゃない
刑事,なにが沽券だよ……子供のくせに。こいつ、本当にあのメリーさんなのか？いや、落ち着け！んなわけないだろ！。……いいかい、お嬢ちゃん。ここは君みたいな女の子が来るところじゃないんだよ。お菓子あげるから、おうちに帰りなさい。お父さんとお母さんが心配してるよ
メリー,だから、私はメリーさんだってば
刑事,だからいい加減、メリーさんごっこはやめて――
メリー,……
刑事,ぎゃっ！？。ハァ、ハァ、ハァ……
メリー,私が本物だって分かった？
刑事,ああ……分かった……分かりました。君は間違いなく、あのメリーさんだ
メリー,じゃ、よろしくなの！
刑事,あ、ああ。まさか、本物のメリーさんと出くわしちまうなんて……。しかし、振り込め詐欺ってのは捕まえるのが難しいんだ。手を変え、品を変え、場所も変え、あいつらなかなか尻尾をつかませない。特に今回のメリーさん詐欺なんて、絶対数が少なすぎるし、今のところ手がかりはほぼ皆無だ
メリー,私に一つ考えがあるの
刑事,考え？
メリー,メリーさん詐欺って、どういう人が引っかかると思う？
刑事,んー、都市伝説のメリーさんを知ってて、なおかつ怖がりな奴……かな
メリー,そうそう。でもさ、そんな人、そうざらにいないでしょ
刑事,……だなぁ。たとえば、振り込め詐欺のカモといえる老人なんか、メリーさん？誰じゃそれ？ってなもんだろ
メリー,でしょ？だからって、片っぱしから電話かけてたら効率悪すぎるの
刑事,だなぁ。普通の振り込め詐欺やった方がマシだ
メリー,だからきっと……犯人グループはターゲットをさっき刑事さんがいったような人に絞って。電話をかけてるんだと思う
刑事,どうやって？
