ガヴリール,どうしたんだよ改まって
ヴィーネ,悩み事があるなら相談に乗るわよ
サターニャ,実は私悪魔じゃないの
ガヴ,え？マジ？
ヴィーネ,あっそういう事…
サターニャ,本当にごめん私の妄想のせいでみんなに迷惑掛けて
ヴィーネ,大丈夫よ私は迷惑だなんて思ってないし
ガヴ,私も気にしてないよ。お前が手加減してたことはわかってたし
ヴィーネ,でも、あんた羽生やしたりしてたわよね？
ガヴ,そうだ、あんなの一般人には不可能だろう
サターニャ,あ、あれね実はあるＳＦＸの専門家に頼んでいかにも本物の悪魔らしくしてもらってたの。プロジェクションマッピングで合成したりもしてたわ
ヴィーネ,そうだったのね。確かに違和感がなかったわけではなかったけど
ガヴ,さぞかし金も掛かっただろう
サターニャ,実は、ここだけの話だけどラフィエルに支援して貰ってた
ヴィーネ,ラフィは天使側よね？なんでそんなことを
サターニャ,うん、金を支援する代わりに私のおもちゃにならないかって誘われて
ガヴ,確かに、お前が調子に乗ってる時ラフィエルスゲー楽しそうだもんな
ヴィーネ,それじゃあサターニャが魔界に行けるのも…
サターニャ,それは、ある政治家に頼んで口利きしてもらったのよ
ガヴ,賄賂か…
サターニャ,まぁ、そういうことになるわね
ガヴ,それにしては悪魔に成りきってる時のサターニャ生き生きしてるぜとても嫌々やってるようには思えないんだけどな
サターニャ,うん、最初は抵抗あったけど最近は悪魔に成りきることが快感になってきてる
ヴィーネ,そんな事情があったなんて知らなかったわ
ガヴ,ごめんな、そんなこととも知らず冷たい態度取ったりして
サターニャ,同情とかやめてよね。さっきも言ったけど私は好きで悪魔を演じてるのよ
ガヴ,そうだな、お前はそれでいいと思うぞ
ヴィーネ,そうよ、その方が逆にサターニャらしいわ
サターニャ,あと、このことはくれぐれも…
ガヴ,わかってるラフィエルには内緒にしとくよ
サターニャ,そうしてくれると助かるわ
ガヴ,そうだ、この際だからみんなで隠してること一気にカミングアウトしようよ
ヴィーネ,そうねサターニャだけじゃ不公平だもんね
ラフィエル,みなさんお揃いで何を話してるんですか？
ガヴ,おお、ちょうどいいところに来た。みんなで隠してることをカミングアウトしようって話してたんだ
ラフィエル,なんだか面白そうですね。私も混ざっていいですか
ガヴ,もちろんだよ。さて、最初は誰からにする？
ヴィーネ,そりゃ言い出しっぺのガヴからでしょう？
ガヴ,やっぱそうなるか
サターニャ,どんなえぐい秘密があるのか楽しみね
ガヴ,実は私いつもネトゲしてるとか言ってるけどあれ実はネトゲやってるんじゃないんだ
サターニャ,もしかして、エロ画像でもみてるとか？
ガヴ,いや、そういうのじゃない。株取引してるんだ
サターニャ,カブ取引！？
ガヴ,言っとくけど野菜のカブじゃないからな
サターニャ,わ、わかってるわよそんなこと
ヴィーネ,それってかなりリスクのあることだって聞いたわよ破産した人もいるとか
ガヴ,うん、私も正直最初は怖かったけど。コツをつかめばどうってことはなくなったよ
サターニャ,元のお金はどうしたのよ？
ガヴ,競馬で当てたよ
ラフィ,未成年の方は買えないと聞きましたが
ガヴ,競馬場で顔なじみになったおっさんに買ってもらってたいきなり、1000円が100万円になるんだもんさすがにあれは驚いたよ
ヴィーネ,天使だけに運を引き寄せたのかしらね
ガヴ,それを元手に株始めて適当なところ買い漁ったらそれがまた100万が5000万になってさ。今では時価総額数十億はくだらないかな
ヴィーネ,恐るべし天使
サターニャ,お金がないっていうのは嘘だったのね
ガヴ,だって、悪魔に金あるとか知られなくないし
サターニャ,ちょっとは信用しなさいよ！この堕天使
ガヴ,私の秘密はそれくらいだな。次は誰にする？
ヴィーネ,せっかくだから私もカミングアウトしちゃおうかな
ガヴ,おお、乗ってきたね
ラフィエル,今度はどんな秘密が聞けるのでしょうか
ヴィーネ,実は私高校生じゃないの
サターニャ,なによそれ？年齢詐称してるとか？
ヴィーネ,騙すつもりはなかったんだけど。ほら私って悪魔らしくないってよく言われるじゃない？
ガヴ,確かに
サターニャ,そうね
ヴィーネ,だからね、魔界の中学校を留年してたのよ
ガヴ,魔界は中学校で留年とかあるのか？
ヴィーネ,そうなのよ。それも無制限だから、実技の卒業試験に何回も落ちちゃって
サターニャ,まさか、本当は何百歳とかそんな感じ？
ヴィーネ,ううん、本当は３５歳なの私
ガヴ,ずいぶんリアルな数字だな
ラフィ,どうりで大人びてると思いました
サターニャ,でもおかしいじゃないの実年齢３５でこの見た目とか…
ヴィーネ,サターニャ大事なこと忘れてない？
サターニャ,えっ？
ヴィーネ,悪魔の寿命が何年だと思ってる？
サターニャ,ああ、なるほどそういうことね
ガヴ,一理ある
ラフィ,そうね
ガヴ,じゃあ、次はラフィエルだな
ラフィ,え？私もですか？
ガヴ,当たり前だろう。
ラフィ,自分から参加したいって言った手前仕方がないですね
サターニャ,なんとなくだけど、ラフィエルって秘密いっぱいありそうよね
ラフィ,実は、私クローンなんです
ヴィーネ,え？！
サターニャ,どういうことよ？
ガヴ,ああ、例のあれか
ラフィ,はい、例のあれです
サターニャ,あれって何よ
ラフィ,簡単に言うと世界中に何万体もの私がいるんですちなみに今の私は５８９番目のクローンです
ヴィーネ,なんのためにそんなことを
ラフィ,はい、天界では人類総天使化計画が進められていましてくじ引きで私が被験者に選ばれてしまったんですね
サターニャ,くじ引きなら仕方がないわね
ヴィーネ,その計画のためにラフィの遺伝子を栽培して何万体ものクローンを作ってるのね
ラフィ,ええ、このまま順調に行けば３年後には人類は全員天使になってることでしょう
サターニャ,ちょっと！それどういうことよ
ラフィ,ご安心を、悪魔であるサターニャさんには関係ない話です
サターニャ,そ、そうよこの大悪魔サターニャ様には関係ない話だったわ
ヴィーネ,サターニャ完全に遊ばれてるし…
ラフィ,では、私はこれから最後の仕上げをしてきますんで
ガヴ,おう、人類が天使に支配されるなんて胸が熱くなってくるよ
サターニャ,ちょっと待ちなさいよ！
ラフィ,あら？なにか不服でも？
サターニャ,あの…その…いくらなんでもちょっとやりすぎなんじゃないの？
