憔悴したワイ,
ルフィ,ちょっと待ってろよ、ワイ。あのふざけた家(ハローワーク)吹き飛ばしてくっからよ
チョッパー・ゾロ・サンジ,……
ハロワ職員A,ギャ～ハッハッハハッハッハ！！！にしてもさっきの野郎の出す条件には呆れたぜ！
ハロワ職員B,中卒で資格もない役立たずのくせに手取り50万・年休190日・ボーナス年2回だなんて
ハロワ職員C,現実を見ろってんだ！
ハロワ職員達,ギャハハハハハハ！！！
ハロワ職員A,な、なんだ！！！
ルフィ,……
ハロワ職員B,ヒィッィイ！！！！！！！麦わらのルフィ！！！！
ルフィ,ワイに仕事を紹介しなかったのは……どいつだ
ハロワ職員C,ワイ？？？あの中卒の事か！！！！
ハロワ職員A,待ってくれよ！俺達は相手に見合った仕事を紹介するだけだ！！何もクビにしたわけでも無い！！気の毒だとは思うが恨まれるのような筋合いは
ルフィ,ゴムゴムの～ピストル！！！
ハロワ職員A,ゲボォオオ！！
サンジ,もうしゃべってくれるな……そういうこっちゃねェんだよ
ゾロ,そうだな。もう手遅れだ
ルフィ,お前ら骨も残らねェと思え
ハロワ職員達,ヒエエエェッェェエ！！！！！！！
ワイ,おお！！ルフィ帰ってきたか！！どうだった？ワイにピッタリの仕事はあったか！！
ルフィ,……ああ
ワイ,良かったァ～～！！それで何の仕事だ！！体力には自信ないから事務系で出来れば人と関わらないのが
ルフィ,この前会ったアイスのおっさん、覚えてるか
ワイ,てめえそれは今関係ないだろ！！な！な！どんな仕事何だよ！
ルフィ,アイスのおっさんが……お前を船大工で雇うって
ワイ,……は？
ルフィ,相談したらさウチにつれて来いだってよ
ワイ,ちょ待てよ！！冗談だろ
ルフィ,安心しろ素人でも一年もすれば一人前に
ワイ,ふざけるなよ！？肉体労働は氏んでも嫌だって言ったじゃねェか！
ゾロ,……
ワイ,ボーナスは！？年休は？手取りは！！！
ルフィ,アイスのおっさんが言うには、新入りはあんまし儲かんねーみたいだけど……けど宿も飯も用意してくれるみたいで
ワイ,はぁ？ワイは最低でも50万は欲しいんや！！！
ルフィ,いい加減にしろよ本当はこんな事言いたく無いんだ！！！
ワイ,本当に嫌ならそんな残酷な仕事紹介するはずがねェ！！！！！
ナミ,ちょっと二人とも！！！落ち着いて
ルフィ,そんなに気に入らねェんならこの船から
サンジ,バカ野郎が！！。テメェ今何を言うとしたか分かってんのか!?滅多な事は口にすんじゃねぇ！！少しは頭冷やせ!!!
ルフィ,……わりぃ……つい勢いで
ワイ,いやいい
ルフィ,！！！
ワイ,本心を言えばこの海賊団が嫌やった。仲間になれって頼まれたから仕方なく着いてきたけど。船酔いはするし、危険ばかりだし、金もナミに管理されて好きなもんも買えない、その上チョッパーの匂いもキツイのも嫌やなナミやロビンは胸すらもましてくれん。そもそもワイは共同生活なんて嫌いや
ゾロ,つまり……船を降りると？
ワイ,そして最後に一言言わせてくれ！！！。退職金としてこの船を貰っていくぞ！！！！
ルフィ,ゴムゴムの……
ワイ,？？
ルフィ,JETバズーカ!!!
ワイ,グヘェｯｯｯ!!!
ナミ・サンジ・チョッパー,！！！！
ワイ,……
ルフィ,息はあるか……チョッパー
チョッパー,……ううん
ナミ,ルフィ
ルフィ,何も無かった。この船にはワイなんて仲間はいなかった……いいなお前ら
船員一同,……うん
