脳,ちょｗおまえちゃんと解毒しろよ！
肝臓,無理！俺解毒機能壊れたから
移植肝臓,ちょりーっす！
萎縮肝臓,なんだてめえ！
移植肝臓,おめえの居場所ねえから！
萎縮肝臓,くっそー！拒絶反応で苦しめ！
抗生剤,呼んだ？
インターフェロン,おいっす！
肝臓,またなんか来やがった・・・・
インターフェロン,肝機能を是正するっす！
肝臓,あっそ！好きにすれば？
インターフェロン,正常な細胞が多少壊れるかもっす！
細胞,やめろぼけー！
糖,ほえほえ～！糖でやんす～
インシュリン,おっと糖の旦那！ここから先は通さねえ！
糖,ひえ～！ぶんかいされる～！。あれ？インシュリンの旦那はいないんですかい？じゃ好きにさせてもらいまっす！
脳神経細胞,おまえこれ1番の神経に送っとけ！」「あいよ！。おまえこれどこに送るかわからんから全部の神経に送っとけ！」「ほーい！
肛門平滑筋,ぶち切れてやったぜ！
患者,いってーーーーー！！！
心臓,ドキドキしてるだろ？！
ほかの内臓,誰がうまいことを言えと・・・・
血小板,ちびだからってバカにしないで！
悪い赤血球,何この子？生意気だから潰しちゃえ！
麻酔導入剤,とりあえず眠っとけ！
麻酔薬,プロポフォール）「深い眠りに落ちるがよい！あ！自発呼吸止まるんでよろしこ！
筋弛緩薬,気道挿管するから脱力せんかい！
心電図モニター,ピッ！ピッ！ピッ！・・・・・ちーん！
目玉,あっちむいてほい！あれ？何でおまえそっぽ向いてるの？
手術時間は2時間だった,退室時に手術時計が見えて知った
