ジャイアント・トード,
？,危ないところだった。大丈夫か？
しんのすけ,？
？,いや、俺はお前に言ってるんだけどっ！？。ちょっとぉ、カズマぁ！！
しんのすけ,っ！
アクア,いきなり走らないでよ！？水の女神アクア様に無茶させる気ぃ～？
カズマ,あのなぁ、ジャイアント・トードに襲われそうになってる奴を見つけて助けようとしたんだぞ！一々お前一人を考える暇はないんだよ
アクア,なんですってぇ！？
しんのすけ,おおおぉぉぉぉーーーーーーっ！！！/////
カズマ・アクア,「っ！！？」
しんのすけ,ねぇねぇ、おねえさんは納豆にネギ入れる、それとも入れない～？///
アクア,な、なによ、こいつ、誰っ！？
カズマ,…………
しんのすけ,ねぇねぇ、おねいさぁ～ん///
アクア,ちょっ、寄るなぁっ！！？
カズマ,うむ、こいつは……。
しんのすけ,オラ、野原しんのすけ、5歳。血液型はガタガタ、好きな花言葉は不燃ごみだゾ
カズマ,後半気になる所もあるが、ひとまずおいといて。俺は佐藤和真、冒険者だ。よろしくな、しんのすけ
アクア,そして、私は水を司る女神アクアよ。この世界でとってもえら～いアクシズ教の麗しきご神体でもあるのよ
しんのすけ,ほぉほぉ、カザマにアクマかぁ～
カズマ,カザマじゃなくて、カズマな！？
アクア,アクマじゃなくてアクアよっ！？まったくこのアクア様を悪魔呼ばわりするなんて、失礼なガキね！！！
しんのすけ,ガキじゃないゾ。オラは野原しんのすけ…
アクア,もういいわよ！二度同じ自己紹介しなくｔ
しんのすけ,通称ジョニー。
アクア,って、さっきの自己紹介と全然違うじゃないのっ！？
カズマ,しかもジョニーって、なんでジョニーなんだ……
しんのすけ,おおぉーー、広い
アクア,当たり前よ。この私の素晴らしい除霊のおかげで得た屋敷だからね
カズマ,ほんとの事でも子供相手にドヤ顔すんな！
アクア,で、しんのすけ、あんた子供の癖にあんな場所に居てなにしてたのかしら？
しんのすけ,どこもしませんなぁ～
アクア,答えになってないわよ！？
しんのすけ,ほぉほぉ
アクア,相槌はいいから、私の問いに答えなさい
しんのすけ,ほぉほぉ
アクア,っ！！。このぉ～、私が大人しくしてたらふざけた事ばかｒ
カズマ,おい、子供相手に止めろ。でだ、アクアの代わりに聞くが、しんのすけはどうしてジャイアン・トードの生息地に居たんだ？それも無防備で？？
しんのすけ,う～ん。オラもよく分からないゾ……気が付いたら居たというか、居なかったというかぁ～
アクア,ここ来る前に女神に会わなかったの？
しんのすけ,メガネ？
アクア,女神よ！？さっきからボケかまして楽しいの？！
しんのすけ,さぁ～？
アクア,。ねぇ、カズマさん。こんな変な子、もう放っておいていいかしら？
カズマ,そう言うなって。相手は5歳、つまり幼稚園児だ。おふざけが過ぎる年頃なだけだ
アクア,まったく、いつも面倒事なんて嫌がる癖に、今回はヤケに面倒くさがらないわね？
カズマ,俺だっていつも面倒くさがる訳じゃない。たまには人の為にやる男だ。。まっ、俺がしんのすけに感心を持つ理由は別にあるけどな…。。成る程。つまり、寝た直後に目を覚ましたら、この世界に居たって訳だな？
しんのすけ,そういう事、こういう事、どういう事～！
