ブラックジャック,ポケモンマスター？｣レッド｢・・・
コジロウ(こ、こらニャース・・・！),え、え～と、今日ここにあなたをお呼びしたのはぁ・・・
ムサシ,あなたが名だたる名医だとお聞きしたからですわぁ！！
キリコ,私が・・・？
ニャース,サカキ様自らご指名なのにゃ！
キリコ,ほぉう・・・。それで・・・そちらに横になってるのがサカキ様でよろしいのかな・・・？
サカキ,・・・・・
コジロウ,あぁ！はい！そうですけど・・・
コジロウ(なぁ・・・ほんとにこの人,名医
キリコ,何か？
ムサシ,いえいえ何もぉ！！
ムサシ(この,任務
ムサ・ニャ,な～はっはっはっは！！！
キリコ,何か・・・おかしなことでも？
ムサ・コジ・ニャ,！！！！！
ムサシ,いえいえ何も！！ほんとに何も！！！
キリコ,・・・ワタシは患者と２人で話がある・・・退席してくれないか？。それと・・・気が散るからだれもこの部屋に近づけないでくれ
ムサシ,ど、どーぞどーぞぉ！
コジロウ,それじゃあ先生・・・
ニャース,よろしくたのみますニャ！
キリコ,・・・・・。さて・・・
サカキ,・・・・・。本当に来てくれるとは・・・思わなかったよ・・・
キリコ,・・・・・。なぜ私を呼んだんです？・・・と聞くのは野暮ですかね
サカキ,・・・・・・・
キリコ,フフフフフ・・・・。まあいいでしょう、とりあえずカルテを見せてもらえますか？
サカキ,・・・ああ、そこの引き出しに・・・
キリコ,・・・・・。・・・・・・。・・・腸にガンの転移がばらり・・・こいつは助かりませんね・・・
サカキ,・・・
キリコ,それで？お金の支払いはどうします？ご自身では無理でしょう
サカキ,部下達に治療の前払いとして５００万・・・先生の口座に振り込むよう言ってある・・・
キリコ,・・・分かりました・・・入金を確認次第、すぐにとりかかりましょう。あなたの治療をね・・・
サカキ,ああ・・・ありがとう先生・・・
キリコ,・・・・・。・・・ん？
シルバー,・・・・・・！！！
キリコ,・・・
サカキ,・・・
ムサシ,せ、先生、サカキ様、申し訳ありません、ぼっちゃんがど～してもとぉ・・・
キリコ,息子さんですか？
サカキ,・・・・・
シルバー,・・・・・。ドクターキリコ・・・
キリコ,む・・・？
シルバー,知ってるぞ！！行く先々で患者を殺して回ってるヤブ医者だろう！！！
ムサ・コジ・ニャ,えーーーーーーーー！！！！！！！！！
サカキ,・・・
キリコ,フフフフフ・・・。元気のいい息子さんで・・・
サカキ,・・・それは違うぞ・・・キリコ先生は本当に名医で・・・
シルバー,安楽死ってやつを請け負ってるんだろう
サカキ,！
キリコ,・・・おやおや・・・そこまで知っていたのかね・・・
ムサ・ニャース,えーーーーーーーーー！！！！！！！
シルバー,オヤジ！オヤジは強い人間じゃなかったのか！？。大勢の人間を束ねて、いずれ世界征服するんじゃなかったのか！！
サカキ,・・・・・。そうしたいのはやまやまだが・・・・。この体ではもう動くこともままならない・・・ただ・・・朽ちていくのを待つだけだ・・・
シルバー,聞きたくないぜ！！そんなこと！！！
サカキ,それに・・・。私がこの世に醜くしがみついていることで・・・前に進めない人間たちもいるのでね・・・
ムサ・コジ・ニャ,！！
シルバー,・・・！！！
キリコ,・・・おぼっちゃん。お父上の好きにさせてあげませんか？。この方は今も・・・激しい痛みと戦っている
シルバー,！！
キリコ,我々がいるので・・・相当我慢されていますがね
シルバー,・・・・・！！
ムサシ,なによそれぇ・・・
ニャース,すごく重い話なのにゃ、みゃー達にはさっぱりだにゃ
シルバー,・・・・・知るかそんなこと！！警察呼んででも止めてやる！！
キリコ,・・・おやおや・・・。この地方には・・・安楽死を禁止する法律はなかったはずだが・・・
シルバー,・・・・！！
キリコ,全てのことが終わってから・・・民事裁判でもおこすんだね
シルバー,・・・・！！
コジロウ,あ、あの～・・・
キリコ,何かね？
コジロウ,ほんとにもう治らないような病気なんですか・・・？
キリコ,そうだねぇ・・・良識ある医者なら十中八九、メスを投げるねぇ・・・
ムサシ,そんな・・・
キリコ,・・・・・。・・・ブラックジャックなら、あるいは・・・
シルバー,・・・え？
ムサ・コジ・ニャ,え？
キリコ,・・・まぁ、今まで散々いろんな医者に断られてきたんでしょう？。それが全てですかね・・・
ムサ・コジ・ニャ,・・・・・
サカキ,・・・
シルバー,・・・・・。うるさい！！。その手をどけろ！！オヤジに触るな！！
ムサ・コジ・ニャ,！！！
キリコ,おっと
シルバー,・・・・。皆、オヤジを守れ
キリコ,ポケモンで・・・実力行使ってことかい・・・
シルバー,あんたには、怪我をしてまで仕事をする理由はないだろう？
キリコ,おや？さきほど、振込み主の分からない大金が、私の口座に振り込まれていたがね
ムサ・コジ・ニャ,！！！
サカキ,・・・・・
キリコ,それで・・・どうすればお父上を治療させてもらえるのかな？
シルバー,・・・・・・
ムサシ,どうしたらって～・・・
ニャース,ポケモンバトルでポケモン達を蹴散らすしかないにゃあ
コジロウ,おいっ！！！！！！！
キリコ,ポケモンバトル？
シルバー,・・・・・
キリコ,こりゃいい、待っていたまえ、私は必ず戻ってくるぞ！！
ムサ・コジ・ニャ,ええええええ！！
シルバー,・・・・・・
キリコ,ではサカキさん・・・また会いましょう。私は患者を見捨てたことはない
サカキ,・・・・・・
キリコ,フフフフフ・・・
ジョーイ,！あ、いらっしゃいませ～
キリコ,・・・すみませんが・・・
ジョーイ,はい？
キリコ,ポケモンを一体・・・譲ってくれませんかね・・・
ジョーイ,え？は、はぁ・・・。失礼ですが・・・あなたは？
キリコ,私はしがない医師でして・・・あぁ・・・人を見るほうのですがね。助手に使えそうなポケモンを一体・・・探してまして・・・
ジョーイ,あら、お医者様ですの！？ちょうど良かった！。さっきポケモンバトルに小さい子供が巻き込まれまして・・・
キリコ,・・・はぁ・・・
ジョーイ,お医者様がくるのを待っていたところなんです
キリコ,・・・？この町にはお医者さんはいらっしゃらないのかね・・・人間相手の
ジョーイ,いえ、いないことはないんですけど数が少なくて・・・。軽い怪我や病気ならここ(ポケモンセンター)で診れるんですが・・・
キリコ,分かりました・・・私が見ましょう
ジョーイ,！ありがとうございます！
グリーン,タケシ！だからジムにこどもを連れてくるのはやめとけって言ったろう！！
タケシ,す、すまん・・・俺の・・・俺のイワークが・・・
グリーン,大丈夫か？痛くないか？ゴロウ！
ゴロウ,・・・・・・・
グリーン,死んでるんじゃないか？これ
タケシ,うわああああああああああ！！！！！ゴロオオオオオオオオ！！！！
キリコ,・・・落ち着きたまえ
タケシ,うわっっ！！
グリーン,！あなたは・・・
キリコ,医者さ・・・どれ・・・少しお邪魔するよ・・
ジョーイ,二人とも！下がって！
ゲンガー,・・・・ごほっ
