詳しくは→サトシ,ポケモンハンターXXか
ミュウツー,オオオ……！！
邪王魔神,皆の者！ミュウツーがそちらへ行ったぞ！！
海王牙,プロハンの私に任せておけ！。蹴散らしてやんよミュウツー！！
あまっじょちゃん,海王牙、ちょっとそこどいて。邪魔
海王牙,あ？
あまっじょちゃん,きのみが採取できない
海王牙,おいこらテメェ！今ハント中だぞ！
あまっじょちゃん,やった！これほしかったやつ
海王牙,あーあ…これだから足手まといのゆうたはつれてきたくなかったんだ
あまっじょちゃん,海王牙。ミュウツーのしっぽきって。やくめでしょ
海王牙,しね
あまっじょちゃん,やめて！切り払いしないで！採取できない！
邪王魔神,うぬら！何を遊んでおるのだ！今はハント中ぞ！。！
ミュウツー,オオオ……！！
サトシ,へへへ！いくぜミュウツー！！
邪王魔神,やめよサトシ！迂闊に飛び込んでは！
サトシ,大丈夫だって！くらえミュウツー！これが俺のゼンリョクの狩り技！
ミュウツー,！
サトシ,………あっ…やっべ…
ロトム図鑑,サトシが乙ったロト。これで３乙、クエスト失敗ロトね
サトシ,………………
ピカチュウ,ピカピィ
サトシ,………リーリエ……怒ってるかな？
ロトム図鑑,この後間違いなくギルドに戻ってポケハン会議ロトね
サトシ,うわぁ……
ピカチュウ,ピカピィ
邪王魔神,今のクエストは失敗するようなクエストではなかった。サトシよ。何か言いたいことはあるか？
サトシ,ごめんなさい
邪王魔神,サトシ。我は無闇に突っ込むなと助言したハズだ。何故あの場でミュウツーに突っ込んだ？
サトシ,いけるかと思って
邪王魔神,いける訳がなかろうが。貴様、まだミュウツーの動きも覚えてないのか？。ポケハンは遊びではないのだぞ？
サトシ,ごめんなさい
海王牙,おい邪王魔神。サトシも乙りたくて乙ったワケじゃねーんだ。その辺にしとけ
サトシ,海王牙……
邪王魔神,サトシは今のクエで２乙しておる。特に…ポケハンにおける"３乙目"の罪は重い。それにサトシの乙は今回だけではない。サトシよ！貴様には覚悟が足りぬ！
サトシ,ごめんなさい
邪王魔神,サトシよ！ごめんなさいだけではなく、今後の反省点も
サトシ,ごめんなさい
海王牙,オラッ！いい加減にしろよギルマスさんよォ！サトシを責めんな！
邪王魔神,海王牙よ。ちなみにさっきのクエの１乙分はうぬのものぞ？
海王牙,るせーよ！私の乙はテメェが粉塵使わなかったのが悪い！
邪王魔神,己の未熟を他人のせいにするな！。だいたい海王牙。貴様こそを粉塵をサトシにしか使わぬな？。露骨な贔屓はやめろ！ギルドの和が乱れる！
海王牙,だまれしね
邪王魔神,死んだのは貴様であろう
あまっじょちゃん,サトシ。なんでしっぽきってくれなかったの。やくめでしょ？
サトシ,ごめんなさい
トゲデンヂロボ,アローラ！
ホシ,ごめんなさい。遅れたわ
邪王魔神,サトシ！反省はしているのか？貴様には覚悟が…
サトシ,ごめんなさい
海王牙,サトシ。もうチューニギルマスの下はウンザリだよな。こんなクソギルド抜けて私と二人で独立ギルド作ろうぜ
サトシ,ごめんなさい
あまっじょちゃん,きのみちょうだい
トゲデンヂロボ,ん？なんの騒ぎ？
ホシ,トゲデンヂロボ。ギルドチャットログを見てみなさい
トゲデンヂロボ,あー。いつものギルド会議か
ホシ,サトシ。また乙ったのね…
邪王魔神,サトシよ。そんな様では何れギルドを抜けてもらわなくてはならぬな
サトシ,え？。ギルドを抜けろ！？どういうことだよリーリエ！
ロトム図鑑,サトシ！落ち着くロト！リーリエは画面の向こうロト！
ピカチュウ,ピッカー！
サトシ,ご、ごめん……。ギルドを抜ける？そんなの嫌だよ
邪王魔神,我がギルドに弱者はいらぬ
サトシ,そんな…
トゲデンヂロボ,邪王魔神！少しいいすぎだよ！
サトシ,トゲデンヂロボ…
ホシ,そうよ！私たちはみんなで楽しくポケハンで遊びたいからギルドを作ってるのよ。それを…へたっぴってだけでギルドを抜けろだなんて。ひどいわ！ひどすぎです！
サトシ,へたっぴって…
邪王魔神,……………
