―――,音無小鳥です！よろしくお願いします！
P,あれ？鍵が空いてる……もう音無さんがきてるのかな？。おはようございまーす！
高木,はい、はい、それではよろしくお願いします
P,社長、おはようございます
高木,おお君か、おはよう、随分と早いね
Ｐ,ちょっと確認したいことがあって早めに来たんですが……社長こそ随分早いんじゃないですか？
高木,いやなに、私も君と同じで確認したいことがあったのだよ
P,そういえばさっきの電話は何だったんですか？
高木,ちょっと私が独自で進めているプロジェクトがあってね
P,……こう言ってはなんですが、あまり良い予感がしないのですが……
高木,ふふふ……そろそろ皆にも言っていい頃だろう、ちょっとこれを見てくれないかい
P,なんですかこれ？……企画書？……伝説のアイドル日高舞にチャレンジ……
高木,君は昔アイドルチャレンジという番組があったのを知っているかね？
P,はぁ、聞いたことはありますけどあまり詳しくは知らないですね。実は昔はあまりテレビを観るほうではなかったもので……
高木,そうか、それは日高舞がトップアイドルに君臨していた頃の番組でね、文字通りアイドル達が日高舞に挑戦するという内容だったんだ
P,それはまた……まあ当時の日高舞といえばもはや伝説ですからね
高木,うむ、そしてその番組に出る資格はオーディションに合格した者のみに与えられた。アイドルランクなど関係なくね
P,ランクに関係なく……
高木,もちろん多くのアイドル達がその番組に挑戦した。日高舞に勝ってしまえばトップアイドルになったといっても過言ではない時代だったからね
P,それで、日高舞に勝てたアイドルはいたんですか？
高木,いいやいなかった、誰一人として日高舞には勝てなかったのだよ
P,流石ですね……
高木,まあ日高舞が引退してその番組も終わってしまったのだがね。なんと今度一夜限りの復活を果たすそうだ
P,それがこの企画書ってわけですか
高木,うむ、出演者はもちろん当時のアイドル達だ
P,しかしなんでまた突然一夜限りの復活だなんて……
高木,それがね、日高舞が言い出したらしい、一度限りでいい、番組を復活させろと
P,日高舞すげぇな……
高木,それでこんな面白い企画はなかなかないと思ってね、是非うちも参加させてもらおうと私のほうでこっそりと準備を進めていたんだ
P,別にこっそりやらなくても……それよりも参加って、７６５プロには当時のアイドルなんていませんよ？
高木,ふふふ、出演者の欄をよく見てみたまえ
P,？えーと……音無……小鳥……え！？
高木,そう！何を隠そう音無君は当時のアイドルだったのだよ！
P,……なんとなくそうなんじゃないかとは思ってましたけど……これ、音無さんは了承済みなんですか？
高木,いや、まだ彼女には話していないが
P,ええっ！？じゃあ勝手に決めちゃったんですか！？
高木,こんな面白そうな話はないからね！はっはっはっ！
P,いやいや！音無さん絶対断りますよこんなの！
高木,何故だい？
P,何故って……突然のテレビ出演でパフォーマンスをしろなんて誰でも断りますよ普通！
高木,私はその点は心配してないよ、なにせうちには超敏腕プロデューサーの君がいるんだからね！
P,えっ
高木,君が必ず音無君を必ずステージに上げてくれると確信しているよ！
P,いやいやいやちょっと待って下さい、俺が音無さんに伝えるんですか？
高木,もちろんだよ、期待しているよ君ィ！
P,無理ですって！社長から伝えてくだ「おはようございます！。
高木,おお！音無君おはよう！
小鳥,あれ？社長もプロデューサーさんも随分早いんですね
高木,うむ、実は今私達で進めている企画があってねその打ち合わせをしていたんだよ
P,いやいや！社長が勝手に進めてたんでしょう！
小鳥,？
高木,それでは君！早速発表しようではないか！
P,……はぁ
小鳥,一体どうしたんですか！プロデューサーさん
P,いや、えーと……実は音無さんにお話がありまして……その、とても大事な話なんですが……
小鳥,大事な話……？
P,ええ、ちょっとその……言いにくいことなんですが
小鳥,は、はい！。(落ち着くのよ音無小鳥、あのプロデューサーさんの真剣な表情、そして大事な話……これは！)
P,先に言っておきますけど嫌なら本当断っていただいても構いませんから
高木,それでは困るよ君ィ……
P,社長は黙っていてください
小鳥,(ぷ、プロポーズ！これは絶対にプロポーズだわ！おおお、落ち着くのよ音無小鳥！このチャンスは絶対に逃してはダメよ！しっかりお返事するのよ音無小鳥！)
P,音無さん……
小鳥,は、はい！(きたきたきたわ！音無小鳥２Ｘ歳いかせていただきます！)
P,実は音無さんにアイドルの仕事のお話がきてるんです
小鳥,はい！喜んでお受けします！
P,えっ
小鳥,えっ
高木,おお！引き受けてくれるかね！それではよろしく頼むよ！はっはっは！
P,
小鳥,。ピヨえぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇぇ！？
P,あの……げ、元気出してください音無さん
小鳥,うぅぅ……
P,その……まさか音無さんがこの仕事を受けるとは思ってませんでしたよ
小鳥,違うんです……まさかこんなことだとは……うぅぅ……
P,ま、まぁ何と勘違いしたのかはわかりませんけど……社長はもうその気で準備してたみたいですし……断っていたにしろ逃げられなかった気はしますが……
小鳥,うぅ……社長～……なんであたしなんかを……
P,しかし音無さん、本当に昔アイドルやってたんですね
小鳥,短い間だけですけど……有名でもなかったですし……そんなあたしなんかが今更……
P,や、やると決まってしまった以上、俺も全力でサポートしますから！
小鳥,うぅ……プロデューサーさぁん……
P,と、とにかく！本番まではまだ時間もありますし、なんとか……なんとかしましょう！
小鳥,……本番っていつなんですか？
P,……三ヵ月後です
小鳥,結構あるんですね……そんなに時間をかけて準備するなんて……
P,と、当時の人気番組なのでそれなりのクオリティにするらしくて……
小鳥,プロデューサーさん……何か隠してませんか？
Ｐ,い、いえ特には……
小鳥,プロデューサーさん？
P,……そ、その……この番組生放送らしくて……あと、武道館で行ってその様子を放送するらしい……です
小鳥,
P,ああ！音無さんが真っ白に！
小鳥,……なんで……なんで！なんでなんでなんで！そんなに規模が大きいんですかぁぁぁぁぁぁぁ！！
P,日高舞の希望らしくて……
小鳥,無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理無理
P,音無さんが壊れた！？
小鳥,ピヨおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！！！！！
P,音無さぁぁぁぁぁぁぁぁん！！
小鳥,無理です！絶対！無理！そんなのできるわけないじゃないですかぁ！
P,だ、大丈夫ですよ！一曲だけですし！
小鳥,そういう問題じゃないんです！生放送、しかも武道館でだなんて！何の罰ゲームですかこれは！！
P,気持ちは痛いほどわかります！とにかくお、落ち着いて！
小鳥,ピヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨヨ……
P,ああ！音無さん！
小鳥,あたしなんか……穴掘って……
P,音無さん本当に落ち着いて！それ雪歩です！
小鳥,いや、いやよぉぉぉぉぉぉぉぉぉぉぉぉ！
P,これが終わったら俺何でもしますから！何でも音無さんの言うことききますから！
小鳥,！……今何でもって……？
P,……こんな無茶なことやらせるわけですから、俺でよかったら何でも一つ言うことをききますよ
小鳥,……
P,音無さん？
小鳥,本当ですか……？
P,え、ええ……俺なんかじゃ大したことはできませんけど
小鳥,何でもですよね？
P,はい、俺にできることなら
小鳥,……がんばってみます
Ｐ,本当ですか！
小鳥,はい、その代わり……約束ですよ？この番組がおわったらプロデューサーさんは何でも一つ言うことをきいてください
P,はい！もちろんです！
小鳥,ふぅ……それじゃあ少しの間プロデュースよろしくお願いしますね
P,はい！よろしくお願いしますね！
春香,えぇぇぇぇ！？小鳥さんがテレビ出演ですか！？
千早,それに武道館だなんて……
貴音,面妖な
律子,はぁ……社長ったらまた勝手に……
雪歩,が、がんばってくださぃ！
亜美,んっふっふ～、これは楽しみですな～
真美,ちっかり録画して永久保存ですな～
あずさ,あらあら、なんだかわくわくするわぁ～
伊織,ちょっと……大丈夫なの？
真,ダンスレッスンはボクと響に任せてください！
響,自分完璧だからな！しっかり鍛えてあげるぞ！
やよい,うっうー！とっても楽しみですー！
美希,あふぅ……小鳥もキラキラするの？
P,ああ、それでなんだが本番までお前たちと一緒にレッスンを受けてもらうことになったからな。よろしく頼む
春香,でも、小鳥さんも突然そんなこと言われてよく出る気になりましたね。私が小鳥さんの立場だったら断っちゃうかも……
P,ああ……まぁほぼ無理やり社長が出演を決めてたんだけどな……なんとか本人も出てくれる気になったみたいでよかったよ
律子,それで？小鳥さんがレッスンを受けるのはいいんですけどその間の仕事はどうするんですか？
P,その辺りは社長がサポートしてくれるらしい、大船に乗ったつもりでいたまえって言ってたよ
律子,……大丈夫なんですか？
P,まあ大丈夫だろう……とにかく、番組出演までの間は俺が音無さんのプロデュースを担当する。いろいろと大変だが皆も協力してくれ
一同,はい！
貴音,して、肝心の小鳥嬢は何処に？
P,早速レッスンに行ってもらったよ、早く勘を取り戻してもらわないといけないからな
響,何のレッスンなんだ？
P,今日はダンスレッスンだ、まずは体を動かしてもらおうと思ってな。それに今日は真と響もダンスレッスンだから丁度いい
響,そうか！よーし！ぴよ子を徹底的に鍛えてやるさー！
真,そうだね！よーし！燃えてきた！
P,お、お前ら最初は少しずつだからな……？
律子,はいはい！そうと決まったら仕事組みはさっさと準備するわよ！
一同,はーい
P,悪いな律子、送迎とかはどうしても負担が増えてしまうかもしれん
律子,それぐらいなら構いませんよ、謝らないでください。プロデューサー殿のせいじゃありませんし
P,うん、ありがとう
律子,いーえ！後で社長にく、わ、し、く！話を聞きますから。それじゃあいってきますね
P,おう(社長大丈夫だろうか……)。さて、響と真は俺と一緒にレッスンだな、それじゃあいくぞ
響・真,はい！
小鳥,
P,音無さん……？
響,ぴよ子……？
真,うわわ！大丈夫ですか！？小鳥さ……ん……？
P,真……？
響,ぴ、ぴよ子は大丈夫なの……？
真,し……死んでる……
P,音無さぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁん！！
小鳥,ピヨぉ……ピヨぉ……
P,音無さん、本当に大丈夫ですか？
小鳥,な、なんとか……
P,まあまだ初日ですしダンスのほうはゆっくりいきましょう
小鳥,はいぃ……
響,ぴよ子の体力がこんなに無いとは思わなかったぞ……
真,うん、正直ダンスを踊る以前の問題だったね……後半はもう座って見てるだけだったし
小鳥,だ、だって……運動なんて本当に久しぶりで……
P,お前らあんまり厳しいこと言うなよ……辛いんだぞ、歳を取るとな……あっ
小鳥,プロデューサーさん？
P,す、すみません！そんなつもりで言ったわけじゃ……！
真,うわぁ……今のは最低ですよプロデューサー
響,見損なったぞ
P,いや、だからそんなつもりじゃなくてだな……
小鳥,はぁ……もういいですよ、悪気があったわけじゃないのはわかってますから
P,本当にすみません……
小鳥,だからもういいですよ、それに今は怒る元気もないですし……
P,大丈夫ですか……？明日はビジュアルレッスンですから今日ほど大変ではないはずですけど……
小鳥,毎日こんなの続いたら本当に死んじゃいますよ……
響,でもこんな調子で大丈夫なのか？今日のぴよ子を見たらちょっと不安になってきたぞ……
小鳥,うぅ……がんばります
真,そうだ！小鳥さん、毎朝ボクと一緒にジョギングしませんか？体力つきますよ！
響,真のペースだとぴよ子死んじゃうぞ
真,ぼ、ボクだってペースを合わせるぐらいできるよ！
P,んージョギングかぁ……それなら音無さん、俺と一緒にやりませんか？もちろん最初は軽く歩いてみるだけでもいいですし
小鳥,え？プロデューサーさんとですか？
P,ええ、俺も最近は運動不足気味ですしちょうどいいかなって
響,でもプロデューサー、そんな時間あるの？
P,うん、なんか思ってたよりも社長が頑張ってくれてるみたいでな、この後やろうと思ってた書類の処理なんかもほとんど終わってるんだよなこれが
真,へー！社長って仕事できたんだぁ……
響,意外だぞ……
P,あのな……お前達は普段社長が仕事してる姿をあんまり見てないからわからないかもしれないけど……社長ってかなりできる人なんだぞ？
響,でもすぐ騙されるよね
真,うん、そうだね
P,いい人なんだよ……とにかく、社長がこれだけサポートしてくれるなら俺も余裕ができるから、音無さんのジョギングに付き合うこともできるってわけだ。どうしますか音無さん？
小鳥,(社長……)
P,？音無さん？
小鳥,え？は、はい
P,どうしますか？ジョギングやります？
小鳥,えーと、はいよろしくお願いします！
P,よし、それじゃあ朝は事務所に集合しましょう、結構朝早くになりますけど大丈夫ですか？
小鳥,はい、あたしも社長から今回の番組に集中するように言われてますから
P,それじゃあ決まりですね、早速明日からでも始めましょう
小鳥,あ、明日からですか……？
P,あー……明後日からにしましょうか
小鳥,はいぃ……よろしくお願いします
真,いいなぁ小鳥さん、プロデューサーとジョギングができて
P,真のジョギングにも今度付き合ってやるからさ
真,本当ですか！へへっ、やっりぃー！
P,まあ俺の体力がもっとついてからだけどな……
響,真ばっかりずるいぞ！プロデューサー！今度自分の家族の散歩にも付き合ってよね！
P,ああ、わかったわかった
響,うぎゃー！いきなり撫でないでよ！変態プロデューサー！
P,変態は傷つくぞ……
真,ははは！響ったら顔真っ赤だよ？
響,うるさーい！！
小鳥,それじゃあお先に失礼しますね、お疲れ様でした
P,あ、待って下さい音無さん送りますよ
小鳥,え？そんな悪いですよ！
P,そんなにフラフラな人を一人では帰せませんよ……
小鳥,あ、あはは……でも本当に大丈夫ですから
P,遠慮しないでください、突然のことで大変だったでしょう？それに……
小鳥,それに？
P,今、音無さんの担当プロデューサーは俺ですから、大切なアイドルを放っておく訳にはいきません。なんてはは
小鳥,は、はははははい！
P,それじゃあいきましょうか
小鳥,はい！はい！
美希,むー、ハニーは小鳥を送っていくの？
P,っと、美希離れなさい
美希,ヤ！美希も送っていってくれなきゃ離さないの！
律子,こーら！美希！プロデューサーに迷惑かけないの！
美希,律子……さん、邪魔しないでほしいの。このままじゃ小鳥にハニーがとられちゃうの！
小鳥,ととととととるなんてそんな
律子,ワガママ言わないの！
P,美希もちゃんと送っていってやるから……今は我慢してくれ、な？
美希,むー……ハニーがそういうなら仕方ないの
P,よしよし、偉いな美希
美希,あはっ！ミキいい子にしてまってるの！
律子,全くもう、この子は……プロデューサー殿もあんまり美希を甘やかさないでくださいよ？
美希,律子……さんはちょっと厳しすぎるって思うな
律子,あんたねぇ～……！
P,ははは、それじゃいってきます
小鳥,ふふ、律子さんも美希ちゃんもお疲れ様でした
P,音無さんの家はこっちでよかったですよね？
小鳥,はい大丈夫です。……ふふっ
P,どうしたんですか？
小鳥,いえ、プロデューサーさんは人気者だなぁと思って
P,ああ、美希のことですか。……懐いてくれるのは確かにうれしいですね。もうちょっとアイドルとしての自覚をもってもらいたいところですが……まああれが美希の良さでもあるんですけどね
小鳥,ふふっ、美希ちゃん本気だと思いますよ？
P,それはそれで嬉しいような困るような……
小鳥,ちゃんと向き合ってあげてくださいね？それから、あたしが見たところプロデューサーさんに好意を持ってるのは美希ちゃんだけじゃないですよ？
P,ははっ、それが本当だとしたら俺はファンに殺されちゃいますね
小鳥,そーですよ、プロデューサーさんは罪作りな人なんですから
P,まあ自分で言うのもなんですが……アイドル達とはそれなりに信頼関係を築けてる……とは思います
小鳥,その通りだと思いますよ。みんなプロデューサーさんのことを慕ってますから
P,……ありがたい話ですね
小鳥,……ちょっとだけですけど、アイドルの子達を見てると羨ましいなって思っちゃう時があるんです
P,え？
小鳥,……あたしがアイドルやってたときは、あんなにキラキラしてませんでしたから
P,そう……なんですか……？
小鳥,はい、ダメダメなアイドルだったんですっえへへっ。あ！もう着いちゃいましたね！
P,え、あ……本当だ
小鳥,それじゃあプロデューサーさん、送っていただいてありがとうございました！
P,え、ええ……ゆっくり休んでくださいね？
小鳥,はい、それじゃあおやすみなさい
P,あ、音無さん！
小鳥,なんですか？
P,……アイドルは……楽しくなかったんですか？
小鳥,……
P,……
小鳥,……ふふ、そうですね…・・・そんなことはなかったですよ？
P,！……明日からもまた頑張りましょうね！
小鳥,はい！よろしくお願いします！
P,(今日は音無さんにビジュアルレッスンを受けてもらっている。美希、雪歩、貴音も一緒だ)
美希,小鳥、まだ表情が固いの
小鳥,そ、そう？
雪歩,わ、私はだんだんよくなってきてると思いますよ
貴音,しかし美希の言うとおり、まだまだ鍛錬が必要なようですね
美希,もう一回やるから良く見ててね？
小鳥,は、はい
美希,あはっ☆こんな感じなの
小鳥,こ、こうかしら……あはっ
美希,まだ固いの
雪歩,で、でもさっきよりよくなってるかも……
貴音,……やはりまだ鍛錬が……
小鳥,ピヨぉ……。うぅ……
P,お疲れ様でした、まあまだ本番までは時間がありますから、ゆっくりやっていきましょう
小鳥,はいぃ……
P,あはは……それじゃあゆっくり休んでくださいね。明日からはジョギングも始まりますから
小鳥,お手柔らかにお願いしますね……それじゃあお先に失礼します
P,はい、気をつけて帰ってください
貴音,お疲れ様でした、小鳥嬢
P,さて貴音、少し聞きたいことがあるんだが
貴音,なんでしょう？
P,レッスン中の音無さんはどうだった？
貴音,はて？あなた様もれっすんはご覧になられていたはずですが……
P,ああ、だけど他の人の意見も聞きたくてさ、美希と雪歩はレッスンの途中で仕事に行かなきゃならなかったし、最後まで見てた貴音はどう思ったか聞きたくてな
貴音,そういうことでしたら……私で良ければお応えしましょう
P,ありがとう、助かるよ
貴音,そうですね……はっきりと申し上げるなら、あまり良きものとは思いませんでした
P,……
貴音,ですが、これはまだ鍛錬が足りていないだけ……私は心配する必要はないと思っています
P,どうしてそう思うんだ？
貴音,ふふ……小鳥嬢は普段からとても魅力的な女性ですから
P,……うん、そうだな。……ありがとう貴音
貴音,いえ、あなた様のお役に立てたのなら……ところであなた様？
P,ん？どうしたんだ？
貴音,これから何かご予定などはございますか？
P,今日の仕事はもう終わってるし、特に予定は無いな
貴音,でしたら今度新たに開店したらぁめん屋があるのですが……
P,ははっ、そうだなちょうど腹も減ったし一緒にいくか
貴音,はい、ふふ……お供しますあなた様
P,あ、変装はしてくれよ？貴音は目立つからな
貴音,ふふ、承知しております
P,(ビジュアルレッスンの方は心配する必要はないか……あとは明日のボーカルレッスンを見てからだな)。よし、行くか貴音
貴音,はい、あなた様
P,(今日は千早と春香と一緒にボーカルレッスンだ！ちなみに朝のジョギングは５分くらい走ったところで音無さんに限界がきたのでウォーキングになった)
千早,～～～～♪～～～～♪……ふぅ、どうかしら？
小鳥,はぁ～……やっぱり千早ちゃんは上手ねぇ
春香,とってもよかったよ千早ちゃん！
千早,ふふ、ありがとうございます
小鳥,つ、次はあたしの番ね！
春香,頑張ってください小鳥さん！
小鳥,じゃ、じゃあいきます。ｽｩ……ﾊｧ……。～～～♪～～～♪～～～♪
P,(……うん、やっぱり……ボーカルは何の問題もないな）
千早,(綺麗な声……)
春香,(え、私この後？)
小鳥,～～～♪……ふぅ
千早,……とても素敵でした音無さん
春香,すっごく良かったですよ！
小鳥,そ、そうかしら？
千早,はい、あの……少し歌のことで聞きたいことが……
小鳥,え？あ、あたしなんかでいいのかしら……？
春香,(このまま私の番忘れてくれないかなぁ……)
P,何やってるんだ春香？次は春香だぞ？
春香,プロデューサーさぁん……
P,で……何で春香が落ち込んでるんだ？
春香,うぅ……だって、だってぇ……
千早,大丈夫よ春香、春香の歌には春香にしかない良さがあるんだから
春香,千早ちゃん……
千早,ただ上手いだけではいい歌とは言えないもの……春香の歌はとっても素敵だから
春香,うぅ……千早ちゃぁん！！
千早,ふふ……春香ったら
小鳥,(ただ上手いだけじゃ……)
P,どうかしたんですか？音無さん
小鳥,へっ？あ、いえ何でもないですよ！
P,そうですか？それなら別にいいんですが……
小鳥,ちょっとぼーっとしちゃって、えへへ
P,疲れが溜まってきてるのかもしれないですね。今日から始めておいてなんですが、明日のジョギングはお休みしますか？
小鳥,い、いえ！大丈夫です！
P,あまり無理はしないでくださいね？きつかったらいつでも言ってください
小鳥,はい、ありがとうございます
春香,あ！プロデューサーさん！小鳥さん！この後千早ちゃんとご飯食べに行くんですけど良かったら一緒にどうですか？
P,んー俺は大丈夫だが、音無さんはどうしますか？
小鳥,ふふっ、あたしも大丈夫ですよ
春香,やったぁ！それじゃあ早速行きましょう！ファミレスですよ！ファミレス！
千早,もう、春香あんまりはしゃがないの
小鳥,ふふ、楽しみねぇ
P,(ボーカルも問題なし、やっぱり問題はダンスか……まずは体力をつけてもらわなきゃなぁ)。……ふぅ、ちょっと休憩しましょう音無さん
小鳥,は、はい……はぁ……はぁ……
P,はい、どうぞ音無さん
小鳥,あ、ありがとうございます
P,この一ヶ月で体力もだいぶついたみたいですね
小鳥,はい、まだちょっと不安ですけど……
P,そろそろ本格的にダンスのレッスンを始めてもよさそうですね。真と響が音無さんに教えたくてうずうずしてるみたいですし
小鳥,今までは基礎的な筋トレや柔軟ばっかりでしたもんね、それでも充分きつかったですけど……
P,ははっ、ダンスレッスンが始まったらこんなもんじゃないと思いますよ？
小鳥,ピヨぉ……
P,それじゃあそろそろ戻りますか
小鳥,はいっ
P,というわけで今日からいよいよダンスのレッスンを始める！頼んだぞ真、響
真,はい！ぃよーし！やりましょう小鳥さん！
響,自分と真が教えればどんなダンスもなんくるないさー！
小鳥,お、お手柔らかに……
真,それでここのステップが……
響,真、それじゃあちょっと早すぎるぞ
小鳥,大丈夫よ響ちゃん、真ちゃん続けてくれる？
真,え？は、はい
響,本当に大丈夫なのぴよ子？今のとこ結構難しいぞ？
小鳥,ええ、えーと……こうよね？
真・響,！！
真,できてる……
響,驚いたぞ……。プロデューサー！ちょっときてくれ！
P,どうしたんだ響？喉でも渇いたのか？ちゃんと飲み物買ってきたぞ、ほれ
響,え？ありがとう
P,ははっ、あんまりあわてて飲むなよー？
響,ぷはっ！美味しかったぞプロデューサー！ごちそうさま！……ってうぎゃー！！そうじゃなくて！！
P,うぉ！急に大声出したらびっくりするだろ？
響,ぴよ子が！ぴよ子が大変なんだプロデューサー！！
P,えぇ！？。で？何が大変なんだ響？
響,え？
P,いや、え？じゃなくて、音無さんに何も変わったとこなんかないじゃないか！
響,まあまあ、見ててよプロデューサー、きっとびっくりするぞ！
P,はぁ、一体なんなんだ……？
響,ぴよ子ー！準備できてるかー？
小鳥,え、ええ大丈夫よ！
響,うん！じゃあ真！
真,オッケー響！それじゃあいきますよ小鳥さん！
小鳥,は、はいぃ！
P,音無さんが何かするのか？
響,プロデューサーは黙って見てて
真,それじゃあミュージック……スタート！
小鳥,ｽｩ……ﾊｧ……。ふっ……。よっ……と
P,(！？こ、これは……！踊れてる……どういうことだ……？)
響,ふっふっふ……驚いてるなプロデューサー！
P,あ、ああ……これは確かに驚いたな……一体どうやったんだ？
真,それが……ボク達は普通に教えてただけなんですけど……小鳥さん異常に覚えが早くて
P,こ、この時間だけで踊れるようになったのか！？
響,ま！完璧な自分が教えたからな！
真,正直ボク達も驚きましたよ、そんなに簡単なダンスじゃないはずなのに……
響,自分完璧だからな！
真,響……ボク達は普通に教えただけでしょ……
P,(覚えが早いなんてもんじゃないぞ……音無さんって実はすごいアイドルだったんじゃ……)。(音無さんのあの様子なら今から本番で使う曲のレッスンに入ってもよさそうだ。しかし俺は音無さんの持ち歌なんて知らないから……)。社長、少しお話があるのですが
高木,おお君か、入っても構わないよ
P,失礼します
高木,何かようかな？
P,はい、そろそろ番組で使う曲のレッスンに入りたいので音無さんのアイドル時代の曲を知りたいのですが
高木,おお！もうそこまでレッスンは進んでいるのかね？やはり君は優秀だなぁ、はっはっは！
P,いえ……俺がどうこうというよりも音無さんの実力ですよ。本当にアイドル時代は有名じゃなかったんですか？
高木,ああ……彼女はあまり有名ではなかったね
P,あれだけの才能がありながらどうして……
高木,音無君はね、もともとあれほどの才能があったわけではない。あれは彼女の努力が生み出したものだ……もちろん最初から光るものはあったがね
P,……やはり、以前音無さんをプロデュースしていたのは社長なんですね？
高木,うむ……音無君は私が最後にプロデュースしたアイドルだった。……正確には私一人ではなかったがね
P,一人じゃなかった？
高木,彼女のプロデューサーはもう一人いた。……黒井だ
P,黒井社長が！？
高木,……音無君はね、技術だけならあの日高舞にも劣らなかったよ。……技術だけならね
P,社長……その話……
高木,さて！今日はもう遅い、この話はまた今度にしようじゃないか！
P,……はい
高木,さあ、これが音無君の曲だ、受け取りたまえ
P,曲名は……空ですか
高木,うむ、音無君にぴったりの曲だよ
P,ありがとうございます社長。……それでは失礼します
高木,ああ、ちょっといいかな？
P,はい、何でしょうか？
高木,先程の話だが……このまま音無君のプロデュースを続けていれば……必ず君に話す時がくるはずだ
P,……
高木,その時にまた……聞きにきて欲しい
P,……はい
高木,つまらない昔話になるが……付き合ってくれるかい？
P,……もちろんです。空か……いい曲だな……。うん、いい感じですね音無さん
小鳥,はい、正直自分でもまたこんなにできるようになるなんて思いませんでした。ふふっ
美希,ミキもすっごくよくなったって思うな！
千早,そうですね、もともと歌の方はかなりのレベルでしたけど
伊織,まあこの伊織ちゃんにはまだまだ及ばないけどね、にひひっ♪
あずさ,私も音無さんに負けないようにしないといけないわ～
亜美,亜美に比べたらちょ～っとプリチ→さが足りないけどね！
真美,真美のセクチ→さにもちょっと足りないけどね！
律子,あんたたちはうかうかしてると小鳥さんに追い抜かれちゃうわよ？
亜美,うあうあ～！そんなこと言わないでよりっちゃ～ん！
真美,真美たちもまだまだこれから成長すんだかんねりっちゃん！
P,あははっ、今なら現役でアイドル復帰できるんじゃないですか？
小鳥,それは言い過ぎですよプロデューサーさん、ふふっ
P,律子、あれ持ってきてもらえるか？
律子,はい！プロデューサー殿
小鳥,？プロデューサーさん、あれって何ですか？
P,ふふふ、見てからのお楽しみですよ
律子,じゃん！小鳥さんのステージ衣装です！
小鳥,す、ステージ衣装！？
P,あははっ、何驚いてるんですか音無さん、ステージに立つんだから当たり前じゃないですか
亜美,ちょ→イケイケな衣装じゃーん！
真美,プリチ→でセクチ→ですな～！
美希,あはっ！ミキ的にもかなりかわいいって思うなっ
伊織,ちょっと小鳥にはもったいないんじゃないの？にひひっ♪
あずさ,素敵だわ～
千早,きっと音無さんに似合うと思います
小鳥,こ、これをあたしが着るんですか……？
律子,もちろんそうですよ、小鳥さん
Ｐ,そして今日はここで本番と同じように通してもらいます
小鳥,えええ！？
P,今の音無さんなら大丈夫ですよ、それに観客は俺達だけですから気楽にやってみてください
亜美,んっふっふ～、これは楽しみですな真美殿
真美,んっふっふ～、そうですな～亜美殿
律子,あんた達は今から仕事だから移動だけどね
双子,「えー！？そんなのヒドイよりっちゃ～ん！！」
律子,前から言ってたでしょーが、今日は亜美と真美は二人で雑誌の撮影だって。久しぶりに二人で仕事だーって喜んでたじゃない
亜美,だって～、ピヨちゃんの晴れ姿も見たいっしょりっちゃ～ん！
真美,二人でお仕事もちょ→楽しいけどこっちだってちょ→楽しそうじゃ～ん！
律子,はいはいわがまま言わない！さっさと行くわよ！
あずさ,あらあら、二人とも頑張ってね～
律子,……あずささんも今から仕事ですよ？
あずさ,あ、あらあら～？そうだったかしら～？
