彡(-)(-),フア～ァ……あ～よく寝たで……今何時やろ
彡(ﾟ)(ﾟ),ファッ！？もう15時やんけ！せっかくの日曜日やのに……また休日無駄にしたわクソ。なんか食うか、確かカップラーメンあったやろ
彡(^)(^),おっ！ワイの好きな即脱糞級！激辛担々麺！これ食うたろ！
彡(ﾟ)(ﾟ),……………………。なんかちゃうな。なんかそんな気分じゃないな……カップ麺腐るほど食うてもうたから飽きたんかな
彡(^)(^),じゃあ酒や酒！ビール一本空けたら腹も空くやろ！。っかーやっぱこれやね！あったかい部屋で冷たいビールは最高やな！
彡(ﾟ)(ﾟ),……………………。いや、これもちゃうな。腹減ってないからビールまずいわ。……………………。オムライス作るか。ええと……卵と玉ねぎと鶏肉と……。普段自炊なんかせんから買うものが多いな……言うてオムライスなんか少ない方やと思うけど。お、レタスや。生野菜とかどんだけ食ってないやろ……ちょっと高いけど買うか
彡(^)(^),ミックスベジタブルは要らんやろ！ワイ赤いのも黄色いのも緑のも嫌いやし
彡(ﾟ)(ﾟ),牛乳もいるんか、どこに使うんやろ。うーんこんなもんかな、よし買って帰ろ
彡(^)(^),ワイ帰還せり！作っていくで～なんかワクワクしてきたわ！。まずは玉ねぎをみじん切りにするんやな！余裕やろ！
彡(｡)(；),オゲェエエエ目が痛いで……涙がポロポロ出る。もう最悪や……二度と玉ねぎなんか食わんでほんま
彡(ﾟ)(ﾟ),次は鶏肉か、これもちっちゃめに切るんやな。まずはパックから出してっと
彡()(),おお……やっぱ生々しいな。うわっ皮の方余計に生々しい！裏向けて切ろ……
彡(ﾟ)(ﾟ),……ワイは今から鳥さんの命を頂くんやな……自分で切ると実感するわ。マッマもこんな気持ちで飯作っとったんやろか……マッマも玉ねぎ切る度にあんなに涙出とったんやろか。…………
彡(^)(^),よっしゃ全部切れたで！次は炒めたらええんやな
彡(ﾟ)(ﾟ),サラダ油……はないな、オリーブオイルでええやろ。まずは鶏肉やな。おおええ感じや！肉に火が通ったら玉ねぎ入れて、と
彡(´)(`)?,う～んええ匂いや！なんか小さい頃の夕方を思い出す匂いやな
彡(ﾟ)(ﾟ),なんか玉ねぎからめっちゃ水出てきたな……大丈夫かこれ。まあええ匂いしてるし大丈夫やろ。あとは飴色になるまで炒めるで。料理なんかほとんどしたことないけど飴色がどんな色かはわかるな、これまた不思議と。よし、次は飯投入や。玉ねぎ鶏肉とよく混ぜて、塩コショウちょろっと入れてまた炒めるで
彡(^)(^),よし、いよいよケチャップ投入や！これでチキンライスは完成やな
彡(ﾟ)(ﾟ),…………ん？
彡(｡)(；),ゼェゼェハァハァ……ケチャップないの忘れとったわ……材料のとこにケチャップ書いとけや！何あって当たり前みたいな書き方しとんねんボゲ！。あースーパー近くてよかった……ゼェゼェ
彡(ﾟ)(ﾟ),さあ続きや、ケチャップかけてっと。ちょっと味見しよ……なんか足りんな、もうちょっと塩コショウとケチャップ入れよ
彡(^)(^),こんなもんやった気がするな、チキンライス完成や！あとオムの部分やな
彡(ﾟ)(ﾟ),卵２個を溶いて、牛乳を大さじ1杯入れる……牛乳はここで使うんか。卵溶く時の音をすこれ。フライパンに油をひいて溶き卵を流すで
彡(^)(^),ちなみに包むタイプのオムライスじゃなくて上に卵乗せるタイプのオムライスにするで！不慣れなことはやるもんじゃないからな
彡(ﾟ)(ﾟ),おっ固まってきた！ちょっと半熟ぐらいで止めといて、器に盛ったチキンライスの上に……。ホイッ！。ありゃ……グシャグシャなったわ。まあええか、食うてまえば一緒や。チキンライス余ってもうたな、明日食お。…………そうや
彡(^)(^),まま座れや！今日は原ちゃんにワイの手料理食わせたろ思てな
彡(ﾟ)(ﾟ),おお？ワイの飯が食えん言うんか？。まあそんなこと言わずに食うてくれや、頼むわ。当たり前やろ！このワイが作ったんやから……ささ、早よ食うてや、感想聞かしてや。お、おあがりなさい……。だ、黙って食うなや……何か言えや。ギャア！ななな何や急に！そんなまずいんか！？
彡(^)(^),ほ、ほんまか！泣くほど美味いか！いや～頑張った甲斐があったな！。おっ何やおかわりか？チキンライスはあるけど卵がないねんなーワイしか食わん思たからちっちゃいパックしか買わんくてな
彡(ﾟ)(ﾟ),どうしてもこうしてもないやろ……作ろ思たから作っただけや。ただ……なんか飽きたんや。カップ麺もビールも、寝てばっかおるのも。だからオムライスやと思ったんや。今思えばオムライスはワイにとってのマッマの思い出や。作ってるときにいろんなこと考えたわ……食材揃えんの意外と金かかるなあとか、玉ねぎ切るのめちゃくちゃ目痛いなとか。ほんでいろんなものに感謝できた。鳥さんありがとう、卵さんありがとう、玉ねぎさんありがとう、文句一つ言わず飯作ってくれとったマッマありがとうと。上手く言葉にできんけど……ワイにはたぶん、オムライスが必要やったんや
彡(^)(^),もちろん原ちゃんにもありがとうや！ワイのグチャミソオムライス美味い言うて食うてくれたんやから
彡(ﾟ)(ﾟ),やっと……やっと先に進めた気がするわ。もう振り返らん。ワイにはオムライスがあるからな。ありがとう、マッマ。あ、レタス忘れとった。課長……すんません今日は。はい。ありがとうございます！ほな、また…。おおありがとう原ちゃん！それじゃあちょっと待っとれや
彡(｡)(；),オゲェエエエ目痛ぁ！玉ねぎなんか二度と食わんで！
