21歳ミカン,シャミ子可愛そう…
21歳杏里,ちよももーそれはどうかと思うよ…
ウガルル,ウガ？俺でももっと手伝ってる
桃,それに毎日ありがとうってお礼も言ってるし
ミカン,お礼を言えば当たり前みたいにして良いなんておかしいと思いなさいよ…
桃,で、でもわたしがやるよりシャミ子のほうが上手にできるんだよ？
ミカン,戦闘得意じゃないシャミ子に筋トレ強要してた人がそれ言う？
杏里,ちよももーそういうところだぞー
桃,食洗機とかルンバとか買って楽しようってシャミ子に言ったら家事するの好きだからいらないって言われたし
ミカン,同棲してるんだからそこは共同作業しなさいよ…せめて掃除中に買い物に行くとか…
桃,メタ子のお世話とかしてるし…
杏里,そういえばシャミ子最近メタ子に懐かれましたって喜んでたなー
ミカン,……メタ子のお世話の頻度は？
桃,……3日に1度くらいは……でも遊ぶのは毎日してるから！
ミカン,ペットの面倒なところほぼ押し付けてるじゃない！。せめて買い物で重いものぐらい持ってあげるとかしてるのよね？
ウガルル,ウガ！俺の毎日の仕事の一つ！
桃,え？えーと…シャミ子って帰りに買い物済ませて帰ってくるから…
杏里,擁護できないよちよももー…
ミカン,あなたなんのために筋肉つけてるの？
桃,……
シャミ子,ただ今帰りましたーあれ？お客さんが？
ミカン,お邪魔してるわシャミ子
杏里,やっほー
ウガルル,ウガ！ボス遊びに来た！
シャミ子,ミカンさん、杏里ちゃん、ウガルルさん！あ、今お茶出しますね！
桃,お茶出すの忘れてた…
ウガルル,ウガ！俺なら入れられたお茶を運ぶために動く！オマエは動かないのか？
桃,あ……
ミカン,されることが当たり前になってしまったのね…
桃,シャミ子、手伝うよ
シャミ子,はわぁ……。じゃあもんもはこのおちゃん運んでもらっていいですか？私はお菓子を持っていきますので
桃,しっぽがすごい喜んでる……よし、シャミ子がもっと喜んでくれるように改善しよう！。はぁ…
ミカン,あら？桃じゃない
桃,ミカン…
ミカン,どうしたの？元気がないけど
桃,シャミ子に怒られちゃって…
ミカン,え？何をしたの？
桃,シャミ子のご飯を作る手間を楽にしようとポテトチップスをたくさん買って帰ったら……何故か怒られて……
ミカン,それは桃が悪いわ
