まどさやあんほむ,おじゃましましたー
マミ,ふふ、またいらっしゃい
まどか,今日の“マミさんの家で名作映画上映会”もすごかったねぇ
さやか,あたしあんなに泣いたの久しぶりだったよ
杏子,さやかも意外と涙もろいんだなー
さやか,あんただってガンガン泣いてたくせに。転校生はいつもの表情だったけど……
ほむら,………。ふぅ……
QB,お疲れのようだね
ほむら,あら、いたの
QB,ひどいなぁ、さっきも一緒に帰っていたじゃないか
ほむら,空気も読めないような淫獣のことなんてすっかり忘れていたわ
QB,君たち人間はいつもそうだ。肉眼で捕えることのできない空気を読むだなんてどうかしているよ
ほむら,“比喩”というものを知っているかしら。みんなが感動している中、雰囲気をぶち壊しにする奴の事なんて知らないわ
QB,やれやれ……。僕たちにとっては、どうして想像上の話でああなるのか理解できないよ
ほむら,そうね、感情のないあなたにはわからないでしょうね
QB,これも感情か。やはりわからないね
ほむら,分かろうとしないんじゃないの？
QB,言っただろう？感情は、僕らの星ではまれな精神疾患でしかないと。ゆえに、君たちにこうしてエネルギー回収をしているわけじゃないか
ほむら,……感情を理解したいの？
QB,可能ならば、それがどのようなものかを理解したいね。もし実現すれば、エネルギー回収効率も大幅に向上するはずだ
ほむら,………。……できない事も、ないかもしれないわよ？
QB,きゅぷ？
ほむら,……日記をつけてみたらどうかしら？。そう、日記よ
QB,日記というと、その日一日の記録をすることだよね
ほむら,ええ。一日の終わりに、その日の事を思い出して書くことね
QB,でも、その必要はないよ。僕たちインキュベーターはね、その気になれば完璧なレコードを取ることができる。必要さえあれば、母星に全く誤差のない行動記録を逐一送り記録することだってできるんだ。記憶なんて言うあいまいなものに頼らずともね
ほむら,……はぁ。わかってないわね
QB,きゅぷい？
ほむら,人間を知りたいのなら、人間のマネをしてみればいいでしょう
QB,君たちのマネを、ねえ
ほむら,それで日記がお手頃じゃないかしら？と提案したのよ。特段難しいことでもないでしょ？
QB,ふむ、いいかもしれない
ほむら,私の暇つぶしにもなるし
QB,しかし困った。僕は四足歩行生物を元にした体で行動している。筆記、つまり日記を書くのに必要な作業ができない
ほむら,………。たしかこのあたりに……。あったわ。私の昔のパソコン。タイピングや使い方ぐらいはわかるでしょう？
QB,なるほど、それは助かるよ
ほむら,それじゃ、私は寝るから
QB,ああ、おやすみ、暁美ほむら
ほむら,日記、するかしないかは自由だけど、やるならやっておきなさいよ
QB,わかったよ。やれやれ、日記を書くことになるとはね。しかしこれで感情が理解できる可能性が増えるというのなら試す価値がありそうだ。さて、記念すべき第一回を書いてみようか。………。………。………。……だめだ、まるで思い浮かばない。そもそも知識として日記というものは知っているけど、どういう物かは詳しく知らない。書式も、どのようなルールに沿っているのかも……。だいたい一日の事を記録するとなると、毎日同じようなものを書くことになりそうだよ。ふむ……いろいろ試してみようか。こんなところかな？
ほむら,……それじゃあまるで業務日誌よ
まどか,あ、ほむらちゃん！
ほむら,おはよう、まどか
さやか,よっす、転校生！
ほむら,……おはよう、美樹さやか
さやか,相変わらずあたしに対しては冷たいなぁー
QB,やぁ、まどか、さやか！
さやか,お、キュゥベえじゃん
まどか,キュウベえ、おはよう
さやか,そっか、キュゥベえってほむらんところに住んでるんだったね
ほむら,同居しているような言い方しないでちょうだい。こいつが勝手に居座っているだけよ
まどか,でもほむらちゃん、そういいながらいろいろお世話しているよね？
ほむら,仕方なくしているだけ。できることならマミのところに帰ってほしいところなんだけど
QB,やれやれ、僕も嫌われたものだね。たしかにマミのところでもいいのだけど、しつけが厳しくてね。気楽にできる分、ほむらのところが住みやすいのさ
まどか,あー、マミさんってそういうところありそうだもんね
さやか,お母さんキャラというか、そんな感じ？
QB,なかなか厳しいんだ。キッチンは毛が落ちるから入っちゃだめだ。ご飯を食べるときは散らかさないように食べる。とかいろいろね
まどか,あれれ～？なんだか一般的な教養のような気がするよぉ
さやか,つまり、ほむらは放任主義なのか
ほむら,……私も厳しくすれば、この淫獣を追い払えるのかしら？
QB,君の厳しいはシャレにならないからやめてほしいね
さやか,三時限目終わりー！。もうさやかちゃんのHPはゼロだ～……
ほむら,授業中寝ていたくせに、よく言うわね
