側近,
勇者,♂）「ぜぇ…ぜぇ…やったのか
僧侶,♀）「流石は魔王を一番近くで支える魔族。強敵でしたね
戦士,♀）「ああ、でも、まだ残ってるんだろ。メインディッシュが
盗賊,♀）「魔王…ね
勇者,ああ。待っていろ、魔王。俺たちは…貴様を倒す。そして、人々の平和を取り戻すんだ。魔王！。って、あれ？
戦士,おい、魔王が居ないぞ。どういうことだ
盗賊,あの玉座は、たしかに魔王のものよね
僧侶,おかしいですね。まさか何かの罠では…？
勇者,……
僧侶,勇者さま？
勇者,…なんかさ、匂いしない？
僧侶,え？！（やだ、汗かいちゃったかな）
戦士,勇者…
盗賊,前々から思ったけど、勇者ってそういう所酷いわよね
勇者,何言ってんだ、お前ら。汗のことじゃねーよ。…こっちか？
戦士,勇者？
僧侶,ゆ、勇者さま、一人で行かれては危険です
盗賊,まったく、タンジョンでもああだったわね、勇者って。おかげであたしどれだけ苦労したものか
勇者,…何だ、ここ魔王の城のはずなのに。なんでこんなごく一般的家庭にありそうな部屋とリビングが……。そしてこの匂いって
僧侶,勇者さま、待ってください
盗賊,ここって…なんでこんな人間の家の部屋みたいな構造の部屋が…
戦士,おお、中から良い匂いするな。勇者が嗅いだのってこの匂いだったのか
勇者,…あれは…
？？,……。…。少し塩を入れすぎた感がありますが…まだ大丈夫でしょう
勇者,お前は…
？？,…あ。良かったら、このスープの味見をしてもらえるでしょうか。人間の味に合わせているかどうか良く判りませんので…
勇者,……魔王？
僧侶,へっ？
戦士,あの厨房で料理してるのが魔王だって？女じゃん！
盗賊,しかもエプロンまで巻いて…魔王の威厳は欠片もないわね。ほんとに魔王なの？
勇者,間違いない。こいつが魔王だ。勇者の俺には分かる
魔王,そうですね。互いを見ただけでその存在を理解し合う。それが勇者と魔王なのですから…。スープの味見を…
勇者,は？
魔王,飲んでみてもらいましょう
勇者,あ、ああ。上手い
魔王,そうですか、口に合って良かったです。あ、…悪いですが、少しその鍋を見てもらえますか？パイが焼き終わったようなので…
勇者,え、おい！。（あれが…魔王？）。（どうなってんだ）。（なんで魔王が料理なんてしているんだ）
魔王,鍋が凝らないように混ぜていただけますか
戦士,何だあいつ。私たちのことを馬鹿にしてるのか
僧侶,私も良く判りません。でも……
戦士,何だ？。
僧侶,い、いえ、これは……ですね
盗賊,私も僧侶の気持ち分かるよ。魔界に来てからろくなもの食べてないじゃない。なのにあんなご馳走見られちゃったら…
戦士,馬鹿を言え。魔王が作った料理なんだぞ。私たちを安心させて毒殺するつもりなのかも知れないじゃないか
魔王,その可能性は否定できるものではないのですが…。私は一応料理は誰でも美味しく食べられるように作っているつもりです。料理に毒を入れて殺すなど、人間でこそ出来る発想、だと思います
勇者,その言葉、信用しても良いのか。いや、それ以前に俺たちにこれを食べろというつもりか？
魔王,…ご覧のとおり、一人で食べきれる量ではありませんから。食す時は人が多い方が楽しいものです。新しい人たちから料理の感想を聞くのもまた勉強になりますから
戦士,…戦う前の、最後の晩餐とでも言うつもりか？
魔王,そのような物騒な思いで私の料理を食べられるのは控えて頂きたい所ですが…。そうですね、確かに貴方達と私の立場を考えれば、その言い方も、あながち間違っているとは言えませんね
戦士,貴様…！
僧侶,美味しそうですね
盗賊,魔王のくせに、どこでこんな人が食べる料理なんて勉強したのかしらね
魔王,変に聞こえるかもしれませんが、私は昔から人達のことが大好きでしたからね
戦士,ふざけるな！貴様らが今まで殺した人たちがどれほどだと思ってるんだ。なのにその口から人が好きだという言葉が出てくるのか！
魔王,人を好むのはあくまで私個人の趣味。魔王という魔族を率いる王としての私は、あくまでも人間に敵対する存在の頂点でなければなりませんからね
戦士,減らず口を…！
勇者,寄せ、戦士
戦士,何故だ、勇者！。こいつは私たちを弄んでいるのだぞ！。きっとこの料理も何かの罠か、それとも幻にかかっているのかもしれない
勇者,幻のはずはない
戦士,なんでそうはっきりと
勇者,さっきスープの味を見たからな。俺も魔王を信用するつもりで言っているわけではないが、この料理に俺たちを嵌めるための仕掛けはないだろう
戦士,何故そう言い切れるんだ
勇者,……これはもともと俺たちのために準備できていたものではないからだ。僧侶、魔王城に入って来てから何人相手した。これは俺たちが殺した魔王城の魔物たちのために用意された料理だ
魔王,城の者たちの料理を振る舞うことは私の数少ない楽しみの一つでしたからね。今日が貴方達が来ていなければ、大盤振る舞いになっていたはずです。今日は、側近と会って十年が経つことを祝う記念日でしたので。少し気合を入れて沢山作ってしまいましたからね。貴方達にはこの料理を責任を持って全部食べる義務があります。私と戦うのはその後です
僧侶,勇者さま
勇者,俺はお腹が減ってるんだ。誰が誰のために作ったものだろうが料理であることが変わらない。捨てるよりはマシだろ
戦士,はぁ…食った食ったー
魔法使い,美味しかったわね
僧侶,ちょっと食べ過ぎたかもしれません
勇者,ほんと、こんな食事がまた出来るとは思わなかったな。その…何だ、こう言っちゃ立場がおかしくなるが、礼を言っておく
魔王,いいえ、作った料理を美味しく食べてくれるのなら、それが誰であろうと関係ありませんから。私は後片付けをしましょう。その間、貴方達はお風呂にでも入っててください
魔法使い,いいわね。お風呂とかも最後の村以来では川で洗ったりするのがやっとだったのに
僧侶,お湯に浸かることが出来るなんて素敵です
戦士,……
魔王,その向こうに男女分かれた風呂場があります。使い魔は残っていませんので、自分たちで探してください
戦士,……。アレは一体どういうつもりなのかさっぱりわからん。ご馳走に温かいお風呂。嫌というつもりはないけどさ、あいつは魔王だぞ。こんなことして、裏がないのだとすれば一体何のつもりだというんだ
勇者,…もしかしたら、なめられているのかもな
戦士,なめられてる？
勇者,ここまで来るまで俺たちは自分たちのことを極限まで押えていた。疲労も溜まりに溜まっている。たかが人間の分際で自分に挑むことも片腹痛いのに、ましてやそんな１００％力を出せる状態でもない身で自分に挑むつもりか。っていう…
戦士,なるほど…だとしたらとんだ自信だな
