ジャイアン＆スネ夫,のーびー太ーくん
のび太,噂をしてたらジャイアンとスネ夫が来た。どうしたんだろう？
ドラえもん,う～ん･････
のび太,どうしたのドラえもん？
ドラえもん,いや･･･何だか前にも似たような事があったような気が･･･
のび太,ジャイアンとスネ夫なんてよく来るじゃない！さっきからおかしいよドラえもん。僕、ちょっと出てくるからね
ドラえもん,う～ん、それにしても強い既視感だ･･･。頭がグラグラする
のび太,ドラえも～ん！あ、まだ唸ってる
ドラえもん,あれ？どうしたのみんなして？外で遊ぶんじゃないの？
のび太,スネ夫がみんなに話しがあるんだってさ
ドラえもん,話？
ジャイアン,スネ夫、早く二人にも話してやれよ！
のび太,えーなになに！？気になるー
スネ夫,ジャジャーン！！このチケットを見よ！！
のび太,あぁ！？それってもしかして！？
スネ夫,そう、豪華客船オーベロン号の乗船チケットさ！！
ドラえもん,そういえばテレビでやってた！確か明後日の29日に東京湾に来るんだよね
のび太,何でスネ夫がオーベロン号のチケットを持ってるの？
スネ夫,ハハ、従兄弟がいらないっていうから貰ったんだｗ4枚もねw
のび太,よ、4枚も！？
スネ夫,そう、だから君達にも幸せを分けてやろうと思ってねw
のび太,えぇ！？僕らも一緒に連れてってくれるの！？
ドラえもん,良かったねーのび太くん！！
のび太,うん！！まさかあんな豪華客船に乗れるなんて♪
ジャイアン,ハハ、みんな俺に感謝しろよｗ
スネ夫,もう！ジャイアンは関係ないじゃないか！
のび母,いけません！！
のび太,えぇ！？何で！？
のび母,何で！？じゃありません！！夏休みの宿題も終わってないのに泊りがけで遊びなんてママは絶対に許しません！！
のび太,そんな～。オーベロン号だよ？ママも知ってるでしょ？あんな凄い船に乗れる機会なんてこれが最初で最後かもしれないのに～
のび母,どうしても遊びにいきたいのなら、ちゃんと明後日までに宿題を終わらせなさい！！
ジャイアン,なに！？宿題が終わらないと行けない！？ふざけんなー！！意地でも来週までに終わらせろ！！でないと分かってんだろうな！！？
のび太,そ、そんな事言っても･･･あの大量の宿題を1日でなんて無理だよ
ジャイアン,うるせー！！やれったらやれー！！
のび太,うわああああ。たらいま～
ドラえもん,あらら、また酷くやられたね
のび太,来週までに宿題を終わらせなかったら殺されるよ～
ドラえもん,こうなったら、死ぬ気で勉強するしかないね
のび太,うぅ～～。駄目だーー
ドラえもん,あ、あんなに頑張ったのに半分しか終わらないなんて
スネ夫,のーびーたーくん！
