5歳ぼく,土地全部売って世界1周したいwww
じいちゃん,。お前はうちの跡取りだしかわいがるで
小学生ぼく,ワーイwww
叔母,
じいちゃん,病気なったったwww
小学生ぼく,うはwwwお見舞い行くわwww
じいちゃん,父ちゃんと仲良くやれよwwwタバコ臭いけどいいやつやでwww
ぼく,じいちゃんの方が優しいから好きやわwww
父ちゃん,
ぼく,剣道で優勝したでwww泣くまでじいちゃんが稽古してくれたおかげやwww
じいちゃん,www
ぼく,稽古疲れたwww手臭いwww父ちゃんより臭いwww
じいちゃん,www。
ぼく,じいちゃん寝てるwww起きてやwwwじいちゃんwww
じいちゃん,
ぼく,じいちゃんなんで起きないん？www剣道しようやwww
父ちゃん,じいちゃんは死んだんやで
ぼく,？www。じいちゃん死んじゃったwwwそうぞく？で家の雰囲気やばいwww
父ちゃん,お前は気にすんなwww守ったるわwww
ぼく,ウハwww父ちゃんいいやつwww
叔母,財産寄越せやwww
父ちゃん,は？
ぼく,父ちゃんwwwキレてるwww怖すぎwww。ちょwww父ちゃんwww危ないwww
父ちゃん,はなせ！お前を守るためだ！！
ぼく,包丁怖いおwww死んじゃうwww。ちょwww父ちゃんwww危ないwww
父ちゃん,はなせ！お前を守るためだ！！
ぼく,包丁怖いおwww死んじゃうwww。危ねえwww11歳で死ぬとこだったわwww叔母さん許すまじwww。父ちゃんすげえwww財産守ったwwwかっけえwww
父ちゃん,せやろwww
ぼく,けど臭いwwwタバコやめろやwww
父ちゃん,
俺,中学生になったwww剣道また始めるおwww。部活楽しいwwwレギュラーなれたwww1年だけど試合出るおwww
父ちゃん,ストレスで病気になったおwww
俺,ウハwwwがんばりすぎwww
父ちゃん,役員になったでwww病気怖いwwwどうしよwww
医者,手術で治るで
父ちゃん,まじかよwww家帰って相談するわwww。手術で治るらしいwwwどうしよwww
母ちゃん,やれよ
姉ちゃん,やれよ
俺,やれよwww
父ちゃん,まじかよwww怖すぎwwwけどみんなのためにやるおwww
俺,今日試合やwwwがんばるおwww
父ちゃん,病院行ってくるwww息子www見送りくらいしろやwww
母ちゃん,10時くらいに病院来てやwww先行ってるわwww
俺,了解www
母,退院したら北海道旅行やでwww
俺,やべえ楽しみwww部活休もwww
手術室のドア,ウィーンwww
父ちゃん,
母ちゃん,
姉ちゃん,
俺,？。父ちゃんwww起きろやwww目開いてるやんwww話してやwww
父ちゃん,
俺,父ちゃんwww。父ちゃん意識ないままwww旅行いけないやんwww
叔母,見舞い来たでーwww
俺,帰れや
叔母,お兄ちゃんwww起きてwww
姉ちゃん,
俺,姉ちゃん倒れたwwwどうしたwww
姉ちゃん,ぜぇwwwぜぇwww
俺,これ過呼吸ってやつ？www生で見たの初めてやでwwwどうしよwww
姉ちゃん,
叔母,あら大変www
俺,はよ帰れやお前www帰れ
母ちゃん,帰れやwww
叔母,
父ちゃん,
姉ちゃん,
母ちゃん,。
俺,空気最悪wwwやべえwww。父ちゃんwww助けてwww俺を守るんじゃねーの？www
父ちゃん,
俺,起きろやwww起きてや父ちゃん。。俺が家守るおwwwとりあえず叔母ぶちのめすおwww
叔母,こんちはーwww
俺,うちにもう関んなやwww帰れやwww
叔母,親戚一同連れて来たおwww
俺,お前ら全員帰れやwww
親戚,お前まだガキやんけwww俺らに任せろやwww
俺,金目当てやろwwwバレとるでwww
親戚,そんなわけないやろwww
俺,俺らいなかった時の親族会議録音してるでwww帰れやwww
親戚,
俺,父ちゃん起きないけど学校始まってもうたwww学校の奴らには隠しとこwww
学校での俺,ウェーイwwwなんもつらいことないでーwww部活楽しいおwww
友達,ちょwww悩みなさそうwww元気すぎwww
俺,父ちゃんwww起きてwww
親戚,また来たでーwww
俺,お前ら来んなやwww帰れやwww帰れや！！！！。。あれwwwここどこやwww
母ちゃん,あんた倒れたんやでwww過呼吸なってたでwww
俺,ちょwwwまじかwww姉ちゃんと一緒やんwww
母ちゃん,うちの家もうボロボロやねwwwごめんねwww
俺,
母ちゃん,大変やけどあんた大学までちゃんと行きなwwwお金はあるからwww
俺,うはwwwおけwww。家大変やけど高校生なったでwww部活も続けるでwww
先生,放課後に職員室来いやwww
俺,初日から呼び出しwwwやべえwww
先生,家大変やなwwwつらかったらいつでも話聞くでwww
俺,母ちゃんwww事情説明しやがったwww
高校での俺,ウェーイwww剣道やってるでwww頭は悪いでwww悩みとかないでwww
クラスメート,頭おかしいやつおるwww
叔母,ようwww元気か？www
俺,
母ちゃん,ちょwwwまたあんた倒れてるやんwww
俺,過呼吸つらいおwwwなんでかお腹も痛いおwww
母ちゃん,学校休んで病院行ってきwww
俺,おけwww
医者,盲腸っすwww
俺,ちょwww
医者,入院つすwww
俺,ちょwww
先生,お前ストレス溜めすぎやろwww
俺,そんなことないっすよwww元気っすwww
先生,いいから吐き出してみろwww聞くぞwww
俺,先生www俺泣いちゃうwww
クラスメート,あいつまた指導室呼ばれてるwwwやべえwww
俺,ちょwww
女の先輩,ねぇねぇwww
俺,なんすか？www
先輩,好きです付き合ってください。
俺,ちょwww人生初の彼女wwwモテ期来たwww。ウェーイwww
先輩,俺君いつもそんなで疲れないの？www
俺,家大変なんすよwww学校でこんな感じじゃないと死にそうっすwww
先輩,。家族の仲悪いの？www
俺,親父入院してんすよwwwもう1年以上声聞いてないwww
先輩,。ごめん思ってたより重いから別れてwww
俺,2ヶ月で振られたwwwやっぱ家のこと隠しとこwww。今日は練習試合やwwwレギュラーやしがんばろwww。キエエエエエwwwwメーンwwwコテーwww。勝ったでwww
他校女の先輩,ねぇねぇwww
俺,はい？www
先輩,メアド教えてwww
俺,うはwwwモテ期来たwwwいいっすよwww
先輩,デート行こうよwww
俺,いいっすよwww
先輩,お待たせwww
俺,私服くそかわいいwww身長低いwwwおぱいでかいwwwやべえwww。楽しかったっすwwwまたいきましょうwww
先輩,好きです付き合ってください
俺,うはwww俺年上キラーwww。家呼ばれたwww今日は卒業式www。ふぅ。
先輩,俺君病気なの？www
俺,え？wwwなんでwww
先輩,この前病院入ってくの見たわwww
俺,。父ちゃん大変なんすよwww
先輩,「
俺,重いっすよねwww別れますか？www
先輩,大変だったね。あたしでよかったら支えるよ？
俺,なんだこの人天使かよwww。彼女良い人過ぎてやばいｗｗｗ
先生,最近話しに来ないやんｗｗｗ
俺,寂しがんなよｗｗｗいま幸せやねんｗｗｗ。彼女に電話しよｗｗｗ。繋がんねえｗｗｗ受験生だし忙しいんやなｗｗｗ
先輩,ごめん塾だったｗｗｗ
俺,お疲れｗｗｗ勉強ガンバｗｗｗ。テスト近いし俺も勉強しよｗｗｗ。メールかえって来ねえｗｗｗどうしたｗｗｗ
先輩,別れよ。
俺,
先輩,受験で忙しいし、たぶん俺君のことちゃんとささえられない。ごめんね。
俺,まじかｗｗｗ勉強がんばれよｗｗｗ
友人田中,お前の彼女に男ができたぞｗｗｗ
俺,。浮気されてたｗｗｗ信じてたのにｗｗｗ女の子怖いおｗｗｗ怖いお。
先生,どうしたｗｗｗ
俺,先生ｗｗｗ助けてｗｗｗ。父ちゃん元気にならないおｗｗｗはよ起きろやｗｗｗ
医者,後遺症が残ります。以前のように喋れるかはわかりません
俺,。きっと幸せになっちゃいけない人生なんだｗｗｗ神様厳しすぎｗｗｗ死にたいｗｗｗ。でも剣道楽しいからまだがんばって生きたいｗｗｗ剣道ラブｗｗｗ。ちょｗｗｗ地震ｗｗｗまじかｗｗｗ死ぬわｗｗｗ。死ねなかったｗｗｗ殺してくれよ神様ｗｗｗ。電車全部止まってるｗｗｗ帰れねえｗｗｗ高校戻ろｗｗｗ
田中,生きてたのかよｗｗｗ
俺,うるせえｗｗｗ
クラスメート女子,俺君生きてたｗｗｗよかったｗｗｗ
俺,うはｗｗｗ心配されてたｗｗｗうれしいｗｗｗ
女子,俺君いなかったから静かだったよｗｗｗ
俺,俺の影響力ありすぎｗｗｗ
母ちゃん,生きてる？ｗｗｗ
俺,生きてるｗｗｗ
母ちゃん,ｗｗｗ
俺,父ちゃんは？ｗｗｗ
母ちゃん,生きてるｗｗｗ
