ヌメルゴン,いやいやいや、せんぱいじゃ数値足りてないですし
ヌメ,何よりミミッキュ残ってるからドラゴンタイプのデメリット扱いは変わりませんってば
フリャ,お前も内定貰った癖に何でドラゴンdisってるんだよ！？
ヌメ,現実見ましょうよせかんぱい……ドラゴン全盛期の第五世代は戻ってこないんです
フリャ,諦めるなよ！もっと熱くなれよ！WearetheWarriors!
ヌメ,thatbuiltthistown♪……って復権はImagineDragonsってことですか？
フリャ,え、何それで上手いこと言ったつもりなの？
ヌメ,せんぱいからの振りでしたよね！？梯子外し止めてもらえませんか！！！
ボーマンダ,おっ、内定組じゃん楽しんでるか？
フリャ,応よ！テメェもガブも居ない世界で俺はドラゴンの王になる！！
ヌメ,とりあえずボクがいる時点で無理ですね
フリャ,何上から目線なんだテメェ？600族の面汚しがッ
ヌメ,600族ですらないせんぱいには言われたくありませーん。あと環境が悪かっただけで使用率上位禁止スペシャルルールとかでは種族値の暴力を遺憾なく発揮してましたからね？
フリャ,おいヌメの癖に生意気だぞ、先輩への敬意はどうした！？
マンダ,流石我らがフリャ、パワハラジャイアニズムムーブを自然に決めていくぅ！！！
ガブリアス,まあ、いつものことだし……
フリャ,おいおいおい、カレーに負けた無い内定組が揃ってどうしたんだい？HAHAHA!!!
ヌメ,言いたい放題ですねせんぱい！その面の皮の厚さだけは尊敬します！！
フリャ,やーいｗｗｗｗｗお前の内定カレー煮込みーｗｗｗｗｗｗｗｗｗｗｗ
マンダ,誰が豚煮込みだー！？俺だあああああああああああ！！！
ガブ,自分から言っていくのか……
マンダ,世の中のボーマンダはデブキャラをもっと自覚して推していくべきだと思うんだ
ヌメ,それ誰が得するんですか……？
マンダ,折角だし俺たちもカレー作ろうぜカレー
フリャ,えー、あと一週間で嫌ほど食わされる予定だし拒否したいんだけど
マンダ,カレー食わせてもらえない奴のことも考えてくれねえかな？
ガブ,それならちょうど持て余してるスパイスが大量にあるから作るか？
フリャ,どう作っても旨いボンカレーでいいだろ、てか何でスパイス大量にあるんだよ
ガブ,昔、サグカレーをどうしても作りたくなったことがあってな……。折角だから今度はムグライカレーを作ってみたいんだが
フリャ,インドに帰れ
ガブ,あ、アウトドアで作るならWeberのチャコールグリルにダッチオーブンもあるぞ！
フリャ,アメリカに帰れ
