ブザー,ブー！ブー！！
ボス,お前見てこい
ビルメン俺,えぇ……。モノポリーしましょうよ！
同僚たち,いぇ～い！！
ボス,俺と後輩行ってこい
俺,えぇ……
ビルメン俺,６時間仮眠…ふみゅ……
ボス,起きろ
ビルメン俺,ふえ？
ボス,２時間寝坊だろ！！ふざけんなよ！！
ビルメン俺,え？なんで誰も起こしてくれなかったの？
ボス,……
俺,。ここの階段からスカートの中たくさん見れるんだよな。。今日は誰も通らないのか……
先輩ビルメン,俺大手の系列に受かったから辞めるわ
ビルメン俺,そうなんすか…今までありがとうございました
先輩ビルメン,…ただいま
ビルメン俺,……おかえり。さ～て、明けだし何しようかなっと。ボドゲショップ行ってパ銭行って寝るか！！。あれ？お金が思った以上にない……。なぁなぁ、第二営業の篠井さん可愛くね？
ビルメン先輩,あぁ～あの子、同じ第二営業の久保田とできてるよ
ビルメン俺,なんだよ～ふざけんなよ～～
ビルメン先輩,あ、製造部の対馬さん達と遊びに行くけどお前もくる？結構緩いよ
ビルメン俺,マジっすか！？あっざーす！。あ～ボスがいねぇ日はダラダラしちゃうな
ビルメン後輩,そっすね～あ、俺寝てもいいっすか
ビルメン俺,いいよぉ～オタくんも寝よ、どうせなんも起きねぇよ
オタ,うっす
ビルメン俺,ん？なんか鳴ってる？ま、いっか…ねみぃし。こんな仕事でいいのかね……
新卒,今日からお世話になります！よろしくお願いします！！
ビルメン俺,よろぉ～
新卒,あの…俺辞めます…
ビルメン俺,どうして！？（一緒にボドゲ楽しんだし、ソシャゲもした、仮眠も多くさせてあげた、パンチラスポットも教えてあげたのに！！）
新卒,やりがいが…ないんで……
ビルメン俺,相変わらず退屈っすね～
ビルメン先輩,なぁ
製造部女,差し入れで～す！
製造部女Ｂ,私たち明日休みなんでいていいですか？
ビルメン先輩,あ、いい……
忘れ物取りにきたボス,言い分けねぇだろ！すいません…ここは関係者以外立ち入り禁止なんで
ビルメン俺,……。系列店って大変なんすか？福利厚生いいじゃないっすか
ビルメン先輩,いやいいんだけどさ……もう軍隊みたいで……待機時間なんて日誌書いたりマニュアル読めでさ…会話も許されないんだぜ
ビルメン俺,えぇ……
？,お疲れ様
ビルメン俺,お疲れです
ビルメン後輩,お疲れーっす！
ボス,馬鹿！社長になんて態度だ！！
ビルメン俺,えぇ！？社長っすか！？
ビルメン後輩,いつの間に変わったんすか！？
ボス,お前ら失礼だろ！！いい加減にしろ！！
ビルメン先輩,ねぇねぇ、今度俺達４連休だからさ一緒にツーリング行かない？
製造部女,おっけ～！
ビルメン俺,どこ行きます？秩父っすか？日光っすか……
ボス,おい、俺！お前明日出ろ！オタの家が法事らしい
ビルメン俺,。給料か……。今月も２０万ちょいか…ここから全然上がんねぇな……。ボーナスも３０ちょいだし……はぁ……
前職俺,誠にごめんなさい！！
前職上司,お前、いい加減にしろよ！！本当にダメな奴だな！！
ビルメン俺,っは！夢……
ボス,お前、寝坊だっつてんだろ！！
ビルメン俺,すいません…じゃあ今度ボスさん起こしてください……
ボス,……お前が自発的に起きろ…子供じゃねぇんだから
ビルメン俺,あ～配線逝ってんなぁ…面倒くせ……。すんません、ちょっと時間かかるかもしれませんね…ここの机の人って……
クソ眼鏡,ｯﾁ、早くしてくださいよ！！次の取引先行かなきゃいけないんですから！！
ビルメン俺,はぁ？その眼鏡かち割ろうか？クソ眼鏡！別に早く行こうが行かねぇがお前みたいに性格破綻してる奴は上手くいかねぇよ、カス！。あ～はは…すいませ～ん…すぐ終わらすんで…本当にすいません……。蛍光灯ぐらい自分らで変えて欲しいわ
営業部長,え～、今日は特に取り立てた仕事もないので飲み会をします！
新入社員,
ビルメン俺,あいつ露骨に行きたくねぇ顔してんなぁ……
営業部長,今日は製造部の人たちと合同です！！
ビルメン俺,え？製造部女さんたちと約束してたのに……。たっだいま～
ビルメン後輩,あ、おかえりっす！先輩マス掻いてたんすか？
ビルメン俺,ばっ！してねぇよ！！
ビルメン後輩,そうっすか？こんなトイレ長いなんて
ビルメン俺,…ちょっと空調室行っただけだよ！
ボス,おい！３階女子トイレの水が漏れてるらしい！！
ビルメン先輩,え～女子トイレとか俺嫌っすよ…俺っち～
ビルメン俺,俺も嫌っすよ～オタ
オタ,
ビルメン先輩,しゃーない、じゃんけんしましょ、最初はグー！
ビルメン俺,……行ってきます。失礼しま～す！。よし……緩んでるだけかな…一応パッキンも変えとくか……
製造部女C,あれ～？俺さん、監視カメラとか設置してるの？
ビルメン俺,し、してませんから！！それより、入っちゃダメって看板あったでしょ！？
製造部女C,いやぁ～俺さんが入ってるの見えたからつい……でどうなんですか？
周り,ﾋｿﾋｿ
ビルメン俺,こういう風当たりが辛いんだよな…女子トイレ
営業部長,いい加減にしろよ！
新入社員,すいません！！
ビルメン俺,
前職俺,誠にごめんなさい！！
前職上司,お前もう辞めろよ
前職俺,す、すいません！！もうミスはしません！！
ビルメン先輩,警備ボタン押してなかったぞ
ビルメン俺,あ…すんません……
ビルメン先輩,貸し１な
ビルメン俺,あ～今日も疲れた。朝日が眩しいな……こういう日はちょっと散歩でもするか！！
