魔族兵B,い、今“魔王”様って言ったのか？
魔族兵E,あの子供が“魔王”様なのか？
魔族兵A,魔伯爵様が跪くなんて
魔族兵C,“魔王”様から魔力感じないぞ
魔族兵F,勇者に捕まってしまうほど弱いのか？
魔族兵L,おい、聞こえるぞ
魔族兵達,あんなのが“魔王”？？
魔王,……兵士達にボクの素性がバレてしまった……
魔伯爵,魔王サマ、よくぞご無事で
魔王,魔伯爵さん、ありがとう……。魔伯爵さんは……人間界で魔王軍の総指揮官。すごい優秀な側近って女側近さんが言ってたっけ
魔伯爵,我のことは女側近から聞いていマスよね？
魔王,……。う、うん。とても優秀って
魔伯爵,クククッ……側近として最も優秀なのは彼女デスよ
魔王,女側近さん達は……
魔伯爵,彼女達は無事デスよ、ご心配には及びません。飛空船が落とされた後、女側近は魔王サマを探していましたが先に見つけたのが勇者だった。そのまま魔王サマだけ隠れ里に連れて来られたわけデス。女側近から連絡を受けた我々は、飛空戦艦で魔王サマの救出に向かったのデスよ
魔王,ボク以外は誰も捕まってなかったんだ
魔伯爵,彼女達は別部隊が回収し、“最果ての町”で待機していマス
魔王,よかったぁ～……
魔伯爵,ククク……彼女はそうそうやられませんよ
魔王,彼女のことよく知ってるんだね……あ！。あああああああ！！！！
魔伯爵,？
魔王,そそそそ……そういえば女側近さんの恋人って、魔伯爵さんじゃ……。あの……魔伯爵さんは女側近さんと……ど、どういう関係？？
魔伯爵,？同じ側近デスが？
魔王,いや、ぷらいべーとなんだけど……
魔伯爵,ああ……同じ一族で幼馴染デスよ。少しだけ我の方が年上ですが、昔からバトルだけは彼女に一度も勝てませんでしたね。ククク……魔王サマにまで、そんな噂が耳に入るんデスね。噂では恋人でしたっけ？そういうものではないデスよ
魔王,なんか噂では。え？！
魔伯爵,我々側近の一族は幼い頃から側近になるべく自由はありません。それは恋愛も同じデス。つまり、子孫を残す為生まれた時から番が決められているのデス
魔王,番＜つがい＞？
魔伯爵,女側近は我の許嫁デスよ
魔王,えーーーー！！！
魔伯爵,まぁ幼い頃から兄妹のように生きてきましたので、彼女のことは何でもわかりマス
魔王,…………恋人なんて緩いもんじゃないじゃんかぁぁ……
魔伯爵,あ、仕事に支障はきたしません。お気になさらずに
魔王,気にするでしょーーー！
魔伯爵,今飛空戦艦は女側近のいる“最果ての町”へ向かっていマス
魔王,はぃ……。よく生きてたな自分……。みんな大丈夫かな？。少年勇者はどうなったんだろう？。お腹減ったな……メイドもいないし、食事どうすればいいんだろう。この戦艦は同じ魔王軍なのに、なんか冥都と雰囲気が違う。兵士達も目つきが鋭いし、鎧や武器、戦艦内部も傷だらけ。人間界の戦場で実際に戦ってる船なんだ……。食事くらい自分でなんとかしないと。食堂探そう……。あったーーー！食堂っ！この船広すぎっ
兵士1,……｣ｼﾞﾛ……
兵士2,……へっ｣ﾆﾔ
兵士4,zzz……
兵士3,……
魔王,な、なんか怖い兵士ばっかり……。あ、あの食事いただけますか？
食堂係,……
魔王,あ、ありがとうございます
食堂係,金……取っちゃいけないんでしょうね。王様から
魔王,すみません、後で払います」（女側近さんが……。……うぅ……なんかアウェイ過ぎる。ど、どうしたんですか？
兵士,……なんか、捕らえていた勇者を殺そうとした奴がいたみたいっスよ
魔王,えーーーー！？。魔伯爵さん！
魔伯爵,魔王サマ……
魔王,少年勇者は？！大丈夫なの？
魔伯爵,なんとか一命を取り留めましたよ。今魔法で治療してマス
少年勇者,はぁ……はぁ……クソォッ
魔王,なんで？？逃げ出そうとしたの？
魔伯爵,いや。ただ殺したかったんでしょう
魔王,えーーーー！？。そんな……どうかしてる
魔伯爵,魔王サマ、やはり少年勇者は殺した方がいいデス
魔王,ダメなんだ、彼がいないと……
魔伯爵,聖剣は勇者しか触れることが出来ない。聖剣と魔剣で、ゲートを閉じて戦争を終わらせる。そういうことデスか？
魔王,う、うん。そうだよ
魔伯爵,聖剣と魔剣を手に入れても、簡単にゲートは閉じられませんよ
魔王,？
魔伯爵,すでに人間界には人間から勝ち取った魔族の領土がありマス、多くの住民や兵士が生活している。彼らはどうするんデスか？
魔王,……
魔伯爵,全員を魔界へ連れて帰る？そんな大掛かりなこと、この戦争状態で出来るわけがない
魔王,……
魔伯爵,勇者を殺そうとした兵士は殺されました
魔王,え！
魔伯爵,我らは聖剣に触れることが出来ないので、勇者から取り上げることが出来ません。そんな勇者を生きたまま乗せているなど、爆発しそうな爆弾を乗せているようなものデス。この船には人間に恨みを持つ者ばかり、また殺そうとする兵士が現れても不思議じゃありませんよ。今からでも遅くはない。勇者を殺しましょう
魔王,……。……ダメだよ……。恨み辛みで戦争続けてたら、何も良くならない。兵士達の気持ちも分かる……でも、ボクの考えも分かってほしい。でも、このまま命令したら、きっとわかってもらえない。よし。魔伯爵さん、この戦艦の兵士達を甲板に集めてもらえる？ボクの気持ちを聞いてもらいたいんだ
魔伯爵,皆の者！魔王サマよりお言葉を頂くっ！静粛にっ。魔王サマ、どうぞ
魔王,うん。ボクの想いは、みんなを裏切るかもしれない。でも。分かってもらうには言わなきゃならない。気持ちを動かすのは“誠意”だ。ハッタリじゃない。みんな！。ボクが…………“魔王”だ！。父が亡くなって、王位を継承した。報告が遅くなってしまってしまい申し訳ない。ボクみたいな子供が“魔王”で落胆しているでしょう。父はとても強かったと聞く。この魔界の思想“弱肉強食”にふさわしい強さ。圧倒的なカリスマ性と統率力。そんな父に比べると……ボクは“魔王”としての素質がない。魔法が使えないし、チカラもない。ボクは戦うチカラがない。ボクは……冥都の下位、それも最下層出身なんだ。魔法が使えなかったから、基本労働にも参加出来ず図書館の整理の仕事をしていた。それも役に立てず、罵倒される毎日。そんな時、父が死んで突然貴方は魔王ですと言われたんだ。戸惑いもあったけど、魔王になれば金や地位が手に入るって思った。つまりボクは。私利私欲で“魔王”になったんだ。それが真実で、ボクは隠しも誤魔化しもしない。みんなに信じてほしいから。実際に“魔王”になって、色んなものを見た。魔界の環境。冥都の格差。人間の脅威。それらを実際に目の当たりにして……ボクは“魔王”としてやらなければならないことを知った。戦いのない平和な魔界。戦えないボクだからこそ……行き着いた結論だ。戦争を終わらせる為……。人間と和平を結ぶッ！
魔族兵,仲間達の仇はどうなるんだ？！。もう戦わなくていいのか……？。和平など……ありえん。家族の元へ帰れるのか！。そんなの不可能だ
魔王,戦ってないボクの言葉は戯言に聞こえるかもしれない。でも。みんな好きで戦っているの？！。戦わない未来があるなら、そっちへ行きたくないの？！。人間を恨む気持ちがあるのは分かるよ……でも！殺された仲間達は残された者達の幸せを願ってるはずっ！。みんな！未熟なボクにチカラを貸してくれ……
少年勇者,和平交渉？
