おまえら１,いったいどういうことだ……！？
おまえら２,俺みたいな目立たなかった奴がどうして…………？
学園長,ふぉっふぉっふぉ……さすが俺じゃな
俺,あ、おじいちゃん、なんか無詠唱で魔法使ったら驚かれたんですよ
おまえら,俺…………学園長と知り合いなのか！？
俺,え、このおじいちゃん、なんかすごい人なの？
おまえら,……
学園長,ふぉっふぉっふぉ……気にするでない。俺の魔法が余り一般でなくて皆驚いただけじゃよ
俺,そっかぁ…………。俺に魔法を教えてくれた人は普通に無詠唱だったから気づかなかったよ
学園長,しかし俺よ、一体どこでそれほどの魔術を身につけたのか、指導者を教えてくれないかのう？
俺,森に居た人に習ったんだよ。なんか耳がやけに尖ってて長かったなぁ
学園長,なんじゃと！？それってエルフと呼ばれる種族じゃぞ！？
俺,え？人間じゃなかったの？
神官,失礼、本日訪問を予定しておる大神官の一行だが、今しがた到着した
学園長,おお！驚きのあまり大神官が来られるのを忘れておったわい
大神官,失礼しますよ
俺,……あれ？護衛の方、大怪我をされているではありませんか！？
護衛,はぁはぁ…………お構いなく…………
神官,実はここへ来る途中に襲われてな……回復魔法で応急処置はしたが、思ったより傷が深くてな。休ませて貰えればありがたい
俺,そんな事より超回復魔法を使えば早いじゃないですか！
護衛,傷が癒えていく……！？
大神官,なんと！！あの傷を一瞬で！？
俺,え？ただの超回復魔法なんだけど……？。なんか色々と驚かせちゃったみたいで悪いことしちゃったなぁ…………
大神官,よもやこのような僻地に斯様な使い手がいるとは……
神官,大神官様、驚きのところすみませんが、お祈りの時間です
大神官,もうそのような時刻か……
俺,お祈り！？汚名返上のチャンス！。あの、ちょっとすいません、お祈りのお手伝いをしたいのですがよろしいでしょうか！？
大神官様,ふむ……あなたほどの使い手となると信仰心も人一倍でしょうが、手伝いできる事などありませんよ
俺,ちょっとまっててください……
学園長,魔法陣から何かが出てくる……！？これはもしや…………失われた伝説の魔法、召喚魔法かっ！？
俺,え？召喚魔法って珍しいの？
大神官,学園長、召喚魔法とは？
学園長,うむ……伝承に残されているだけでワシもほとんど知らないのじゃが、何処から契約したモンスターなどを呼び寄せるとか…………
大神官,モンスター、ですか…………。召喚魔法とはすごい魔法なのでしょうが、モンスターを呼び出されてもお祈りとは関係ありませんね
俺,もうちょっと待っていてくださいね――
大神官,失礼ですが、あなたがどのような存在を呼びだそうともお祈りとは……………………え！？
女神,俺よ、久しぶりですね
俺,あ、女神さん、なんかこの人が女神さんにお祈りしたいって
大神官,女神様！？あなた、女神様と知り合いなのか！？
俺,え？いつもお祈りしてるみたいだけど、知り合いじゃないの？
大神官,アーメンインシャラー南無阿弥陀仏
俺,あれ？大神官さん、なんかおかしくなっちゃったよ
女神,俺よ、やはり私が来たことで驚かせてしまったのではないか？
俺,そんなことで驚いてたら、女神さん、人間と話すことできないじゃん
女神,それは仕方のないこと…………
俺,女神さん、寂しそう……よしっ！。ちょっと待っててね
女神,物質が……空間が…………生まれていくっ！！！！？？？俺よ！！一体何をしている！！！！！？？？？？？？
俺,え？女神さんが気軽に行ける世界を創造してるだけだけど、何か珍しいことあるの？
女神,沢山の新しい命が…………うまれているっ！！！本当に新しい世界ができたのだな…………
俺,へへ、これで女神さんも寂しくないでしょ
女神,俺よ…………これは私の為を思ってしてくれたことだが、許されることでは無いぞ
俺,え！？もしかして俺、やっちゃった！？
女神,俺よ……今そなたがしたことは、創造神の許可無くばしてはいけないことだ…………
俺,どうしよう…………創造神ってのに謝らないと…………
女神,謝ろうにも創造神はこの世界をお作りになり、すでにこの世には存在していない
俺,創世前までさかのぼったところにいるんだね
女神,！！！！！！？？？？？？時が、空間が！！！！遡っていく！！！！！！？？？？？？？
俺,え？ただの時空遡上だけど、何か変だった？
女神,何もない……空間や……時すらも…………本当に事象の始点に到達したのだな…………
創造神,ここにくるとは、何者か
俺,あ、あなたが創造神ですね。ごめんなさい、実は俺、勝手に世界を作ってしまったんです
創造神,世界を創造するのに私に許可を求める必要はない
俺,あーよかった
創造神,しかし、ここへ来てよかったのか？ここから未来はすべて不確定なのだが……
女神,まさか！？私達は元の事象に戻れない！？
創造神,そうだ、無限の可能性の中から元の事象へたどり着く可能性は絶対にない
俺,そ―いっ
創造神,！！！！！？？？？？？今何をしたっ！！！！！無限の可能性が一瞬で消えてしまったぞっ！！！！！！？？？？？？？
俺,えっ？因果律を操作しただけだけど…………
女神,ふふ…………無事に帰れたので良かったものの、あの時は焦りましたね…………しかしあれから１００年ですか…………。あれほどの者を見ることは叶わないでしょうが、人の子等を覗いてみましょう……
子供１,あははは――――！！！」
子供２,まって―――――！！！！
女神,ふふふ……何時の時代でも、子供達は無垢ですね
子供２,じゃあ追いつく世界を創造しよう！！
子供１,僕は過去へ戻して追いつかない未来へ因果律を固定するぞ！
女神,！！！！！？？？？？
天国の俺,帰った後、みんなに色々教えただけなんだけど……
