怪物,ガアアッ！
勇者,ぐあっ……！
戦士,勇者、ステーキだ！
勇者,ありがとう！。よし、回復！
土人形,ウガアッ！
戦士,くっ、俺にもなんかくれ！
女魔法使い,カレーライスよ！
戦士,よっしゃ！。辛っ！水ないか！？
女魔法使い,ないわ、我慢して！
戦士,まぁいいや、おかげで回復できた！
女魔法使い,ああ……魔力切れ、どうしよう！。魔力回復にはジュースがいいのよね～。さあ、覚悟なさい！
女僧侶,くっ、私も傷を……！。大した傷ではないので、お菓子で……
勇者,いけるか！？
女僧侶,ふう、もう大丈夫です！
勇者,うーん……
戦士,どうした、勇者？
勇者,この市販の回復薬、イマイチ頼りないんだよな
戦士,たしかに……これからの戦いで使うには心もとない性能だよな
女魔法使い,薬草も今の戦いじゃ焼け石に水って感じだわ
女僧侶,でしたら、私が回復魔法を唱えれば……
勇者,いや、僧侶には回復魔法を唱える暇があったら、補助魔法をバンバンかけて欲しい。これからますます戦いは厳しくなるだろうし……
戦士,できれば単純な体力回復は、魔法じゃなくアイテムで済ませたいよな
勇者,俺、ふと思ったんだけど
戦士,なんだ？
勇者,もしかして、下手な薬より、食べ物の方が回復アイテムとして優秀じゃないか？
戦士,たしかに……！
女魔法使い,こないだケーキ食べたら、傷がたちまち回復したわ
女僧侶,魔力は飲み物で回復できたりしますしね
勇者,……。よし決まりだ！これから俺たちは、回復には食べ物や飲み物を使うことにする！
戦士,ぐああっ……！
勇者,戦士！
戦士,自分で回復する！なんか食い物くれ！
勇者,えぇと……食べ物はラーメンしかない
戦士,マジ？
勇者,マジ
戦士,ふぅ～、ふぅ～、あちっ、あちっ！――く、食えねえ！
勇者,早く食え！魔物が襲ってくるぞ！
魔物,グオオオオオオオッ！
女僧侶,どうぞ、リンゴジュースです。全快の半分ぐらい魔力回復できるはずです
女魔法使い,……ありがと。あー……もうお腹チャプチャプだわ
女僧侶,前の街で、リンゴジュースばかり買い溜めしたのは失敗でしたね……
女魔法使い,いくら性能がいいといってもね……今日これで20杯目だもの
勇者,うっ……
戦士,どうした、勇者？
勇者,食べながら動きまくったから、吐き気が……
戦士,わっ、あっちの茂み行ってこい！
大カマキリ,キシャアアアアアッ！。シャッ！
勇者,よっ
大カマキリ,シャッ！
勇者,ほっ。よし、回復！一刀両断ッ！
大カマキリ,ギャアッ……！
戦士,骨付き肉食って回復だ！
巨大植物,グオオオオオッ！
戦士,……ん、この肉
女魔法使い,どうしたの？
戦士,焼き加減がイマイチだな……ちょっと火で焼いてくれねえか？
女魔法使い,分かったわ！
戦士,サンキュー！
女魔法使い,ついでにこいつも燃やしとこっと
巨大植物,ギエエ……！
女魔法使い,ふぅ、ふぅ、ふぅ……全魔力使っちゃったわ
女僧侶,私もです……
勇者,じゃあ二人とも、いっぱい飲み物あるから飲んで回復してくれ
女魔法使い,はーい！
女僧侶,いただきます！
勇者,……む、このラーメン
女僧侶,どうしました、勇者さん？
勇者,固さが足りないから、防御力を上げてくれない？
女僧侶,分かりました！
勇者,お、いい固さになった！
中級悪魔,戦闘中にメシ食ってんじゃねえ！
勇者,戦闘中じゃない、食事中だ！
中級悪魔,ぐわああっ……！
勇者,……お前たちは！
炎魔人,勇者ども、焼き尽くしてくれる！
風魔人,フッ……我が風の前に踊り狂うがいい
水魔人,ホッホッホ、あなた方は水の底に沈めてあげましょう
土魔人,……埋めてやる
炎魔人,ゆくぞォ！。地獄の火炎を受けてみよ！
勇者,こ、この炎はッ！
炎魔人,フハハハ、焼かれるがいい！
勇者,肉焼くのにちょうどいい！
戦士,ウェルダンのステーキを楽しめるぜ！
炎魔人,なんだとォ！？
風魔人,風よ……奴らを切り刻め！
女魔法使い,おかげでキャベツの千切りが楽にできたわ。ありがと
風魔人,ええっ！？
女僧侶,さあ、トンカツに添えて食事にしましょう！
勇者＆戦士,はーいっ！
風魔人,こんなはずじゃ……
水魔人,ええい、まとめて水で呑み込んであげましょう！。終わりましたね……あっけない。む！？
勇者,流しそうめんうめえ！
戦士,自分が流れる流しそうめんなんて斬新だな！
女魔法使い,さっぱりしておいしい～！
女僧侶,いくらでも食べられますね！
水魔人,渦の中で……そうめん食ってる……
土魔人,……隆起せよ
勇者,……ん！土の中にイモがあるぞ！食べよう！
女魔法使い,私が焼くわ！
女僧侶,防御力低下させて柔らかくします！
戦士,いただきまーす！
土魔人,……どうして
炎魔人,ダ、ダメだ……！
風魔人,いくら攻撃しても、食事に利用され……
水魔人,しかも回復されて、しまう……
土魔人,ま、参った……
勇者,激しい戦いだった……
戦士,だが、満腹にはなったな
女魔法使い,残る敵はいよいよ魔王だけね
女僧侶,いきましょう、魔王城に！
魔王,よくぞここまで来た……勇者ども。さあ、来るがいい！地獄の底に叩き落としてくれようぞ！
勇者,みんな、準備はいいか？。ナイフとフォークは一番外側のから取っていくんだ。食事しながら、優雅に魔王を倒そうじゃないか
戦士,おう！
女魔法使い,ええ！
女僧侶,はい！
魔王,……！。おのれ……舐めるなぁっ！！！。喰らえい！暗黒の雷！！！
勇者,む、このソテーは美味だな
戦士,ムニエルもいけるぜ！
女魔法使い,スープもほんのり甘くておいしいわ
女僧侶,このサラダもとっても新鮮です！
魔王,な……なんだとォ！？紙一重でかわしている！。我が拳を受けよッ！！！
勇者,……ッ！。うん、うまい
戦士,この水うめえ！
女僧侶,ダメですよ、それは指を洗うための水です！
戦士,あ、そうなの？
魔王,くっ……！。こいつら……本当に戦いながらフルコースを楽しんでおる！
勇者,ふぅ、食った食った。さて、そろそろ……腹ごなしといきますか
三人,おう！！！
魔王,えっ……！？
勇者,いくぞ、魔王ッ！
女僧侶,皆さんの能力を最大限上昇させます！
女魔法使い,全魔力を叩き込むわッ！
戦士,フルパワー斬りィィィッ！
勇者,うおおおおおおおおおおおおっ！一刀百断ッ！
魔王,ぐはぁぁぁぁぁっ！！！。こんな……バカ、な……
勇者,朝飯前……いや、夕飯後だったな
王,よくやってくれた、勇者よ。貴公の名は永遠に残るだろう。今夜は王国の最高級料理の数々を用意した。ぜひ仲間たちと共に楽しんでくれたまえ
勇者,喜んでいただきます！。うん、うまい
戦士,うめえぜ……うますぎて、つい暴れたくなっちまう
女魔法使い,おいしすぎて……魔力が暴発しそう
女僧侶,ダメですよ、皆さん……戦いはもう終わったんですから……
王,……！。あの……なんでみんなそんなに殺気立ってるの？
勇者,すいません、俺たち食事をする時はだいたい命のやり取りをしてたもので、つい……
王,いったいどんな冒険してきたんだ……！？
