ギルドの偉い人,つうわけでゴア・マガラ倒してきてね
城島,ゴア・マガラ…？
山口,ゴア・マガラか…噂だけなら聞いたことあるけど、リーダー何か知らない？
城島,いや、聞きたいのはわしの方なんだけど。一体何があったんや？
松岡,リーダー今日なんかおかしいよ？
城島,わし、どうかしたのかなぁ…
長瀬,リーダー！
城島,な、なんや長瀬！びっくりするやろ
長瀬,ゴア・マガラってなんなんっすかね？
城島,わしが聞きたいよ！
松岡,とりあえず、バルバレに行ってみようよ
山口,そうだな。あそこなら何情報が得られるかもしれない
城島,バル…バレ…？今日は海外ロケなんか？
国分,ニャー
山口,…リーダー！
城島,なんや山口
山口,あ、あれ見て！ダレン・モーランが！！
城島,でっかい鯨やなぁ。でも砂漠に鯨ておかしない？
山口,呑気なこと言ってる場合じゃないよ！
松岡,このままじゃバルバレに衝突してしちゃうね。早く助けにいかないと
長瀬,ちょ、ちょっと待って！あれ見て！ハンターが一人で応戦してるよ！スゲー！！！
城島,ほー、なんか知らんがすごいなー…って、昭雄さん！？
国分,ニャ、ニャー
AKIO,なんじゃ、山の亥より弱い
長瀬,スゲー！！パンツ一枚なのにダレン・モーランやっつけちゃったよ！！
山口,凄いな、あのハンター…相当年をめしてるように見えるが
長瀬,人は見掛けによらないね
城島,いや、あれ昭雄さんやん？。……。今日って出張DASH村だったっけ？砂漠の野菜ってなんやろな。楽しみやなあ
山口,なんやかんや
団長,なるほどなるほど
長瀬,リーダー！！
城島,なんや長瀬！びっくりするやろ！
長瀬,あの子、ちょーかわいくないっすか？
城島,確かに可憐な子やなー
長瀬,ちょっと俺、声掛けてきます！！
城島,お、おい。まったく、何がなんやら…
松岡,リーダー
城島,うわっ…なんや、松岡か。一体何が起きてるんや？
松岡,何って、これが俺たちの仕事だよ？
城島,出張DASH村やないんか？
松岡,何言ってるんですかリーダー。俺たちの任務はゴア・マガラを倒すことでしょ
城島,その、ゴア・マガラってなんなんや？
松岡,モンスターですよ！しっかりしてリーダー！
城島,モ、モンスターやて！？
松岡,はぁ……リーダー、よく筆頭ハンターになれましたよね
城島,な、なんやろ。凄く突き刺さる言葉やわあ
松岡,よし、ちょっとモンスターでも狩りに行きましょう
城島,狩り？イノシシでも狩るんか？
松岡,この辺にブルファンゴはいないよ。そうだね、リオレイアでも行こう
城島,リオレイア？ようわからんけど、それモンスターいうやつやろ？大丈夫なんか…？
松岡,リーダーの双剣なら朝飯前でしょ？
城島,双…剣…？
松岡,背中のそれだよ。やっぱおかしいよリーダー
城島,な、なんやこれー！？。綺麗なとこやなー。風が気持ちええわ
松岡,余裕っすねリーダー。その調子なら大丈夫みたいだね
城島,なんかやれそうな気がしてきたわ
松岡,よっと
城島,何飲んだんや？
松岡,千里眼の薬ですよ。リーダーが初めての地に来たら、飲めって言ってじゃない
城島,ウコンの力なら飲むけど…それ飲んだらどうなるんや？
松岡,モンスターの居場所がわかるですよ
城島,便利やな。北登が逃げ出した時に使えるな
松岡,ほら、そろそろ行きましょう。薬の効果が切れちゃいます
城島,そ、そうやな
松岡,よっと
城島,ま、松岡！そんな所から飛び降りて大丈夫なんか！？
松岡,何言ってるんすかリーダー！ハンターならこれぐらい出来て当然でしょ！
城島,そ、そうなんか…？回り道しよっと…
松岡,あ、リオレイア、もう近くにいるみたいですよ！気をつけて！
城島,リオレイア…どんなやつなんやろな。名前だけ聞くとかわいらしい印象を受けるんやけど
松岡,…！！リーダー！上、上！！
城島,な、なんや？
リオレイア,ガオー
城島,う、うっわ！なんやこれ！！
松岡,だ、大丈夫！？リーダー！！
城島,なんなんやあれ…ん、ここはどこや？
松岡,ベースキャンプですよ。リーダー、いくらなんでも腕が落ちすぎじゃない？
城島,腕言われてもなあ…
松岡,ん～…リーダーは肉でも焼いてて下さい。俺が倒してきますよ
