以前飛行機のスレ建てた時に,SS形式で紹介してくれ
(*^◯^*),パパ！飛行機操縦させてクレメンス！
彡(ﾟ)(ﾟ),ええで、座ってどうぞ
(*^◯^*),わーいたのしー！（隠しコマンド入力
飛行機,自動操縦切るんごｗｗｗｗ
彡(ﾟ)(ﾟ),飛行機傾いてるんごｗｗｗｗ
(*^◯^*),死にたくなああああああい
彡(ﾟ)(ﾟ),滑走路ギリギリで着陸させたろ！
(*^◯^*),機長やめてください！！
飛行機,失速するんだー！！
(´・ω・｀),当時機長達の間で着陸技術を競い合っていて、それが原因のひとつとも言われてる
1982年2月9日当時の日本航空、福岡発東京行350便、ダグラスDC-8-61型機,機体番号JA8061
彡(ﾟ)(ﾟ),ファッ失速しとるんご！
(*^◯^*),機長！失速してます
彡(ﾟ)(ﾟ),機体を立て直せ！
(*^◯^*),はい！機首上げしてます
彡(ﾟ)(ﾟ),失速してるのに機首を上げるのか（困惑
大西洋,飛行機が落ちてきたぞ
(´・ω・｀),エールフランス447便墜落事故。ボナンダイブとも言われているこの墜落事故は失速したら機首を下げるというパイロットの常識を打ち破ろうとした、副操縦のボナンの機首上げという行動により起きた事故。エアバス機のサイドスティック構造が災いし機長が副操縦士が機首を上げているのに気づかなかったのも墜落を防げなかった理由の一つ
彡(ﾟ)(ﾟ),ファッ！？コックピットに戻れんやんけ
(*^◯^*),
彡(ﾟ)(ﾟ),開けろ！！開けるんや！
(*^◯^*),
彡(ﾟ)(ﾟ),開けてくれえええええええ
アルプス,自分から突っ込んでくるのか
(´・ω・｀),ジャーマンウイングス9525便墜落事故。墜落当初はテロや、機体の故障と言われていた事故。ボイスレコーダの解析が進み副操縦士の自殺と断定された。これを機にコックピットにパイロットが一人になる状況を極力作らない。外からパスコードでコックピットに入るドアの解除をできるようになったんや。精神疾患に限り医者の守秘義務の解除も進んだやで
彡(ﾟ)(ﾟ),35L35L
第二エンジン,ワイ出力全開なんやが
彡(ﾟ)(ﾟ),着陸
第二エンジン,あのまだ出力全開なんやが
彡(ﾟ)(ﾟ),とまらないんごおおおおおおおおおお
第二エンジン,そりゃ（エンジン全開なら）そう（止まらなくなる）よ
ガソリンスタンド,こないでえええええ（爆発炎上
(´・ω・｀),TAM航空3054便オーバーラン事故。35Lというただでさえ着陸が難しい滑走路に雨天+片方のエンジンが不調という状況が重なり、精神的負荷に耐えられなかった機長のミスにより起きた事故オーバーランしガソリンスタンドに直撃し炎上。地上の職員も負傷した
彡(ﾟ)(ﾟ),俺は元空軍パイロットや
(*^◯^*),（ヒェ
彡(ﾟ)(ﾟ),。
(*^◯^*),（オーバーバンクやけど怖くて言えないんだ！）
飛行機,落ちまああああああああああす！！！
(´・ω・｀),大韓航空8509便墜落事故。機長と副操縦士の意思疎通が不十分だったことが原因の事故。大元の原因は計器の表示ミスとはいえ、パイロット間でのやり取りが行えれば、事故は回避できただろう
彡(ﾟ)(ﾟ),なんか雨がすごいけど着陸できるやろ
警報装置,あああああああああああああああああああああ
(*^◯^*),機長！緊急事態宣言を！！
彡(ﾟ)(ﾟ),えっあっ！メーデー！着陸やり直すやで。2回目の着陸は決めるやで
飛行機,降下率早すぎいいいああああ（大破
(*^◯^*),
(´・ω・｀),中国南方航空3456便墜落事故。事故原因は操縦士が事態の重大さを把握していなかったことや操縦技術が低かったことだけでなく、航空会社が安全思想を軽視していたことなどが挙げられた
彡(ﾟ)(ﾟ),今日もいい天気☆。ファッ！なんでここに空自の戦闘機が
空自の戦闘機,訓練空域逸脱してるんですがそれは
教官,訓練空域内やろなぁ
(´・ω・｀),全日空機雫石衝突事故。空自の戦闘機が訓練空域を離脱したことにより起こった事故ぶつけられたANAの機体は音速の壁を越えて空中分解。その音は地上からも聞こえたらしい
彡(ﾟ)(ﾟ),うーん原因はレバノン料理？
(*^◯^*),レバノン料理食べたせいで体調不良になったんだ！
彡(ﾟ)(ﾟ),おっ！そうだな！
レバノン料理,えっ、わいが悪いんですか？
(´・ω・｀),エチオピア航空409便墜落事故。事故調の結論はパイロットエラーによる事故とされているが、エチオピア航空はこれを否定。メーデーでこの事故が取り上げられた際に事故原因の一つとして挙がったレバノン料理君は、一躍メーデー界のアイドルとなった
彡(ﾟ)(ﾟ),おかしいパイロットはベテラン
(*^◯^*),絶対飛行機の故障なんだ！
彡(ﾟ)(ﾟ),副操縦士は新人
ボイスレコーダー,バカヤロウこの野郎！なんだこの野郎！
(*^◯^*),あっ
