周りの人々,キャーお助けえー頃されるー
響,プ、プロデューサー……？
P,逃げるぞ響！
響,えっ、うわわっ！！
P,とうっ
響,と、飛んでる！？うぎゃー！
P,ふう……
響,（人間の姿に戻った……）
P,驚かせて済まなかったな……
響,プ、プロデューサーは……一体何者なんだ……？
P,……実は、前に春香を庇ってステージの穴から落ちたときにこの力に目覚めたんだ。社長が言うにはどうやら俺みたいなのをオルフェノクというらしい
響,おるふぇのく……？
P,オルフェノクの資質を持った人間は死の淵に立つとオルフェノクとして目覚めるんだ
響,じゃ、じゃあプロデューサー以外にも……
P,ああ、他に俺の知ってるオルフェノクは社長だけだけどな
響,そうだったのか……
P,……意外と怖がらないんだな
響,自分、ワニとか飼ってるし
P,なるほど
響,じゃあ、自分もその、オルフェノクって奴になれるかもしれないのか？
P,ああ。例えばオルフェノクに頃された人間も一定の確率でオルフェノクになったりするからな
響,そうなのか！？じゃあさっきの暴漢は……？
P,頃してないから大丈夫さ
響,なら安心だな。ねえねえ！自分もなってみたい！
P,なってみたいって……オルフェノクにか？
響,うん！
P,よせよせ！下手したら死ぬぞ！
響,大丈夫！自分完璧だし！
P,ダメだダメだ！とにかく騒ぎになったから事務所に戻るぞ！
響,うう……わかったぞ。あれ？さっきみたいに飛ばないの？
P,当たり前だろ！。社長、実はかくかくしかじかで
高木,困るよ君ぃ、いくらアイドルを守るためとはいえそんな街中で変身したらダメじゃないか
P,すみません……
高木,我那覇くん、このことは他言無用でお願いするよ
響,うん。社長、自分もオルフェノクになりたいぞ
P,お前はまだそんなことを言って……
高木,オルフェノクのアイドルか……ティンときた！。Pくん、私が許可する。我那覇くんを頃したまえ
P,ええっ！？
響,本当か！？
P,ちょ、何言ってるんですか社長！
高木,なぁに私もプロデューサー時代は何人も人を殺めたものだ。これが芸能界の裏の姿だよ
P,響が死んだらどうするんですか！？
高木,大丈夫。我が社のアイドルに限って下の下の人間などいるはずがない。安心してやりたまえ。でないとクビだ
P,うーん……それを言われると俺も弱いですからね。わかりました。響、痛みは一瞬だ
ﾌｧｰﾌﾞｷﾞｭﾙﾙﾙﾝ,良い擬音募集
響,わかったさー！
P,せい！
響,うぐっ！！
P,灰に……ならない？
高木,どうやら目覚めたようだよ
