客A,うめー！
客B,おいしー！
お嬢様,なんですの、あれは？
執事,あれはラーメンという食べ物です、お嬢様
お嬢様,まあっ、なんともお下品な食べ物ですわね。汚らわしい……。しかし、たまには庶民の食べ物を食べてみるというのも一興ですわ。執事、私にも一つ用意しなさい
執事,かしこまりました。ラーメンでございます
お嬢様,まずそうな料理ですわね……いただきますわ。！。うめえ！うめえですわ！。うめえ！うめえ！うめえ！。下々の食い物というのも、意外と侮れないものですわね。ぷはーっ！
執事,鼻から麺が出てますよ
お嬢様,おっと！。執事、庶民どもの食い物をもっと持ってらっしゃい！
執事,続いてはカレーライスでございます
お嬢様,ライスにカレーを混ぜるだなんて……なんてお下品な食い物なのかしら。さっそく食ってみますわ！
執事,いかがですか？
お嬢様,うめえ！うめえですわ！。うめえ！うめえ！うめえ！。カレーの辛さとライスのハーモニーが癖になりますわぁ！。もっと！もっと持ってらっしゃい！
執事,かしこまりました、お嬢様。しかし、お口の周りがカレーでヒゲのようになってるのでお拭きした方がよろしいかと
お嬢様,おっと！。これは？
執事,ハンバーガーという食べ物でございます。簡単に説明しますと、ハンバーグをパンで挟んだ食べ物です
お嬢様,いかにもグルメのグの字も知らない愚民が好みそうなゲスな食い物ですわね。いただきます。おほぉっ！。なんってうめえのかしら！。しかも一枚挟まれてるピクルスがいい味出してますわ！。うめえ！うめえええええ！。こんなもん、いくらでも食えちまいますわ！
執事,コンビニ弁当でございます
お嬢様,食品添加物がいっぱい入ってそうで、健康とは程遠い食い物ですわね。一口だけ……。！。うめえ！うめえですわ！コンビニ弁当うめえですわぁ！
執事,容器ごと食べないようにご注意を……
店員,よいしょっと
お嬢様,お待ちになって！なんでそんなに弁当を捨ててらっしゃるの？
店員,賞味期限切れちゃったんで……廃棄するんです
お嬢様,もったいない！捨てるぐらいなら私によこしなさい！
店員,しかし、廃棄弁当はあげてはいけない決まりに……
お嬢様,なら買い取りますわ！ほら、100万円！
店員,売った！
お嬢様,うめえですわぁぁぁぁぁ！。……
執事,どうされました、お嬢様？
お嬢様,あちらからいい匂いが……
野良犬,……
執事,あれは野良犬が残飯を漁ってるのですね
お嬢様,残飯！？私も食ってみましょう！。うめえ！残飯うめえですわ！。これは？
執事,草ですね
お嬢様,どれ、一口……。うめえ！うめえですわ！。雑草うめえですわああああ！。この辺の土地を買い取って、全て食っちまいますわ！
子供,泥団子できたー！
お嬢様,私によこしなさい！
子供,あっ！
お嬢様,うめえ！泥団子うめえですわあああ！。さらに砂をかけると、うまさ倍増ですわあああああ！。石を混ぜても美味ですわああああああ！
子供,ボクの泥団子が……
執事,お金をあげるから許して下さい
業者,うわー……下水から大量のヘドロが出てきちゃったよ。何とかして片付けないと苦情が……
お嬢様,私によこしなさい！。うめええええ！ヘドロうめえですわ！こんなにうまいもん初めてですわ！
業者,ヘドロをあっという間に食い尽くしちまった……
お嬢様,生ゴミうめえ！。空き缶うめえ！。プラスチックうんめえ！。この世にはうまいもんしかありませんわあああああ！。もっと持ってらっしゃい！
執事,かしこまりました、お嬢様
背広,あのー……
お嬢様,なにかしら？
背広,我が社で処理に困っている産業廃棄物があるのですが、食べていただけますか？
お嬢様,カモン！。うめええ！産業廃棄物うめえですわ！。いくら食っても飽きませんわ！どんどん持ってらっしゃい！
背広,ありがとうございます！
執事,お嬢様、放射性廃棄物を食べて欲しいという者が来ましたが、いかがいたしましょう？
お嬢様,いかが？食うに決まってるでしょう！。うめえ！うめえですわ！。もっと持ってらっしゃい！
執事,はい
お嬢様,どんどん持ってらっしゃい！全部食いますわ！
執事,もし、お嬢様が“出して”しまったら……どうなってしまうんだ！？
お嬢様,あーん。ゲェップ。ふぅー、食った食った。……うっ！お腹が……
執事,ついに来た……！。人類が全てをお嬢様に押し付けてきた代償を払う時が……！
お嬢様,うっ、ううう……
執事,お嬢様！
お嬢様,うううううううううっ！。あー、スッキリした。私としたことが、お屁をしてしまうなんてはしたない……
執事,……！。このニオイ……
お嬢様,まぁっ、人のお屁を嗅ぐなんてよして下さる？
執事,なんて……いいニオイなんだ……。まるで心の中が洗われるようだ……
お嬢様,そんなこといわれたら、照れちまいますわ！。まあ、皆さんまで！
執事,そうか……ようやく分かった。お嬢様は……“お浄様”だったんだ……！
