J('ｰ`)し,ちょいと、後でお金払っとくから、スーパーでお肉買ってきて
彡(ﾟ)(ﾟ),おかのした。・・・って言っても、財布見たら１３円しか入っとらんで。どないせいっちゅーねん
(´・ω・｀),やあ、兄ちゃん
彡(ﾟ)(ﾟ),あれ？原ちゃん、今日はバイトがあるって言うてへんかったか？
(´・ω・｀),うん、店長がむかつくから肋骨へし折ったらすぐクビになっちゃってさ
(#´・ω●),痛いよ！何するんだよ兄ちゃん！
彡#(ﾟ)(ﾟ),あったりまえやがな！１０：０で原ちゃんが悪いやろ！
(´-ω-),そうだよね。ただポジハメくんにその話メールでしたら、新しいバイト紹介してくれるって。それで、詳しい話を聞きに今から行くところなんだけど
彡(ﾟ)(ﾟ),うーん、金が無いのはワイも一緒やしなー
彡(^)(^),よっしゃ！ワイも一緒に行ったろ！ええよな？
(´・ω・｀),え？まあ、別にいいけど
(*^◯^*),・・・で、２人で来たんだ！
彡(ﾟ)(ﾟ),せや。で、どんな仕事なんや？
(*^◯^*),仕事内容はいたって簡単なんだ！このボタンを押すだけなんだ！１回につき１００万円稼げるんだ！
彡(ﾟ)(ﾟ),フアッ！？それだけで１００万なんか！？
(*^◯^*),そうなんだ！ボタンを押した瞬間、感じないレベルで微弱電流が流れてとある空間へワープするんだ！。そして、そこで５億年過ごすというのが仕事なんだ！
彡(ﾟ)(ﾟ),・・・何やねん？その５億年ちゅーのは？もっと詳しく説明せんかい
(*^◯^*),詳しくも何も本当に５億年なんだ！お腹も減らないし疲れないし眠くもならないんだ！。その代わり何も無い空間なんだ！５億年ずーーーーーーっと１人きりで過ごしてもらうんだ！その間意識もはっきりしてて眠ったり死んだりができないんだ！。それで、５億年経つと元の場所に戻ってきて、記憶とかも消されてえ？もう終わり？何も無かったじゃん。一瞬で１００万？ラッキー♪となるんだ！。でも、その代わり５億年って結構長いんだ！何も無い空間で何もしないで、ずーーーーーーっと１人きりなんだ！
彡(ﾟ)(ﾟ),何やねん、そら？いくらなんでもおかしいやろ。つーか、バイトなんか、それ？
(´・ω・｀),僕は押すよ
彡(ﾟ)(ﾟ),フアッ！？原ちゃん早まるな！！
ボタン,ポチッとな
(´・ω・｀),・・・・・・・・・
彡(ﾟ)(ﾟ),あれ？原ちゃん、なんともないんか？
(´・ω・｀),え？いや、別に何ともないけど
(*^◯^*),お疲れ様なんだ！約束の１００万円なんだ！
(´^ω^｀),え？マジ？本当にいいの？ラッキー♪何も無かったじゃん
(*^◯^*),本当は５億年経過してるんだ！もう１回やって見るんだ？
(´^ω^｀),え？いいの？それじゃ
ボタン,ポチッとな
(´^ω^｀),ワーイ！２００万ゲット♪
彡#(ﾟ)(ﾟ),何やねん！原ちゃんただ単にボタン押してるだけやん！ワイにもやらせんかい！
(*^◯^*),どうぞなんだ！
