異世界貴族達,マヨネーズ最高ンゴオオオオ！！金貨払うから買わせろンゴオオオオ
ワイ,やったぜ。
異世界転生ワイ,マヨネーズ販売で儲けたンゴ！
異世界の商人,作り方教えろンゴ！
ワイ,ここはワイの現代経済知識の出番や！ワイの独占販売でさらに規模拡大するンゴ！。発酵食品も作ったらすごい売れたンゴ！。でも人手が足りないンゴよぉ……
異世界転生後に親しくしてくれる人,奴隷買ったらどうンゴ？
ワイ,奴隷！？ワイの国ではそんなのなかったからカルチャーショックンゴ！。でも買うンゴ♪
奴隷商人,今いる奴隷はこんな感じンゴ
ワイ,ファッ！？犬耳美少女がおるやんけ！
犬耳美少女,
奴隷商人,そいつは亜人だから安くしたるで、訳ありや
ワイ,ファッ！？ええんか！買うで！サンキュー！
犬耳美少女,私に酷いことするんですね、でも奴隷だからしょうがないです
ワイ,犬耳美少女ちゃん、ご飯食べようやで
犬耳美少女,すごいおいしいです……しかもワイさん優しい……
ワイ,じゃあネルソン
犬耳美少女,寝るんですね、わかりました
ワイ,ファファのファッ！？ななななんで脱いでるんや！
犬耳美少女,だって奴隷はこうするものです
ワイ,そんなことしなくてええんや！ほら、犬耳ちゃん用のベッドもあるで！
犬耳美少女,ワイさん……(照)
ワイ,商売がんばるンゴ！
王の使い,王がお前の取り扱う商品に興味があるらしいぞ
ワイ,ファッ！？お城いくンゴ！
王松,お前の商品面白いぞ、もっと王に売るべきだぞ
ワイ,でも今の土地だと物資の問題とかで難しいンゴ
王松,じゃあ支援してやるぞ
ワイ,王宮とのパイプゲットンゴ！。ワイも商人だけじゃなくて冒険者として頑張りたいンゴ
異世界転生してから良くしてくれる奴,ではギルドに登録したらいいンゴよ、犬耳ちゃんも一緒に
ワイ,そうするンゴ、犬耳ギルドいくンゴ！
犬耳美少女,はい、わかりました
ギルド内にいる奴ら,あいつの連れてる奴隷みろンゴ。亜人奴隷なのにギルドに登録させるとかなに考えてるんだ？(差別の目)。でもかわいいンゴねぇ、性奴隷にでもするのかな？
ギルドで有名な女魔法使い,ちょっと待ちなさい！
ワイ,ファッ！？ワイは犬耳とワイの登録しにきただけやで！
ギルドで有名な女魔法使い,その女の子を性奴隷にした挙げ句ギルド登録して働かせて報酬まで奪うつもりでしょ！そんなの許せない！
ワイ,ひどい誤解受けたンゴ
犬耳,そんなことないです、マスターの悪口いうのやめてください！
ワイ,そういうことで
女魔法使い,待ちなさい！監視するために私もついていきます！
ワイ,えー、こんな簡単なクエストなのに上位のお前がついてくるンゴ？勝手にしろンゴ。森についたンゴ
女魔法使い,ここで薬草をつむクエストね、犬耳ちゃん、安心して、こいつからは必ず守るわ
ワイ,誤解ンゴよぉ
魔物,ンゴオオオオオオオ！！！
女魔法使い,こいつはここらじゃやばい魔物！どうしよう！
閃いたワイ,現代知識をフル活用や！物理学とか駆使して罠とか仕掛けるンゴ！
ワイ,犬耳の身体能力も活かすンゴ！犬耳、頼むンゴ！
犬耳,はい！
女魔法使い,頭の回転よくて咄嗟に判断できるなんて！
魔物,ンゴオオオオオオオ！！
女魔法使い,きゃあ！！
ワイ,
犬耳,マスター！
女魔法使い,庇ってくれたの？
ワイ,大丈夫ンゴ……さあ奴を倒すンゴ！
魔物,グエー！死んだンゴ
ワイ,危なかったンゴ……。いつのまにか成り行きで女魔法使いもワイのパーティに加わったンゴ。自宅についたンゴ。魔法覚えたいンゴよ
女魔法使い,私が教えるわ
ワイ,頼むで。練習したらそれなりに魔法使えるようになったンゴ
閃いたワイ,これ現代知識応用すれば色々できるンゴ！
ワイ,現代知識応用したら面白い魔法いっぱいできたンゴ！魔法ってすごいンゴ！
女魔法使い,私は基本教えただけよ！なによその魔法！ありえない！
ワイ,なんでンゴ？
女魔法使い,魔法ってのはイメージが重要で実際に見たりしたものによって威力がかわる云々かんぬん
魔法ギルド,あんたはすごい
ワイ,希代の魔法使いみたいな扱いされたンゴ。成り行きでダンジョン潜ることになったンゴ。よく考えたら前衛不足ンゴねぇ
犬耳美少女,ダンジョンに女パーティがいます、魔物に苦戦してます
ワイ,加勢するンゴ
女ぶとうか,ありがとう
女僧侶,助かりました
ワイ,いやーそれほどでもあるンゴ。ダンジョンクリアしたらなりゆきで女僧侶と女ぶとうかも仲間になったンゴ
