シャーリー,何の為に？
リヴァル,噂によると、宇宙人を探してるらしい！
ルルーシュ,宇宙人？
リヴァル,学園の生徒の中に宇宙人がいると信じ込んでるらしいぜだから生徒一人一人を観察してるんだってさ
ミレイ,そういえば申請書のクラブ趣旨の欄にそんな事が書いてあったわね。宇宙人と未来人と超能力者を見つけて一緒に遊ぶって
ルルーシュ,フン、くだらん。こういう奴はまともに相手をしたら付け上がるだけだ無視するのが一番だな
リヴァル,申請書出してるのに無視なんてして大丈夫か？乗り込んできたりしないだろうな･･･
ルルーシュ,乗り込んでこようものなら俺が直々に説教してやる！大体、そんなふざけた趣旨のクラブを1度でも容認したら、部費目当ての連中が次々に申請書を出して収拾がつかなくなる。こういうのは始めの対応が大事なんだ
ミレイ,何だかやる気になってるみたいだし、この件はルルーシュに一任するわ
ルルーシュ,(ゼロとしての活動もあるが、こっちの件を見過ごすわけにもいかないしまぁ今回くらいはいいだろう)
ハルヒ,ちょっとキョン！あんた本当にあの紙出したんでしょうね！？
キョン,ちゃんと出したさ
ハルヒ,じゃあ何で未だに生徒会から何の音沙汰もないのよ！
キョン,さぁな。知らん
ハルヒ,正式にクラブとして認めてもらわないと部費が下りないのよ！このままじゃいつまで経ってもSOS団としての活動ができないわ！
キョン,その活動とやらが明確になってないから許可が出ないんだろうよあの滅茶苦茶な申請書を見てOKを出すような奴が生徒会の中にいるとするなら俺はそっちの方が心配だ
ハルヒ,うるさいわね！あの完璧な文の何処に問題があるっていうのよ！
キョン,（何処？全部だ全部！）
ハルヒ,あーもう頭くる！！いっその事生徒会室に乗り込んでやろうかしら！！
キョン,また物騒な事を･･･
古泉,もう少し待ってみてはいかがでしょうか？あちらもいろいろと忙しいのかもしれませんし
ハルヒ,まぁ古泉くんがそう言うならもう少し待ってあげてもいいけどでも後一週間経っても何の沙汰もないなら生徒会室に乗り込んで抗議してやるわ！。言っておくけど、その時はみんなで行くのよ！
キョン,俺もか？
ハルヒ,あんたも！
キョン,はぁ～
ハルヒ,今日はもう帰るわ！最後の人戸締りよろしくね
キョン,全く次から次へと騒ぎばかり起こす奴だな･･･
古泉,ここ最近涼宮さんの精神は非常に不安定になっています。閉鎖空間の発生頻度や規模も日に日に増していましてね････毎日それが続くものですから少々堪えます
キョン,そうだったのか。いつからだ？
古泉,あなたが生徒会に部の申請書を提出した次の日辺りからですね。つまり約一週間前になります
キョン,じゃあ原因は生徒会か
古泉,えぇ。この放置状態が長引くようですと、僕を含めた機間の仲間が過労で倒れかねないので、何とか手を打ちたいのですがね･･･
キョン,手を打つとて言っても、何をしたらいいのやら
古泉,簡単な事ですよ、生徒会の方々に返答さえいただければ良いわけですから涼宮さんが乗り込む前に僕達で聞きに行けばいいだけです
キョン,返答を貰うだけで解決するのか？クラブとして認めてもらえなかったら結局あいつのイライラは続きそうな気もするが
古泉,涼宮さんがイライラしているは、部の申請書を出したにもかかわらず生徒会から何の返答も無いからです。イエスかノーか、答さえだしていただければ恐らく現状は打開できると思います
キョン,どうだろうな
