その名も――,モンスターバトル
少年,いっけーっ、ボクのスライム！
スライム,ピィ……
少年,おい、早く行けよ
スライム,いつもいつも戦わせやがって……！
少年,スライム、体当たりだ！
スライム,ピィッ！
デカマキリ,キシャッ！
相手,デカマキリ、鎌で攻撃しろ！
デカマキリ,シャアッ！
少年,よけろ！
スライム,ピッ……
少年,なにやってんだ、マヌケー！よけろっていっただろー！
スライム,うるせえなぁ……避けられるかあんなの！。ピィーッ！
デカマキリ,キシャアアアッ！。キシャァ……
スライム,ピィー、ピィー、ピィー……
少年,やったぁ、勝ったぞーっ！これで二回戦進出だ！。二回戦も頼むぞ、スライム！
スライム,相手はどんな奴だ……？
ティラノ,……
スライム,でかっ！こんなのと戦うのかよ！？ボクシングみてえに体重で階級分けろよ！
ティラノ,ギャオオオオンッ！
スライム,しかも声もでけえ！こええええ！
少年,いっけーっ！
スライム,……
少年,いっけぇぇぇっ！
スライム,てめえが行けや！なんで俺があんな恐竜みたいな奴と……
少年,いっけぇぇぇぇぇっ！
スライム,はいはい、行けばいいんだろ！
少年,体当たりだ！
スライム,ピィーッ！
ティラノ,ギャウ……
スライム,お、ちょっと効いた？
ティラノ,ギャオォォォォォン！
スライム,いや、怒らせただけだわこれ！
ティラノ,ギャウッ！
スライム,ピィーッ！。やっべえ、噛みつかれた！なんか指示くれ、指示！牙からの抜け方とか！
少年,耐えろ！
スライム,それで耐えれたら苦労はしねえええええ！
ティラノ,ギャオ！ギャオ！
スライム,俺の軟体でも抜けきれねえ……！
少年,耐えろぉぉぉぉぉ！。気合だ！ガッツだ！根性だ！
スライム,とうとう根性論に走り始めたぞ、こいつ！
少年,耐えろぉぉぉぉぉぉぉ！！！
審判,勝負あり！
ティラノ,ギャオンッ
スライム,ピッ。うぐぐぐ……いてえ……
少年,なにやってんだよ！耐えろっていったんだから耐えろよ！
スライム,耐えれるわけねえだろ、クソが……！
少年,あーあ、結局二回戦負けかぁ……
スライム,……
少年,あんなに頑張ったのになぁ……
スライム,てめえはなんにも頑張ってねえだろ！
少年,こんなんじゃ、メシ食わせてやらないぞ！
スライム,てめえがもうちょいマシな指示してりゃ、勝てないまでもいい戦いはできたんだよボケ！
少年,今日の敗因は、やっぱり体当たりの力不足だったと思うんだ。だからさっそく特訓だ！。このサンドバッグに体当たりしまくるんだ！
スライム,ピィッ！ピィッ！
少年,あと千回！
スライム,多すぎるわ！オーバーワークって概念ねえのかこいつ！。ピィ、ピィ、ピィ……
少年,まだ半分もいってないぞ！なにやってんだ！
スライム,うるせえよ……。てか、ついさっきKOされた奴にトレーニングさせるんじゃねえバカ！
少年,このところお前、いうこと聞かなくなってきたなぁ……
スライム,聞きたくなるような指示をしろや！
少年,あーあ、次の大会こそせめて入賞しないと……。今日は草マッチだ。実績にはならないけど、腕試しするいいチャンスだ！
スライム,ピイッ！
少年,対戦相手は……
レッドスライム,グワァッ！
スライム,！？。こいつ、俺の上位種じゃん！無理じゃん！勝てっこねえええええ！。ピ、ピィ……
少年,なにやってんだよー！あんな奴相手に情けない！
