母,じゃあ、姉妹三人で仲良くするのよ
リボほむ,
めがほむ,
ほむら,。何が、どうなっているの？
リボほむ,私に言われても分からないわ
めがほむ,わ、私も分かりません
ほむら,あなた達は、誰なの？
リボほむ,暁美、ほむらよ
めがほむ,暁美、ほむらです
ほむら,回りくどいやり方はやめて出てきなさい、魔女！
リボほむ,魔女？
めがほむ,魔女って一体、なんですか？
ほむら,。本当に魔女じゃないの？。じゃあ、あなた達は一体？
リボほむ,。見たところ、ここは病院のようね
ほむら,
めがほむ,わ、私もここの病院にいたはずなんですけど。その、寝て起きたらここに
ほむら,
リボほむ,3人で、と言ったわね。と言うことは、あの家でいいのかしら
ほむら,そうね
めがほむ,え、あの家ってあの？
和子,えっと、それから転校生を紹介します
さやか,どんな子かなー
まどか,あはは、さやかちゃんたら何を期待してるの？
さやか,そりゃもう可愛い子だったら嬉しいよ。あ、でも一番はまどかだからね
まどか,もう！
ほむら,暁美、ほむらです
リボほむ,暁美ほむらです
めがほむ,えっと暁美ほむらです
さやか,。お、あええ？
ほむら,どうするの？この状況
リボほむ,私に聞かないで頂戴
めがほむ,み、皆関わらないようにしてますよ～
ほむら,大体どうしてあなた達は同じ名前を名乗るの？
リボほむ,そんな事言われても、私も紛れもない暁美ほむらだからよ
ほむら,
さやか,よっ、転校生達！。3人とも同じ顔ってことは三つ子？
ほむら,ま、まぁそんな所よ
さやか,へー、でも名前も同じじゃん
ほむら,あの、それはその
リボほむ,漢字が違うのよ。彼女は平仮名で「ほむら」、私は「炎」、こっちの子は「焔」
さやか,へー、変わってるねぇ
ほむら,ちょっと！
リボほむ,仕方ないでしょ、私にだって未だにこの状況がなんなのか分からないんだから
ほむら,。お昼ね
さやか,よう、噂の転校生たち！お昼ご飯食べない？
ほむら,あ
リボほむ,遠慮しておくわ
さやか,あれれ、釣れないなぁ
リボほむ,今日は私たち3人で少し話し合うことがあるから
さやか,そっか、んじゃ、明日ね！
ほむら,
リボほむ,さぁ、この状況について説明してちょうだい
ほむら,だから私もわからないわ
めがほむ,
リボほむ,見たところここは、見滝原よね？。そして、この時期にあなたがいるってことは
ほむら,あなたが一体どういう存在なのか知らないけれど、私はまどかを救うためにこの世界を何度も繰り返している
リボほむ,そう。まぁ、そうよねさやかが居るくらいだもの
ほむら,？
リボほむ,と言うことは、何？もしかして魔女もいるの？
ほむら,さぁ、この世界ではまだ、魔女に出会っていないわ
でも、あなたがもし,そう」なら、私たちの敵は魔女でしょう？
ほむら,今更確認することではないと思うけれど
めがほむ,
リボほむ,そう。そうだと、するなら。あなたはまだ、鹿目まどかを救えてはいないのね
ほむら,
リボほむ,少しだけ理解出来たわ
ほむら,あなたは？
めがほむ,へっ？
ほむら,あなたは、誰なの？。魔法少女のことを知っているの？
めがほむ,し、知りません！鹿目まどかさんとか言う人も！
ほむら,
リボほむ,契約すらしていない、私なのね
ほむら,ええ、そうね。ところで、こっちの私の存在については理解できるのだけれど。私は、あなたについて何も知らないわ。あなたは何？そのリボンは誰のもの？
リボほむ,。凄い殺気ね、あの時の私はここまで死にものぐるいだったのね
ほむら,答えて
リボほむ,。眼鏡の私も、盾を持つ私も、私にとっては過去でしかない。私は、あなたの未来よ
ほむら,！！！。未来？。と言うことは！私は！まどかを！
リボほむ,救えなかった
ほむら,え？
リボほむ,私には、まどかを救う事が出来なかった
ほむら,！！。あなたは！あなたは！。鹿目まどかを、諦めて！前に進んだという事！？。繰り返さなかったそうなの！？
リボほむ,
ほむら,っ！！
リボほむ,構えないで。見て
ほむら,？。！。盾が無い？
リボほむ,そうよ。私にとっての彼女は、文字通り希望となってしまった。過去、未来、全てに存在する魔女をこの手で消し去りたいという願い。その辻褄合わせなのか、何なのかは分からないけれど。私は、盾の代わりに
ほむら,！。それはまどかの
リボほむ,ええ、私は新しい力を手に入れた。まどかの、神格化と引換にね。その結果私は、繰り返すことが出来なくなった。まどかは、私の手の届かないところに行ってしまった。。まどか
ほむら,。ごめんなさい。あなたのこと少し誤解してた
リボほむ,ふふ、自分に謝られるなんて不思議な気分ね
ほむら,それじゃああなたは
リボほむ,。ええ。まどかを、救えなかったあなたよ
ほむら,。こんな事がありえるとしたらそれは
リボほむ,因果律への、叛逆ね
ほむら,。とりあえずこれからどうしようかしら
リボほむ,残念だけれど私は手伝うつもりは無いわ
ほむら,
リボほむ,残酷なようだけれど、私は自殺するつもりなんてないの。あの時、私はまどかと約束した。また、会おうって。だから、あの時の約束を蔑ろにしないために。過去が書き変わって、私の存在に矛盾が生まれないために。あなたが失敗することを、願ってる
ほむら,。それが、まどかの死と同義だとしても？
リボほむ,。ええ。私にとってのまどかは、ここのまどかでは、無いから。もちろん邪魔をするつもりもないけれど
ほむら,そう
めがほむ,あの、私は！
ほむら,何も知らないあなたはのうのうと生きていればいいわ！
めがほむ,っ！。ご、ごめんなさい
さやか,おっ？話し終わった？
ほむら,ええ
リボほむ,
めがほむ,あうう
さやか,ど、どうしたのさー？
ほむら,どうもしていないわ
さやか,あ！そだ！私の友達でも紹介するよ！。まどかー！ちょいこっち来てー！
ほむら,！
まどか,なぁに？さやかちゃん！
ほむら,まどか
リボほむ,ま、どか。うっううぅ
ほむら,あなたは今の自分のままでいい、決して変わろうなんて思わないで
リボほむ,まどかまどか！
ほむら,忠告はしたわよ
さやか,
まどか,
めがほむ,。あの、えっと。ごめんなさい
さやか,なんかものすごい絡まれ方したねまどか
まどか,う、うん知り合いじゃないんだけどね
めがほむ,あ、そのお姉ちゃん達はその。む、昔住んでたところのお友達にまどかさんが似てて。そ、それで懐かしくて泣いちゃったんだと思います！
さやか,名前読んでたけど
めがほむ,ぐ、偶然！偶然同じ名前なんです！
さやか,へー、珍しい事もあるもんだ
まどか,あはは。でも、仲良くなれたら嬉しいな
めがほむ,
さやか,そういやさー、ほむらはあの人たちとどういう関係？。姉妹なんでしょ？姉ちゃん？妹？
めがほむ,えっとあの2人は私のお姉ちゃんです
さやか,へー。って事は末っ子かー。なんか、妹だけはまともで嬉しいよ
まどか,さ、さやかちゃん！
さやか,あはは、冗談冗談。んじゃま、これから宜しくね、焔
めがほむ,は、はい！
ほむら,
リボほむ,
ほむら,あんな所でいきなり泣いてまどかに警戒されたらどうするつもり？
リボほむ,こっちのセリフよ、いきなりあんな電波発言なんてしたら、警戒されること間違いなしね
ほむら,
リボほむ,
ほむら,私達、どうやら馬が合わないようね
リボほむ,奇遇ね、私もそう思っていたわ
ほむら,
リボほむ,
ほむら,ところで
リボほむ,？
ほむら,私達がこうなった原因について探ってみるべきだと思うのだけど
リボほむ,それについては構わないわでも、彼女はいいの？
ほむら,居なくてもいいわ
リボほむ,一応あの子も被害者だと思うけれど
ほむら,必要ない
リボほむ,
ほむら,まず、この世界は誰のもの、なのかしら
リボほむ,言い方が少し変だけれどそうね。普通に考えて私ではないわ
ほむら,どうして？
リボほむ,私の世界では、さやかは既に死んでしまっているから
ほむら,どういう事？
リボほむ,話すと長くなるわ、要するにさやかはもう居ないのよ
ほむら,
リボほむ,この世界はあなたか、眼鏡の私のものなのでしょうけれど。それがどっちのものかは、断定できないわ。あなたが繰り返す時にあの子の世界に割り込んできたのかも知れないし。もしかすると、あの子が紛れ込んできたのかもしれない。とは言っても、私が紛れ込んでいるということを踏まえると。やっぱりここは、あなたの世界なのかも知れないわね
ほむら,
リボほむ,嬉しそうね？
ほむら,まどかを救った途端本当の私の世界に帰ることになるなんて嫌だわ
リボほむ,
ほむら,
リボほむ,まどかを、救う、ね
ほむら,？
リボほむ,私の世界のまどかはね、自分ひとり助かることを良しとしなかった。だからこそ彼女は一人で抱え込んで、QBと契約し、手の届かない存在へと昇華した。あなたがやっている事は本当にまどかの願いなの？
ほむら,。何を今更。あの時まどかは私に言ったわ。私を助けて、と。私はあの時のまどかの願いを叶えるだけ。それ以外には何も無い
リボほむ,そう。でも、私は。もし、私が彼女を救うことが出来たなら。この街を離れるなんて馬鹿なまねはせず、共に生きて行きたかったわ。ふふ、もちろん今の私だから言えることだけれど、ね
ほむら,
リボほむ,あ、私、学校へは行かないわよ
ほむら,は？
リボほむ,どれくらいの期間私がここにいるか分からないけれど。きっとそんなに長くないわ。だったらたまの休みだと思って家でのんびりしておくわよ。まどかの顔を見るのは辛すぎるから
ほむら,そう
リボほむ,あと、気がついた？
ほむら,？
リボほむ,お母さん、私と眼鏡の方をお姉ちゃん、妹ちゃんって呼んでいたわ。飲み物を買ってきて
ほむら,は？
リボほむ,ふふふ、姉の言うことは素直に聞くものでしょう？
ほむら,
リボほむ,ビンタされるなんて。荒れすぎじゃないかしらこの時の私
魔女,ｱｱｱｱｱｱｱｱ
ほむら,ふぅ。随分と遅かったわね、QB
QB,やあ
ほむら,あなたなら、もう少し早く接触してくると思ったけれど
QB,これでも早い方さ
ほむら,
QB,僕は君と契約した覚えがないんだけれど。そして君の姉とも。妹の方は素質があるけれどまだ契約はしていないね。君達は一体なんなんだい？何をしようとしてるのかな？
ほむら,あなたに話すことなんて何も無い
QB,そうかい
ほむら,綺麗な満月。。次は一ヶ月後にはまどかと一緒に、見たいわね。
リボほむ,
ほむら,何しにきたの？
リボほむ,いえ、別に。ただ少し、懐かしくなってね。魔女って、こういうものだったかしら
ほむら,
リボほむ,まどかの願いがかなってしまった私の世界では、魔女じゃなくて魔獣と呼ばれる存在が居る。まぁこの魔獣達が効率が悪くてね。毎晩毎晩何体も倒さないといけないのよ。だからそれ、私に頂戴
ほむら,
リボほむ,あら、本当にくれるの？
ほむら,別に私が持っていても意味が無いわ。あなたなら知ってるでしょ？
リボほむ,そうね、私は沢山予備を持っていたものね
ほむら,
リボほむ,あぁやっぱりグリーフシードは効率がいいわね。とても綺麗になったわ。。彼女、どうするつもり？
ほむら,さぁ、契約しようがしまいが私の知った事ではないわ
リボほむ,そんな事言っていていいの？
ほむら,契約したなら、私が利用するだけよ
リボほむ,そうよね、あなたはそういう人間よね
ほむら,もう帰りましょう。あなたにも、私にもこんな綺麗な月の夜は、似合わないから
リボほむ,
めがほむ,あ、そのお帰りなさい
リボほむ,ただいま
ほむら,
めがほむ,ご、ご飯作っておきました
リボほむ,帰ってきたらご飯があるなんて嬉しいわね
ほむら,私は、いらないわ
めがほむ,え
ほむら,二人で食べてちょうだい
めがほむ,
リボほむ,頂くわね
めがほむ,あ、ど、どうぞ
リボほむ,
めがほむ,
リボほむ,気になる？
めがほむ,え？
リボほむ,あなたの、お姉ちゃん
めがほむ,気に、なります。あなた達のこともこの状況も。あなた達は一体誰ですか？。私は、誰ですか？
リボほむ,。私たち2人は、あなたの未来なのよ
めがほむ,性格が全然違いますそれにお母さんは私たちを姉妹と言っていました。でも、私に姉妹なんていません
リボほむ,。。姉妹になったのはただの辻褄合わせ。性格はそうね。変えなければならないくらい、変わってしまうくらい辛いことがあったからかしら
めがほむ,？
リボほむ,あなたは、知らなくてもいい
めがほむ,
リボほむ,
めがほむ,嫌です
リボほむ,！
めがほむ,確かに私は、あなた達のことを知らないです。私は、魔法少女がなんたらとかあの時あなた達の姿が変わった事とか。まどかさんについて何一つ知りません。でも、それでも。あなた達ふたりが辛いということは理解できます
リボほむ,ただの一般人が首を突っ込んでいいことではないの
