課長,ｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐ…
先輩,ｸﾄﾞｸﾄﾞｸﾄﾞｸﾄﾞｸﾄﾞｸﾄﾞ…
男,すみません、すみません、すみません！。はぁ……今日もずっと怒られっぱなしだった。下っ端はつらいなぁ
紳士,おおっ……あなたはもしや！
男,？
紳士,少し、お時間よろしいですか？
男,かまいませんけど……。俺になにか？
紳士,私、こういう者です
男,ペレペーニョ王国の宰相……？
紳士,はい
男,ペレペーニョなんて聞いたことないんですけど
紳士,なにぶん、中央アジアの小国ですので
男,で、ペレペーニョ王国の人がなんの用？
紳士,実はあなたの家系が、現在のペレペーニョ王の遠い親戚であることが判明したんです
男,へえ……？
紳士,その結果、あなたにもペレペーニョ王国の王位継承権があることが分かったんです
男,え、俺が！？。ってことは、俺、王様になれるんですか！？
紳士,ただし、今の継承順位は47位……
男,47位……ずいぶん下ですね
紳士,今のままでは到底継承することはかないません。しかし！30万円お支払い下されば、この継承権を……なんと一位にして差し上げます！
男,えっ、一位にしてもらえるんですか！？
紳士,いかがいたしましょう？
男,うーん、ちょっと考えさせて下さい……
紳士,分かりました。また三日後にお会いしましょう
同僚,やめとけやめとけ！
男,なんで？
同僚,んなもんに30万も払うなんてアホのやることだ
男,だって……王だぞ！？30万で王になれるんだぞ！？。あの劉備だって、漢の王様の末裔ってとこから蜀の皇帝になったんだ！
同僚,劉備なんて知らねーよ。うまい話には裏がある。詐欺に決まってるだろ、そんなもん。30万受け取ってドロン……よくある話さ
男,そりゃそうだよな……。……といいつつ、30万円下ろしてしまった。99％あいつの話はウソだ……そんなことは分かってる。だけど、もし1％本当だったら……。俺は賭けてみたいんだ！その1％に！。30万です
紳士,たしかに……頂戴いたしました
男,これで、俺が王になれるんですよね！？
紳士,はい、間違いなく。事態が進捗しましたら、すぐにご連絡差し上げます
男,お願いします！。……。……。……。……来ない。すぐ連絡するっていったのに……ちーっとも連絡が来ない！。……ん
TV,昨日、この男が逮捕されました……
男,……これ、あいつじゃん！あの紳士じゃん！。なんだよ……あいつやっぱり詐欺師だったのかよ！。はぁー……！。覚悟してたとはいえ、騙されたと確定しちまうとショック大きいなぁ……。はい
兵士,男様ですね？
男,そうですけど……
兵士,ただいまより、次代王であるあなたをペレペーニョ王国へとご招待します。同行なさって下さい
男,え！？。これからホントにペレペーニョ王国に行くの？
兵士,はい、成田から直通便が出ております
男,出てんの！？。ってことは、あの紳士は詐欺師じゃなかったのか。なんで逮捕されたんだろう？
兵士,あなたを迎えに行く途中、出来心で痴漢をしたそうです
男,なにやってんだあの人……
国王,おお、おぬしが宰相が申していた日本人か
男,はいっ！
国王,宰相の尽力で、王位継承権第一位となったと聞く
男,仰せの通り……
国王,王というのは非常に過酷な仕事だ。しっかりと務めてもらいたい
男,頑張ります！
国王,ってわけで、バトンタッチ！
男,へ？
国王,これでおぬしが王様ね！
男,はぁ
国王,じゃあ、あとは頑張ってねー！
男,えー……行っちゃったよ……。王位継承って、こんな簡単に済むもんなのか……。ん？
兵士,大変です、陛下！反乱軍が宮殿に押し寄せてきました！
男,なにいいいいいいいい！？。反乱軍ってなんだよ！？どういうことだよ！？
兵士,この国の王政はすでにボロボロで、今まさにクーデターされてる真っ最中なのです！
男,なんだってええええええええ！？。お、俺も逃げる！
兵士,ダメです！王が逃げるなど！
男,くっそー……こういうことだったか！。あの国王や宰相、貧乏くじを引き受けてくれるマヌケを探してたんだ！。30万払わせたのは、途中で怪しくなっても辞退されないようにするためか！。このままじゃ、俺の王としての最初の仕事は、殺されることになっちまう！。こういう時、劉備ならどうする……？。きっと孔明を頼るはず！孔明ならこういう時は――。宮殿の門を全部開け！
兵士,えっ？
男,音楽隊なども動員して、さあ入ってらっしゃいと歓迎するのだ！
兵士,しかし、そんなことしたら敵が宮殿内に――
男,いいからやれ！国王命令であるぞ！
兵士,かしこまりました！
男,どうだ
兵士,城門を開けたら、反乱軍が怪しんでかえって入ってきませんね！
男,そうだろうそうだろう。きっと疑心暗鬼になってるにちがいない
兵士,あっ、反乱軍が引き上げていきます！
男,よし、追撃しろ！こちらに背を向けている今がチャンスだ！
兵士,はいっ！。陛下のおかげで、我ら王国軍が大勝できました！
男,君たちもよくやってくれたよ
兵士,そういえば、陛下のお名前は？
男,うむ、そうだな……。劉備と孔明をフュージョンさせて……“リュウメイ”とでも名乗ろうか
兵士,おおっ、リュウメイ様！
男,戦況はどうか？
兵士,王国軍と反乱軍の戦いは、一進一退の攻防が続いております。リュウメイ様の指揮は的確ですが、反乱軍の士気も高いので……
男,これ以上長引かせると、国力がますます低下するばかりだな。よし……ならばいっそ反乱軍のリーダーと一騎打ちしてみるか
兵士,一騎打ち！？
男,ああ、一対一でケリをつける。このリュウメイと反乱軍のリーダー……勝った方がこの国の王というわけだ！
兵士,反乱軍リーダーは一騎打ちに応じました。リュウメイ様、剣をお取り下さい
