老界王神,おめぇ、セルって知っとるか？
界王神,少し…前に悟空さんがおっしゃっていたダーブラに匹敵するという
天津飯,悟空、一つ聞きたい。何故フリーザでなくセルを？。いくらあいつが強いと言っても、今のお前やベジータなら軽く倒せる相手だろう？フリーザに比べればという考えはわからなくはないが、わざわざ奴を選ぶ理由は…
ピッコロ,奴には悟空やベジータの細胞ではなく、フリーザの細胞も埋め込まれているからな
悟飯,フリーザはたった数ヶ月で超サイヤ人ブルーの父さん達に匹敵する程の強さを得ました。それに、サイヤ人の細胞…潜在能力なら最強クラスかもしれません
悟空,ほら、だろ？
天津飯,しかし、セルか…
クリリン,まあ、確かにフリーザよりは…
１８号,ふざけんじゃないよ！誰があんな奴と、あんなのと組むくらいなら、私は一抜けさせてもらうよ！
クリリン,１８号さん
ブルマ,そんな事言ってる場合じゃないでしょ！負けたらこの宇宙が、マーロンちゃんだって消えちゃうのよ？！
１８号,くっ…
ブルマ,…そうなったら、一生生き返る事も出来ない。でしょう？
１８号,わかったよ…
ピッコロ,だが、信用出来る相手ではない事は確かだ
悟飯,ですが力の大会は、宇宙の運命をかけた戦い。同じ宇宙にいる以上、セルが裏切る理由はないはずです
ベジータ,同じ宇宙にいる以上は、な
ビルス,そのセルとか言う奴が裏切ったその時は、僕が責任を持って破壊してやる
悟空,ビルス様
ビルス,だ・か・ら！さっさと呼んで来いっ！！時間がな～～いっっ！！
悟空,へぇ、ここが地獄かぁ…前にフリーザの奴が言ってたけど、地獄ってのは花畑じゃなかったんか？。閻魔様も厳しいなぁ…ま、あいつは宇宙一の悪人だかんな。おう、どうも。さて、セルセルっと……おっ？。よう
セル,？。っ…！孫……悟空……？
悟空,随分久しぶりじゃねぇか
セル,何故貴様が…しかも天使の輪がない…。貴様は確かに殺したと思っていたが、まさか、あの場で瞬間移動を？
悟空,いいや、ちゃんと死んださ。まあ色々あってな、オラ生き返ったんだ
セル,なるほど…それはめでたい事だ。で、わざわざ何をしに来た？
悟空,２４時間だけ、こっから出たくねえか？
セル,…話を聞かせてもらおうか
悟空,ああ
セル,力の大会…それで私を誘いに来たという訳か
悟空,そう言うこった
セル,それを断ったらどうなる？
悟空,オラ達と一緒に、おめぇの存在そのもんがなくなっちまう。それだけの話だ
セル,それは非常に困るな
悟空,だろ？
セル,だが、私は自分より格下の相手に従う気などない
悟空,なるほど、まずはオラの力を見たいってことか。いいぜ、おめぇにはやられっぱなしだったからな
セル,来い。はぁ……はぁ……はぁ……。孫悟空、これほどまでとは……あの時の孫悟飯とは比べ物にならん……
悟空,やるじゃねぇかセル、檻に閉じ込められてるだけでオラに超サイヤ人３にまでさせるとはな
セル,精神統一の時間はいくらでもあったのでな。だが、やはり実戦で活かすのは簡単ではないようだ
悟空,確かにおめぇは強くなったかもしれねぇけどよ、力の大会にはそれ以上のバケモンがうようよしてんだぜ
セル,何？
悟空,そんじゃあおめぇに、さらに上の世界を見せてやる！
セル,さらに上…！？
悟空,はああぁぁぁ……！！
セル,な…！？
悟空,うあああぁぁぁっ！！
セル,ば、バカな…これは…！
悟空,これがオラの最終形態だ
セル,青髮…！？
悟空,超サイヤ人ブルー……ややこしくて説明しにくいんだけどよ、こいつは超サイヤ人３とは比べもんにならねぇぞ
セル,気を感じ取れない……なのになんだ、この重くのしかかる威圧感とプレッシャーは……孫悟空、いつの間にこんな！
悟空,最初に言っておくぞ、第１１宇宙のトッポにはブルーになっても勝てるかわかんなかった。第６宇宙のヒットにはパンチ一発で仕留められちまった事もあるしな
セル,な、なんだと！？
悟空,だからこそオラ、おめぇを誘いに来たんだ。フリーザやサイヤ人の細胞を持つおめぇならって思ってな
セル,…フリーザの細胞だと？。なるほど…ゴールデンフリーザか。奴はたった数ヶ月の修行で、ブルーの貴様やベジータに匹敵する力を得たということか
悟空,おめぇにはフリーザ、それにオラやベジータの細胞が入ってんだろ？潜在能力はオラ達とは比べ物にならねぇはずだぜ
セル,フリーザ、奴は１７号や１８号に手も足も出なかった当時のトランクスに瞬殺された。そんな奴が、これほどまでに成長した孫悟空を…面白い…。いいだろう、貴様の誘いに乗った
悟空,本当か？やったぁ！
セル,だが、試合まで二時間半。いくら私の潜在能力がすごいと言っても、そんな短時間でどうするつもりだ？
悟空,心配すんな、おめぇを強くする方法ならちゃんと考えてあるさ
セル,自信があるようだな
悟空,まぁな
