盗賊のお頭,お前の今日の給料だ。
盗賊,あざっす(俺は盗賊！俺は人の者を盗み、時に集団で貴族レベルの人から盗むことだってある、王ですらも手を焼く盗賊達の一員だ。実は俺達盗賊の時給は1日7G。安物薬草1つしか買えない程度の時給の底辺中の底辺だ。)
他の盗賊,おいお前そこどけよ。
盗賊,うーい。グゥグゥ。ンガッ。えー魔物募集、冒険者、勇者を倒すだけの仕事です？。時給平均70G、給料1300G？！！。面接場所はえぇっと…。ここがラングライ浜辺か…
魔獣,グルルルルル…
キメラ,ｷｨｰｷｨｰ!!
狼男,ナンダオマエハ…
盗賊,ひぃっあの、魔物募集の面接を受けに来たんだが…
狼男,…。こちらの船にどうぞ
盗賊,はい
面接官,えー私、魔物募集の面接官です。
盗賊,はい(この人凄く美人だなぁ…エルフかな？)
面接官,職は何をやってらっしゃるのでしょうか。
盗賊,えー盗賊です。人の物を盗んだり、時に貴族の宝等も盗むことがあります。
面接官,ほう…、恐れ入りますが学歴は、
盗賊,学園(大学)は呉張練留学園です。
面接官,盗賊なのに一応学園行ってるんですねw(かなり頭悪い大学だな…確か下から二番目と聞いたが…。)
盗賊,むっ
面接官,それで、～～なんちゃらかんちゃらあーたらこーたらメラゾーマベキラゴンマヒャド
盗賊,ありがとうございました。。結果通知が届くまで待ってて下さいと言われたが…1週間ぐらいかかってるな…
ドラキー,おっす結果通知です。
盗賊,えーとなになに？合格。それだけ？。まぁいいわ、合格出来たし。。裏に何か書いてるわ、えーと破邪の島に来てください？。またかよ…ちなみに破邪の島とは魔の孤島と邪悪な島と向かい合わせになった島だぞ…。俺は…えーとFクラスか。。…は？。えー…俺はFクラス初期で…ドラキーかスライムかゴーストだな、はぁ…
スライム(元盗賊以下スライム),うぉっ外見も肌の感触も鏡見るとキュートなスライムに！ぷるぷる。
盗賊,うぉっ！。ここは確か初めの草原だっけ…
勇者(♂),この辺に魔物がいるらしいから皆気をつけよう！
賢者(♀),はい！
戦士(♂),おう！
スライム,ひっパーティ戦かよ…氏ぬわ
スライムB,俺等がいるだろ
ドラキー,安心しろや!!
スライム,皆…
スライムB,うっうおおお！
戦士,なんだこいつ…この鉄の鎧にスライムの体当たりが効くと思ったかゴラァ！
スライムB,
賢者,はぁっ
ドラキー,
スライム,うわあああ(泣)
勇者,喰らえ！銅のつるぎ！
スライム,
魔王,蘇生魔法
スライム,だ、大丈夫か…
スライムB,なんで初めの草原に行く奴が鉄の鎧装備してんの…？
ドラキー,多分酒場には強者が集まるんだろ。まぁいいや、次頑張ろう。
スライム,暇だししりとりやろうぜ
ドラキー&スライムB,いいね
スライム,じゃあ魔王様
ドラキー,マタンゴ
スライムB,ゴースト
スライム,トーク
ドラキー,クラス
スライムB,スライム
スライム,飽きた
スライムB&ドラキー,そだな
ナルシスト冒険者,出たな！悪党共め！この美しき私が成敗してくれるッ！
スライム,こいよぉおぉ！
ナルシスト冒険者,くっ！やるな！
ドラキー,やべっ羽根に当たったわ…
スライムB,卑怯だぞ！
ナルシスト冒険者,我が裁きを受けるがよい！
スライムB,裁きだァ!?俺は刃物で無いと斬れないんだよ！軟体魔物だからな！
ナルシスト冒険者,なんだとッ！
スライム,いくぞ！
スライムB,おう！
ナルシスト冒険者,ヒェーッこの私を倒すとはーッ！。
魔王,ククク…よくやったスライムよ！褒美として500Gを二スライムにやるぞ！それとドラキーにもオマケで500Gを！武運を祈る…
スライムB&スライム,やったぜ。
ドラキー,ＹＯＳＳＨＡ。あと暇だしさ、勇者のあとつけて行かね？
