男,うわ…雨降ってんじゃん。お、丁度傘一本だけあるじゃんパチってこw
たかし,ママ～これ買って～
J('ｰ`)し,あれ？前も似たようなオモチャ買わなかった？
たかし,あれとは全然違うの！買って！買って！
J('ｰ`)し,しょうがないわねぇ
たかし,やったあ！ありがとうママ！
J('ｰ`)し,ふふふ。たかしクリスマスサンタさんに何貰いたい？
たかし,僕自転車がいい！
J('ｰ`)し,え…あ、そうねぇたかしもう自転車乗れるものね
たかし,うん！貰えるかなぁサンタさんに自転車
J('ｰ`)し,きっと貰えるわよ
たかし,ほんと？ほんとに？
J('ｰ`)し,ほんとよサンタさんは凄いんだから
たかし,やったあ！自転車貰ったら最初にママに見せてあげるね！
J('ｰ`)し,ふふふ…ありがとう
たかし,ママなんで僕にはパパがいないの？
J('ｰ`)し,…ごめんねママにも分からないの。でもたかしにもパパはいるんだよ
たかし,ほんと？どこに？
J('ｰ`)し,たかしには見えてないかもしれないけどずっとそばにいるの
たかし,そうなの？
J('ｰ`)し,うんパパはずっとママとたかしのこと見守ってくれてるのよ
たかし,そうなんだパパって優しいんだね
J('ｰ`)し,ふふふ…。たかし…？まだ具合悪いの？
たかし,うん
J('ｰ`)し,大丈夫？やっぱり病院行ったほうが…
たかし,大丈夫だよすぐまた学校行けるようになるから母さんはあっち行ってて
J('ｰ`)し,…分かったわじゃあ母さんご飯持ってくるね
たかし,…
J('ｰ`)し,…。たかし…今日も学校お休みするの？
たかし,…
J('ｰ`)し,たかし？
たかし,うるせぇな…
J('ｰ`)し,たかし…母さんたかしが学校でいじめられてるんじゃないかと思って…
たかし,うるせぇなあ！そんなわけねぇだろ！
J('ｰ`)し,ごめんね
たかし,腹減った飯
J('ｰ`)し,あんまりパソコンやっちゃダメよ目が悪くなるからね
たかし,早く飯持ってこいよ！
J('ｰ`)し,…ごめんね
たかし,ちっ。ふわあぁぁあ…ねむ…。腹減ったなおいババア！飯！。…。おいババア！。…。ちっ…なんで俺が部屋を出なきゃいけねんだよ。一階に降りるのも久々だな。あっつ！なんだよこの部屋。おいストーブ点けっぱなしじゃねぇか…テレビも。おいババアなに寝てんだよもう2時だぞ！
J('ｰ`)し,
