第一話,三すくみな奴ら
ヘビ,お～い、卵拾ってきたぞ！一緒に食おうぜ！
カエル,卵……？いらん、酒があればいい
ヘビ,酒って……どこで手に入れたんだよ？
カエル,木の実を発酵させて自分で作った
ヘビ,器用な奴め……どこの猿だよ。んじゃ、ナメクジは？
ナメクジ,ボクもいらない。塩なめてるから！
ヘビ,いやいやいや、ナメクジが塩なめたらヤバイだろ
ナメクジ,やばくないよ。このとろけるようなしょっぱさ、たまらないよ！
ヘビ,とろけるってか、実際溶けてるけどね
ナメクジ,ああ……この感覚クセになるぅ……
ヘビ,……ったく、お前らカエルとナメクジのくせに、変わりすぎなんだよ！。んじゃ、俺もメシ作るか。木の枝こすり合わせて、火をおこして……。水を沸かして……卵をゆでて……。できたっ！ゆで卵！いただきまぁ～す！。ゆで卵うんめぇ～～～～～！！！
ナメクジ,ヘビのくせにゆで卵って……自分だってよっぽど変わってるじゃないか
カエル,まったくだ
ヘビ,おいナメクジ、ちょっと塩分けてくれ！ふりかけるから！。あ～……食った食った！
カエル,いい酒だ……
ナメクジ,塩は最高だね！
ヘビ,ところでよ、あっちにある丘でウサギとカメがかけっこやるらしいんだけど。見に行かねえか？
カエル,私はいい
ナメクジ,ボクもいいや。かけっこって興味ないし
ヘビ,え～……行こうぜぇ～……
カエル,一匹で行け
ナメクジ,行ってらっしゃい
ヘビ,…………。行かないっていうんなら、体を泥で茶色く染めて、トグロ巻くぞ！
カエル＆ナメクジ,！？
ヘビ,それでもいいのかよ！？
カエル,わ、分かった……付き合おう
ナメクジ,あれやられると、食欲なくなるからね……
ヘビ,よしよし
トカゲ,おっ、三すくみ。お前らもかけっこ見に来たのか
ヘビ,まぁな～、こいつらがどうしても見たいっていうから
ナメクジ,よくいうよ……
トカゲ,ケケケ、相変わらず仲悪いなァ、お前ら。で、どっちが勝つと思う？
ヘビ,そりゃもちろんウサギだろ！
カエル,私はカメだな
ナメクジ,ボクは引き分けだと思う！
トカゲ,……見事にバラバラだな。さすが三すくみ。なんでこんなバラバラな奴らが一緒に暮らして、つるんでるんだか……
キジ,実況は“鳴かずば撃たれまい”でお馴染みのキジがお送りいたしま～す！。ヨーイ、ドンッ！
ウサギ,うおっしゃあっ！ダッシュだぜぇっ！
カメ,さてのんびり行こうかな
ヘビ,いっけーっ！ぶっちぎれーっ！
カエル,…………
ナメクジ,どっちも頑張れ～
キジ,ウサギ速い！ウサギ速い！カメに圧倒的差をつけて、ゴールに近づくゥ！
ウサギ,うおっしゃぁぁぁぁぁ！！！
ヘビ,頼むぞ～っ！俺はお前に蓄えてたメシ全部賭けてんだ！
カエル,…………
ナメクジ,賭けなんかやってたんだ……
ウサギ,あうっ！？。ぐあああああっ！
キジ,ああっ！？ウサギ、最後の最後で切り株につまずいてクラァァッシュ！！！。これはもう……かけっこ続行は不可能でしょう！。カメの勝利が確定してしまったぁぁぁぁぁ！
ヘビ,あ……ああああっ……！！！
カエル,さて、帰るか
ヘビ,…………
ナメクジ,あーらら、ヘビったらすっかり石化しちゃってるよ
カエル,カメに賭けていた餌は十倍になって返ってきそうだ
ナメクジ,君も賭けてたんだ……ぬかりないね
ウサギ,ぐうう……っ！いでぇよぉ……！
カメ,だ、大丈夫かね？
トカゲ,なんか、ヤバイことになってやがる……
ヘビ,…………
ナメクジ,あ、戻った
ヘビ,どうやらヘビーなことになっちまったな！
カエル,このまま帰るわけにはいかんようだ
ナメクジ,ケガをナメたら危ないからね！
ヘビ,おいウサギ、足出せ
ウサギ,う……？
ヘビ,足に巻きついて止血！
ウサギ,うおっ！
カエル,さらに私の体から分泌したこの油を……
ナメクジ,ボクが傷口をはって塗りつける！
ウサギ,はうっ！ギンモヂイイッ！
キジ,こ、こりゃすごい！。ヘビ、カエル、ナメクジの三匹が、あっという間にウサギの傷を手当てしたぁっ！
ウサギ,ありがとう……助かったぜ……
カメ,よかったよかった、かけっこ相手としてホッとしたよ
ヘビ,なぁにいいってことよ！……全財産はパーになっちまったけど
カエル,元々無一文みたいなもんだろう
ナメクジ,そうそう！ゼロがゼロになっただけ！
ヘビ,ンだとォ！
トカゲ,普段はバラバラだが、いざという時のチームワークはすごいな……。三すくみ、恐るべし……！
第二話,三すくみになった理由
ヘビ,あぢぃ～！
カエル,こういう日は水浴びするに限るな
ナメクジ,二匹ともだらしないなぁ。このくらいの暑さでへばって
ヘビ,なんでお前、この中で一番暑さに弱そうなのにそんな強いんだよ！
ナメクジ,そりゃもちろん、普段からきちんと塩分を摂取してるからさ！
ヘビ,……どういうことなの
カエル,ナメクジ仲間が聞いたら呆れ返るに違いない
トカゲ,ケケケ……よぉ～、お前らも水浴びか？
ヘビ,まぁな。水浴びでもしなきゃやってられねえよ
トカゲ,しっかし、今も言い争ってたけど、相変わらず仲悪いな～。ほら、ドジョウとドングリを少しは見習えよ
ドングリ,ではお背中で転がります！
ドジョウ,あああ～～～～～～っ！！！
ドングリ,転がってます！転がってます！
ドジョウ,い、いい！すごくいいよ！坊ちゃん！
ヘビ,えええ……
カエル,仲がいいというか、なんというか
ナメクジ,ド変態プレイを楽しんでるようにしか見えないよね……
トカゲ,ところで、お前らってなんで三すくみトリオを結成したんだ？
ヘビ,ん～、なんでだっけ？
カエル,ずいぶん昔のことだからな……思い返すのも一苦労だ
ナメクジ,二匹とも覚えてないの！？記憶力悪いなぁ
ヘビ,どんなんだったっけ？
ナメクジ,ほら、最初は草むらでヘビとカエルが睨み合ってたんだよ
ヘビ,シャーッ！
カエル,…………
ヘビ,今からお前は俺に食われるんだ……諦めるこったな
カエル,…………
ヘビ,“蛇に睨まれた蛙”ってのはまさにこのことだなァ！
カエル,……帰っていいか？
ヘビ,えっ、いやいやいや、ダメだって！
カエル,まぁ、十分生きた。ここらでヘビに食われるのも一興か
ヘビ,お？ずいぶん往生際がいいじゃんか。長い物には巻かれろっていうしなァ！
カエル,ただし……
ヘビ,？
カエル,実は私は≪ヤドクガエル≫というカエルでな
ヘビ,なんだそりゃ？
カエル,私の体は自然界有数の猛毒に覆われている
ヘビ,え！？
カエル,もし、私を食えば……間違いなくお前も死ぬだろうな。自殺願望があるのなら、私を食うといい
ヘビ,…………ッ！。あれ？ひょっとして“蛙に睨まれた蛇”状態になっちゃってる？
ナメクジ,コラコラ、何をやってるんだよ！
ヘビ,！
カエル,……ん
ナメクジ,ケンカはやめて、仲良くしよう！
ヘビ,うるせえ、引っ込んでろ！。いっとくが、俺はお前なんか一飲みにできるんだぞ！
ナメクジ,ううっ……
ヘビ,まぁ、貝もねえ奴を食っても食いがいがねえから見逃してやるけどな！
ナメクジ,あ”？
ヘビ,え？
ナメクジ,誰に……貝がないって？
ヘビ,な、なんだよ
ナメクジ,どうせボクは貝がないよ……カタツムリじゃないよ……。だけど、だけど……ッ！。ナメてんじゃねえぞおおおおおおおおッ！！！！！
ヘビ,ひいっ！？
ナメクジ,サマーソルトキック！！！
ヘビ,げぼぉっ！
ナメクジ,いっつも塩なめてるから、ボクはそこらのナメクジとは一味違うぞ！
ヘビ,うぅ……塩だからサマーソルト……？いや、サマーソルトは宙返りって意味――。ぐぎゃあぁぁぁぁぁっ！！！。いてぇ……なんてヘビーな奴だ……
ナメクジ,ごめん……ボク、怒るとついああなっちゃって……
カエル,ふぅ……二匹とも
ヘビ,な、なんだよ……
カエル,一杯どうだ？生き返るぞ
ナメクジ,お酒！？飲む飲む！
ヘビ,……もらおっかな。ぷはーっ！うめえ！
ナメクジ,うん、おいしい！塩とよく合うよ！
カエル,井戸でじっくり熟成させた極上の一品だ
ヘビ,よぉ～し、ここらで俺の脱皮芸を披露してやるか！
ナメクジ,いいぞーっ！
カエル,……ふっ
ナメクジ,――こんな感じだったかな
ヘビ,あ～、そうそう！
カエル,懐かしい思い出だ……
トカゲ,……っていうかさぁ
ヘビ,どした？
トカゲ,今の話聞いてると、お前らって三すくみというより――。ヘビが最弱なんじゃねえか？カエルにもナメクジにも負けちゃってるじゃん
ヘビ,…………！。バッ……バッカ！ちげーよ！違うんだって！。違うの！今の話だと俺はたしかに最弱っぽいかもしんないけどさ。ほら、あれだよ。あくまで手加減……手足ないけどとにかく手加減してたの！。人間どものアニメで猫とネズミが仲良くケンカするって物語があるけど。あれも実は猫が手加減してるって説もあるし、そういうアレなんだよアレ！八百長的な！。俺が本気出したらカエルもナメクジも一飲みだから！丸飲みだから！がぶ飲みだから！。だからほら……とにかく、ほら、分かるでしょ！？俺のいいたいこと分かるよね！？
トカゲ,めっちゃ早口なんだけど
ヘビ,全然早口じゃないから！いつもこんぐらいのスピードで喋ってるから！シャーッ！
カエル,…………
ナメクジ,…………
カエル,その通りだ。我々二匹は、ヘビに生かされてるようなものだ。本当に感謝してる
ナメクジ,そうそう！ありがとう！
ヘビ,お、お前たち……！。俺に手があったら、握手したいところだ……
カエル,そんなヘビだから、きっと巣穴まで我々を背中に乗せて運んでくれるんだろうな
ナメクジ,優しいなぁ～
ヘビ,そうそう！俺、優しいから！。じゃあ乗ってけドロボー！
ナメクジ,しゅっぱーつ！
カエル,ふぅ……おかげで自分で歩かずに済む
トカゲ,……ま、ああいう三すくみもアリかもな
第三話,メダカの学校
ヘビ,……え、俺たちが生徒に授業を？
メダカ先生,はい、あなたたち三すくみはこの辺ではすっかり有名ですから。ぜひお願いできたらと思いまして……
ナメクジ,いいじゃない、やろうよ！
カエル,たまにはこういう経験もよかろう
メダカ先生,ありがとうございます！
