男子の集団,おい、おまえら
まる子,何さあんた達、見ない顔だね
男子A,今から野球（三角ベース）やるんだよ。邪魔だからそこどけ
城ヶ崎,はあ？何言ってんのよ
冬田,私たちが先に遊んでたのに……
笹山,本当、酷い……
男子B,ああん！？
男子C,何か文句でもあんのかよ！
城ヶ崎,あるわよ！
まる子,大ありだね！
たまえ,ちょ、ちょっと、まるちゃん、城ヶ崎さん……！
まる子,あんた達ね、いきなり割り込んできて何なのさ！
男子A,野球やるからどけっつってんだよ
城ヶ崎,先客がいるんだから他あたりなさいよ！
男子B,女子の遊びなんて隅っこで十分だろ？
男子C,そうだそうだ
男子D,井戸端会議でもしてろ！
まる子,ふざけるんじゃないよ！野球なら広い校庭ですりゃいいじゃん！
男子A,うるせえ、学校はサッカーやってて使えねえんだよ！
かよ子,どうせ杉山君と大野君がいるから怖くて口出せないんでしょ
冬田,大野くん……///
城ヶ崎,図星みたいね
まる子,かぁ～、だからってか弱い女子に噛みつくなんて、清水の男が廃るねぇ
キートン,あんたは図太いだろ
男子A,ゴタゴタうるせえ奴らだな！出ていかねえならこうだ！
たまえ,きゃー！
かよ子,あわわっ
城ヶ崎,危ないじゃないの！
まる子,あんた達いい加減にしなよ！大人呼ぶよ！
男子A,でました女子お得意の他力本願～
男子B,チクリ魔チクリ魔～
男子C,俺達キャッチボールしてるだけだもんね～
男子D,早くどかないと当たっちゃうぞ～
城ヶ崎,野球やる奴らって何でこう横暴なのかしらっ！
男子A,ま、女どもには到底理解できない高度なスポーツだからなー
男子B,そうそう、男にしか出来ない複雑な競技だもんなー
城ヶ崎,何よ、野球ぐらい私達にだって出来るわよ！
まる子,そうだよ！あんた達みたいなバカ面にも出来るんならあたしらにも出来るね！
男子達,なんだとぉ……！
笹山,二人共、落ち着いてっ
男子A,おもしれえ、そこまで言うなら実際に証明してみせろ！
男子B,そうだな……１週間ぐらいの猶予はやるよ。それでここの使用権利を賭けて勝負ってのはどうだ！
まる子,臨むところだよ！
たまえ,まるちゃん……
男子C,逃げてもいいぜ～？その時は敗北と見なして俺達がずーっと占拠するけどな！
城ヶ崎,誰がっ……！
かよ子,な、何だか大変なことになっちゃったね
たまえ,うん……
笹山,私、野球知らない
冬田,私も
かよ子,私は、その、杉山君とキャッチボールしたことはあるけど……///
キートン,アニメ540話杉山君とキャッチボールの巻参照
まる子,実はあたしもよく知らないんだよねぇ……よくお父さんが観戦してるのは見かけるけど
城ヶ崎,か、簡単よ。投げて叩いて点を取ればいいのよ！。とりあえず棒状の物を探しましょ
たまえ,なかなか良さそうな物見つからないねえ
笹山,浜崎くん達から貸してもらうのはどうかな？
まる子,ダメダメ、あいつらケチだから絶対無理だよ
キートン,何もあんたに言われたくはない
かよ子,じゃあ、すすす杉山君！///
冬田,大野君……///
キートン,まーた、この人達は……
城ヶ崎,それだけは嫌よ、男子になんて頼み込みたくないわ
かよ子,これ、どうかな？バットらしくて使えると思うんだけど！
まる子,かよちゃん、それビール瓶だよ……
たまえ,確実に血まみれになるね……
かよ子,あぁ……
まる子,ちょっと、おっちょこちょいにも程があるよ
一同,うん
かよ子,私って一体……
城ヶ崎,ねぇ皆、グローブの事なんだけど、鍋つかみはどうかしら
一同,鍋つかみ！？
まる子,確かに、それらしいと言えばそれらしいかねぇ
笹山,でも、お母さんに叱られないかな
城ヶ崎,すぐ洗濯してすぐ乾かせば大丈夫よ
冬田,嫌よ、お料理の時に使う物なのに、汚すなんて嫌！
城ヶ崎,じゃあ、ウチのを使うと良いわ。余分にあるから
まる子,この人本気だよ。何がなんでも勝つつもりだね……
キートン,まる子よ、責任者としての自覚はないのか
まる子,あっ、佐々木さん、こんにちは
佐々木,おや……まるちゃんに皆、こんにちは。今日はやけに大勢だねぇ
まる子,そうそう佐々木さん、何か棒状の物知らない？
佐々木,棒状の物？はて……。なるほど、それは面倒な事になったものだねぇ
たまえ,うん、本当に……
佐々木,……何故だろうねぇ
一同,え？
佐々木,なぜ、野球のバットは木製なのだろうねぇ。テニスや卓球ならまだしも……あんなに硬いボールを木にぶつけるなんて狂気の沙汰だと思わんかね
一同,はあ……
佐々木,剛速球で粉々にへし折れた時なんて目も当てられん。ワシは甚だ遺憾に思っとるよ……
♪,佐々木のじいさんの木の生命力をたたえる歌
まる子,その、佐々木さん……木の尊さは痛いほど分かったけどさ
佐々木,ああ、そうじゃった。孫が昔使っておったから、それを持っていきなさい
まる子,思わぬところで手に入ったね
城ヶ崎,じゃあ早速、特訓しましょ！
冬田,まず何をどうすればいいの？
笹山,私も全然分からない……
かよ子,ま、まずは基本のキャッチボールやってみよう！
まる子,お、いいね～さすが経験者
かよ子,えへへっ///
まる子,じゃ、かよちゃん行くよー
かよ子,あわわわっ（高い高いっ）
笹山,そっか、あんな風にすれば良いのね
たまえ,ち、違うと思う。ちゃんとグローブで捕らなくちゃ……
城ヶ崎,点を取るにはボールを飛ばさないと……やっぱり打つ練習よ！。じゃあ、さくらさん、遠慮せず投げて
まる子,とりゃ
城ヶ崎,えいっ
一同,おおおおおおおお
まる子,凄いじゃん城ヶ崎さん！ありゃ完璧ホームランだよ！
城ヶ崎,ホームラン……///
冬田,これなら男子に勝てるかも！
たまえ,うん、いけるね！
まる子,さあ、みんなも城ヶ崎さんを見習って練習だよ！
一同,おー！！
城ヶ崎,今の感触、気持ちよかった……
笹山,えいっ！
たまえ,また空振り……
冬田,城ヶ崎さん以外まったく前に飛ばせないなんて……
まる子,城ヶ崎さん、ここはひとつ、コツか何か教えとくれよ
城ヶ崎,へ？え～っと……。バッと来たのをグッと待ってはボンと打つ
たまえ,何か抽象的というか
冬田,内容が要領を得ないわね
笹山,やってみる
まる子,だぁ～もうっ、全く当たりゃしないよ！どうなってんのかね！
たまえ,まるちゃん……。まるちゃん落ち着いて。もう一度みんなで良い案を考えよう！
冬田,えいっ
笹山,えいっ
かよ子,ええいっ！
一同,あっ！
かよ子,かすった……
？？？,飛びやしない、飛びやしないよ
城ヶ崎,だ、誰！？
？？？,慣れないうちは短く持ちな
一同,……！
？？？,目を瞑ってちゃ打てやしないよ……
まる子,あ、あんた……
一同,野口さん！？
野口,ふんっ……
まる子,痛たたたた！
野口,クックックッ、捕っただけでも大したもんだよ。一つ言うなら、利き手は後ろに据えときな……ファールチップで大怪我するよ
城ヶ崎,あ、あんなに精密な投球ができるなんて……
笹山さん,野口さんすごい！
まる子,こりゃもう百人力だよ！
冬田,でも、野口さんが野球できるなんて意外ね
たまえ,うん！器用なのは知ってたけど
野口,伊達に箕島恨んでないよ
一同,？？？
野口,それはそれとして、問題は打撃だね。はっきり言ってあんたら論外だよ
一同,……
城ヶ崎,そもそも、いつから見てたわけ？
野口,最初から居たよ
一同,えぇ！？
野口,初めは様子見で終わるつもりだったけど。あんたらの気概が本物っぽいから出てきてあげた……それだけ
たまえ,じゃあ、私達に打撃を伝授してくれるの！？
野口,さあ、どうだろうね
まる子,ちょっとあんた……
野口,プッ……冗談だよ。一応、この場に適当なキーアイテムを持ってきてあげたよ
一同,バドミントンの羽に……突っ張り棒（日用伸縮棒）……？
まる子,アルミホイルまで
たまえ,野球とは関係なさそうだけど……
城ヶ崎,こんな物で上手くなれるっていうの？
一同,す、凄い……あんな小さな羽を……
野口,ただ単に一本の線を意識して振り抜いただけだよ。あんたらがやってるのは闇雲なダウンスイング。しかも間合いも糞もないドアスイング(大振り)。現時点じゃ空振り凡打の嵐だね
ダウンスイングのメリットとしては、ボールを地面に叩きつけてゴロにしやすい事。,特に軟球は跳ねる為
そもそもは、かの王貞治が畳の上でダウンスイングを黙々行っている様子、また日本刀で紙を斬る様子,極端なアッパースイングを矯正する為の反復練習
野口,物理的に考えると、結局は凸面(点と点)の衝突なわけだから、軌道を線に置き換えて、バットの中心に当てる感覚を養わせればいい話……
笹山,バットの幅を狭めることで、凸面のどの部分に当たっているのかがより明確化するのね
野口,通常バットでも効果はあるけどね
