雪歩＝白子,しろこ
雪歩,でも、キャッチコピーって難しそう…
律子,できるだけ短い言葉で人物や商品を表現しなきゃダメだからね
千早,だけど私、やってみたいの。少しでもみんなとの距離を縮めるために…
あずさ,千早ちゃんがそこまで言うのなら…
やよい,お任せしますぅ！
千早,ありがとうプルプル姉さん、そしてもやしちゃん…
あずさ,い、いえいえ～
やよい,ど、どういたしまして…
千早,順番は前回と同じ（>>4の並び順）でいこうと思うのだけれど
亜美,いいよ→
真美,かっちょいい付けてよね、千早お姉ちゃん！
千早,任せておいて、マミーポコ
真美,う…
美希,あんまり期待できそうにないの…
千早,では、すってんリボンから始めましょうか
春香,よ、よろしくね
千早,転ぶ、それにリボンはニックネームに使用したから…
雪歩,他に春香ちゃんの特徴や趣味といえば…
千早,すってんリボンはお菓子作りが得意だわ
春香,ま、まぁね…
千早,お菓子…甘い…
律子,なぜか連想ゲーム風なのよね…
千早,名字は天海…
真,名字まで使うんだね…
千早,甘味たっぷり！すってんリボン
春香,えっ！？
響,天海と甘味をかけてるん…だよね？
千早,そうよ、琉球アニ丸
やよい,美味しそうですぅ
春香,えっと…
千早,お気に召さいなかしら…
春香,そ、そんなことないよ！とっても私らしいと思う！
千早,そう。良かった
真,思ったよりマトモな感じだけど…
伊織,まだまだ油断するのは早いわ
千早,お次はもやしちゃんね
やよい,よろしくお願いしまーっすぅ！
千早,もやしちゃんは…元気に飛び跳ねるイメージなの。ぴょんぴょん、って
貴音,それには同意いたしますが…
千早,ぴょんぴょん…
亜美,ぴょんぴょんは決定したっぽいね…
千早,やよい…弥生…３月…
真,え？え？
千早,３月だぴょん！もやしちゃん…
やよい,えっ！？
美希,もうすぐ４月も終わりなの
伊織,なんか…旬を過ぎた食材みたいね…
千早,どうかしら、もやしちゃん？
やよい,う…うぅ…
響,やよい
律子,もう分かるでしょ？
やよい,う、うっうー！とっても元気で可愛らしいですぃ！
千早,ふふ…やっぱり、もやしちゃんにピッタリだったようね
貴音,どの辺りが"やっぱり"なのでしょう…？
千早,今日は調子がいいみたいね。どんどん行きましょう
伊織,つ、次は私ね
千早,ピンク嬢は…ツンデレキャラを前面に押したいわ
律子,仕事モードのときはツンデレじゃないんだけどね…
千早,ツンデレ…ツンツン
小鳥,さっそく嫌な流れに…
千早,デレデレ…
あずさ,あら～？
千早,ツンツンデレデレツンデレレピンク嬢…
伊織,えっ！？
小鳥,雨雨権藤雨権藤みたいなノリね…
真美,最後のデレレに無理やり感が漂ってるね…
千早,どうかしら？
伊織,ど、どうかしらって言われても…
やよい,伊織ちゃん
亜美,大人になろうよ、いおりん
伊織,ぐ…ま、まぁまぁじゃない？
千早,良かった…
雪歩,先行きが不安だよぅ…
千早,お待たせ、凛太郎
真,う、うん…
千早,凛太郎は…イメージカラーを押し出したいわ
春香,真のイメージカラーは黒だよね？
千早,ええ…黒…夜…闇…
真,ちょ…
亜美,何やら恥ずかしい流れに…
千早,王子さまキャラ…王子…太子…
響,ま、まさか…
千早,闇太子凛太郎…
真,えっ！？
律子,うわぁ…
小鳥,うわぁ…
春香,こ、これはけっこうキツいね
亜美,亜美、恥ずかしくなってきた…
千早,凛太郎らしいクールなキャッチコピーが出来たわ
真,えっと…そう…だね…はは…
美希,こんなにテンションの低い真クンは初めてなの…
千早,さぁ、お次は白子ちゃんね
雪歩,よ、よろしくね、千早ちゃん…
千早,白子ちゃん…特技は穴掘り…
律子,すでにアイドルらしくないわね…
千早,実家は何らかの会社を経営している…
響,アイドルと何の関係もないぞ…
千早,萩原掘ーるディングス白子ちゃん…
雪歩,えっ！？
春香,ほ、掘ーるディングス？
律子,ホールディングスとかけてるみたいね…持株会社のことだったかしら？
響,わ、分かりにくいさー…
千早,どうかしら？
真,あの"どうかしら？"って困るよね…
伊織,まったくよ…
雪歩,い、良いと思うな！とっても！
千早,ふふ…覚えたての言葉を使ってしまったわ…
小鳥,できたら使わないでほしいわ…
千早,私には歌だけだと思ってたけど……、それは間違いだったみたいね」（ﾆｯｺﾘ。お次は…月麺着陸ね
貴音,お手柔らかに…
千早,月麺着陸は…どんなときも自分のペースを崩さないわ。私も見習わなきゃ…
伊織,あんたも似たようなものよ…
千早,一人称はわたくし…
小鳥,ついに一人称にまで魔の手が…
千早,わたくし立月麺着陸…
貴音,なんと！？
雪歩,"わたくし立"って…私立のことかなぁ？
千早,その通りよ。さすがだわ、白子ちゃん
雪歩,あ、ありがとう…
千早,どんなときでも自分の流儀を貫く、月麺着陸らしいキャッチコピーだわ
貴音,そ、そうなのでしょうか？
千早,ええ、そうよ
貴音,なるほど…そうなのですね…
律子,なんで納得してるのよ…
千早,琉球アニ丸、お待たせ
