第一話,転んだのは誰？
男,あんたが……金さえ払えばどんな奴も転ばせるっていう転倒屋か？
転ばし屋,転倒屋じゃない……“転ばし屋”だ。本来なら、“ころばし”は全て平仮名にすべきなんだろうが……。俺はしょせん模倣だからな。漢字を混ぜて“転ばし”にさせてもらっている
男,なんの話だかさっぱり分からん……
転ばし屋,立ち話もなんだ。あんたも腰かけてくれ
男,あ、ああ……。仕事の話に入る前に、聞いておきたい
転ばし屋,ん？
男,人を転ばせるって……具体的にどうやって転ばせるんだ？
転ばし屋,企業秘密だからあまり詳しくはいえんが、色々と方法はあるぞ。一番多いのは、頃傷力を抑えた改造銃で足を撃って転ばせる方法だな。オリジナルの“ころばし屋”も、拳銃を武器にしてるしな。だが、場合によってはロープ、油、氷などを使うこともある
男,なるほど……臨機応変にやってるってわけか
転ばし屋,自己紹介はこんなところでいいか？さっそく標的から聞かせてもらおう
男,標的は……こいつだ。俺はマラソン選手でな。こいつは俺のライバルといっていい存在だ。こいつを……次のレースで転ばせて欲しい
転ばし屋,理由は？
男,次のオリンピック、代表選考は熾烈な争いになるのは間違いない。今度のレースは、その行方を占うレースともいわれている。だからここで、ライバルを転ばせて出鼻をくじき、代表を確実に勝ち取りたいんだ！
転ばし屋,…………
男,やってくれるか？
転ばし屋,ああ、金さえもらえれば、な……。ただし、あんたがオリンピック代表になれるかまでは保証しないぞ
男,分かってる。こいつさえ調子を崩してくれれば、俺は間違いなく代表になれる！
実況,さぁ、ついに始まりました！。このマラソン大会は、オリンピック代表の行方を占うレースともいわれており。どの選手の表情も真剣そのもの！絶対優勝するという気迫が伺えます！
男,…………
ライバル,…………
実況,レース中盤に差し掛かり、男選手とライバル選手がデッドヒートを繰り広げています！。どうやら今回のレース、優勝を争うのはこの二人になりそうだ！
男,やはり、ライバルとの一騎打ちになるか……
ライバル,はっ、はっ、はっ……
男,こいつは後半からが強い。俺がライバルに負ける時は、いつも30kmを過ぎたあたりからの競り合いで負けてた。だが――。ここだッ！このレース終盤の勝負どころに奴を配置しておいた！。頼むぞ、転ばし屋！
転ばし屋,…………。狙いは……左足のヒザ！
ライバル,――うっ！？
実況,あーっと、ライバル選手、まさかの転倒！。この終盤での転倒は非常に痛い！果たして巻き返せるのでしょうか！？
男,よくやった、転ばし屋！
実況,男選手、そのまま一位でゴールだァ～～～～～！
男,やったぁ！！！。このレースを制した勢いで、絶対代表になってみせる！
転ばし屋,…………
ライバル,うっ、うっ、うっ……！
監督,アクシデントは仕方ない。また次のレースで頑張ろう……
男,あんなに泣いてる……
記者,このたびは優勝おめでとうございます！素晴らしい走りでした！
男,あ、ありがとう……
記者,これでオリンピック代表にうんと近づきましたね！
男,え、ああ……そうですね……。…………。うっ！。うう……ううう……。あああっ！！！。またあの夢か……！。ライバルが転んだ瞬間が、泣いてる顔が、毎日のように夢に出てくる……！。あのレースの時、俺だって調子は悪くなかった。転ばし屋に頼らなくても、勝てる見込みは十分あったのに……
ライバル,おーい
男,！
ライバル,前のレースはこけちまったけど、今日のレースは負けないからな！
