週刊ストーリーランド第xx話,勝てるグローブ
斎藤,ああ、俺のプロ野球人生このまま終わってしまうのかな・・・？。ばあさん、こんなとこで何してるの？
老婆,・・・・・・
斎藤,あっ、メガホン売ってるんだ。・・・ん？勝てるメガホン・・・？。ねえ、この勝てるメガホンって普通のメガホンとどう違うの？
老婆,・・・それは、お買いになった方だけがわかるのでございます
斎藤,ふぅーん・・・で、いくらなんだい？
老婆,五百円でございます
斎藤,おっ安いじゃん、買うよ
老婆,お買い上げありがとうございます
斎藤,・・・勝てるメガホンということはおそらくこのメガホンで応援したチームが勝てるっていうことなんだろうな。そうだ、これが本物かどうか高校野球の試合を見に行って確かめてみよう。すごい、すごいぞ！。このメガホンを使えば絶対試合に勝てるんだ。でも待てよ・・・。俺が試合に出るのにこのメガホンを持ってても意味ないよな。誰かにこのメガホンで応援してもらわないと・・・。そうだ！俺の熱狂的なファンにこのメガホンをプレゼントすればいいんだ。勝てる！勝てるんだ！
実況,あーっと！これも抜けた！。斎藤この回5失点です！・・・そしてベンチから栗山監督が出てきます。ピッチャー交代のようです
斎藤,・・・なぜ？なぜだ？
実況,これで7連打！ファイターズ打線止まりません！
斎藤,ここにきて急に打線が繋がり始めたな・・・
実況,入ったー！ファイターズ、サヨナラ勝ち！8点差をひっくり返しました！
斎藤,ちくしょー・・・あのばあさんに騙されたよ・・・。あっ、いたいた。おい、ばあさん！あのメガホン全然役に立たないじゃないか！
老婆,・・・
斎藤,もっとこう俺個人が活躍できるようになる商品売ってないの？。んっ？勝てるスポーツドリンク？。これなら俺自身がパワーアップできるかもしれないな、いくら？
老婆,千円でございます
斎藤,・・・よし、買うよ
老婆,お買い上げありがとうございます
斎藤,勝てるスポーツドリンクかあ・・・。とりあえず飲むのは試合の日にしたほうが良さそうだな。・・・(すごい、すごいぞ！全身から力が漲ってくるようだ！これなら絶対勝てる！！)
実況,三振！！試合終了！！。斎藤佑樹、ノーヒットノーラン達成です！！
斎藤,ノーヒットノーランを達成できたのはいいんだけど勝てるスポーツドリンクは全部飲み干しちゃったなあ・・・。そうだ、ばあさんにまた勝てるスポーツドリンクを売ってもらおう。あっ、いたぞ。おーい、ばあさん！。あのスポーツドリンクすごい良かったよ
老婆,それは良うございました
斎藤,あのスポーツドリンクもう1本売ってよ
老婆,勝てるスポーツドリンクはもうございません
斎藤,・・・えっ、ないのかよ・・・せっかく良い商品だったのに。・・・・・・？勝てる・・・グローブ？。なんだ、良さそうなもの売ってるじゃん。ばあさん、これいくら？
老婆,・・・百万円でございます
斎藤,・・・えっ、ちょっと高すぎない？
老婆,高いか安いかはお客様の考え方次第でございますので
斎藤,・・・。わかったよ、買うよ・・・
栗山監督,斎藤、もし今日結果を出せなければ・・・。覚悟を決めておいてくれ
斎藤,・・・。本当に大丈夫かな？。んっ、なんだ？。えっ、どういうことだ？
実況,あーっと！平凡なフライかと思われましたがライトが後逸！。バッタランナー、3塁も回ってホームに突っ込んでくる！。ランニングホームラン！ファイターズ勝ち越しに成功しました！
記者,斎藤さん、今年は素晴らしい活躍でしたね
斎藤,まあ、僕が本気を出せばこんなもんっすよ
記者,やはり斎藤さんの活躍があったからこそチームが優勝できたと思うんですがいかがですか？
斎藤,そりゃ当然っすよ、僕がいなきゃ優勝はできなかったでしょうね。この勝てるグローブがあれば近々青山に土地も買えるなあ。田中を追い越すことだって簡単だ。今まで俺のことを馬鹿にしてきた奴らをみんな黙らせてやるぜ・・・
チームメイトA,斎藤の奴、キャンプが始まっても全然真面目に練習してねえしちょっと調子に乗りすぎだろ
チームメイトB,ああ、感じ悪いな
コーチ,おい斎藤！また今日も遅刻か、いい加減にしろよ！
斎藤,大丈夫っすよ、僕は今年25勝しますから。去年の僕の活躍見てたでしょう？僕がちょっと本気出せばあれくらい朝飯前なんですから
コーチ,・・・・・・
栗山,斎藤、頼んだぞ
斎藤,もちろんっすよ、僕が負けるはずないじゃないですか。安心して見ててくださいよ
ファンA,何が25勝だ！失せろポンコツ！！
ファンB,とっとと辞めちまえ！！
ファンC,消えろゴミクズ！！
