主人公,おい、そこまでにしておけって。
コラッタ,ゴールドさん！聞いてくださいよ、こいつの…
ゴールド,聞いていたとも。そいつに絡むのはそこまでだ。
オタチ,ですが親分…
ゴールド,そこのポケモンセンターのナースさんが、俺たちのためにクッキーを焼いてくれたそうだ。お前らの分もあるから早く行け。
二人,行ってきますとも！
ワニノコ,…
ゴールド,いつまで黙っているんだお前は。
ワニノコ,ありがとうござ―
ゴールド,はん、勘違いするな。助けたわけじゃない。これ以上、お前の醜態を見たくなかっただけだ。
ワニノコ,…そうかい。
ゴールド,傍から見ていてそうだったが、話してみても気分が乗らねえ奴だな。まあいいさ。お前も早く寝ろよ。“一応”、主役格なんだからな。
プレイヤー,おや、こんな時間か。もう寝るとするかな。
オタチ,親分！一つ聞かせてもらってもいいでしょうか？
ゴールド,…なんだ。
オタチ,親分を動かしている“奴”は、このゲームを前にやったことがあるんですかい？
ゴールド,どうしてそう思うんだ。
オタチ,だって、“奴”はマップを把握していないにしても、このゲームのやり方は熟知しいていると言っても過言ではない腕前ですよ。親分も“奴”に操作されている身ならわかりやすよね！
ゴールド,…
コラッタ,お前！親分に何ていうことを言うんだ！親分はな、好きで“奴”に身体を動かされているわけじゃないんだぞ！
オタチ,あいたっ！ごめんなさい親分。
コラッタ,お前の質問にはこの俺様が答えてやろう！ずばり、俺たちも“奴”も実は同じ世界にいる、ってのはどうよ？
ワニノコ,…
ゴールド,…
オタチ,おいおい！なんだよそりゃ。
コラッタ,詳細はこうさ。この世界では、俺たちプログラムと“奴等”は違う世界に住んでいると考えられているだろう。しかし実際は違うのさ。実は、“奴”はこの世界へ自由に出たり入ったりできて、俺たちの目の届かない場所でこの構造を学んでいたってわけさ。
オタチ,難しいことを言われて整理が…あれ？だとするとよ、どうして“奴”は自分で旅をしないんだよ？
コラッタ,それは、疲れるからだろうよ。旅なんて総じて疲れるって相場が決まっている。
オタチ,お前！旅をしている親分になんてことを！親分は好きで旅をしているわけじゃないんだぞ！
コラッタ,あいた！ごめんなさい親分。
ゴールド,…どいつもこいつも。
ハヤト,くそっとうさんからもらったポケモンが！。あんたがこのゲームの主人公のゴールドかい。俺の名前はハヤトだ。知っているだろうけど。まあ、同じプログラム同士仲良く…
ゴールド,あー、終わった終わった。お前らさっさと出ろ。
オタチ,おいーす。
コラッタ,お疲れさんです。
ワニノコ,…
ゴールド,出たみたいだな。じゃあ自由解散で。“奴”が入ってくるまでちゃんと戻っていろよ。
ハヤト,お、おい。ゴールド、どこへ行くんだ。
ゴールド,ちっ。切らしたか。
ハヤト,おい。お前は未成年だろ。これは取り上げだ。
ゴールド,おいおい。プログラムに年齢なんてないんだぜ？
ワニノコ,…規定だよ。お前の年齢は16歳と設定で決められているから。
ゴールド,てめえも来てたのか。…ちっ。胸糞悪いな。
ハヤト,おいゴールド！
ワニノコ,ハヤトさん、いいよ。俺が悪かったんだ。
ハヤト,何を言っているんだ！勝手に出て行ったのはゴールドだろ！ゴールドを連れ戻して…
ワニノコ,いいんだよ。ありがとう、気持ちだけ受け取っておく。
ハヤト,…
ハネッコ,（わたしやまびこよ。よろしく。）
オタチ,（うひょー！♀の子だー！俺、こもの１っていうんだぜ！）
コラッタ,（よろしくっす。自分、こもの２って言うっす。）
ワニノコ,（よろしく。）
ハネッコ,（よろしく。ゴールドさんだったかしら。あなたもよろしく頼むわね。）
ゴールド,…
ワニノコ,（あいつは今話すことができないね。）
ハネッコ,（あら、そうだったの。ボール内のポケモン同士しか話すことができないなんて不便なものね。まあ“奴”が居なくなるまで待とうかしら。）
プレイヤー,ふぅ。休日の朝からやるんじゃなかったなぁ…目が痛い。
ゴールド,ハネッコ。いや、やまびこだったな。
ハネッコ,ええ、そうよ。これからよろしく。
ゴールド,ああ。
ハネッコ,とりあえず。
オタチ,なんだよ？
ハネッコ,臭うわね、あなた。
オタチ,え…3日前に体を洗ったはずなのに。
ハネッコ,あなたじゃないわよ。あんたよ、あんた。
ゴールド,言っておくが体は…
ハネッコ,3日前でしょ。違うわよ、服から臭いがするの。
ゴールド,そういえば服は洗っていなかったな。
ハネッコ,正直言って、私は吸わないからその臭い、嫌いなの。
ゴールド,…もし俺がその臭いを好きだったらどうするんだ。意見の対立だぞ。
ハネッコ,意見の違いというより、考え方の根本的な違いね。仲間の一人として悲しく思うわ。
ゴールド,仲間？おいおい、誰と誰とがだ？
ワニノコ,おい、もうこの話は終わりにしよう。
ゴールド,でたなお邪魔虫が。せっかくで悪いが、まだ話の途中だ。そうだろう？
ハネッコ,ええ、そうね。
オタチ,オロオロ」コラッタ「オロオロ
ワニノコ,せっかくやまびこが仲間になったんだ。お互いにいがみあうのは一旦止めて…
ゴールド,仲間、仲間と煩いな！！
全員,！
ゴールド,この際だから俺の意見をお前らに伝えておく。俺たちは仲間なんかじゃない。ゲームの外から見れば、俺はお前らのマスターとして旅をしている主人公だけど、こんなのは只のツアー観光と何ら変わりはない。いや、寧ろそれ以下だ。。お前らが言う仲間という言葉の定義が、“同じ事柄を行う集まり”だったとしたら、俺は何も言わない。そこに情けなどというものはないからな。だけど、お前たちは明らかに、今俺が言った定義以上の意味でそれを使っている。これ以上その言葉を使うな。俺の言いたいことは以上だ。
ハネッコ,な、なんなのよ。
オタチ,…は！おい、ワニノコ！お前なに親分を怒らせてんだよ！！
コラッタ,そうだそうだ！お前責任とれよ！
ワニノコ,…はぁ。随分と舌が回るじゃないか。
ゴース,この旅に参加させていただくことになりました。以後よろしくお願いします。
ゴールド,一つだけ質問がある。
ゴース,なんなりと。
ゴールド,どうしてお前の名前はゲンガーなんだ。
ゴース,さあ。どうしてでしょうか。
ワニノコ,…
ゴールド,…なんだ。お前もいたのか。
ワニノコ,…
ゴールド,どうしてこんなところにいる？ひたすら同じ方角しか見てないところをみると、なんだ、あっちで裸踊りでもやってるのか？
ワニノコ,…
ゴールド,まあ、なんだっていい。俺には関係ないことだしな。隣座るぞ。
ワニノコ,…綺麗だと思わないか。
ゴールド,はぁ！？ゲホッ！ゲホッ！…てめえのせいで咽たじゃねえか！
ワニノコ,そんなに驚くことだったか？
ゴールド,おまえな…プログラム風情が綺麗だなんて、たとえ歯が無くなったとしても、そんな浮いたセリフは誰も言わねえよ。
ワニノコ,そうなのか？
ゴールド,当たり前だ。しかも周りを見ろ。草は方々に生い茂るわ、近くには爺さん婆さんが細々と切り盛りしているペットショップがあるや。…挙げたらきりが無いな。
ワニノコ,そんな一部分を見ているんじゃないさ。…例えば、お前の言っていた方々の草の隅に咲いている花。ほら、あそこに咲いている花だ。
ゴールド,…おいおい。その花を見る方が俺の言ったことよりよっぽど一部分を見ていないか？
ワニノコ,ほんの小さな一部分というのは総じて全体に繋がるんだよ。たとえばラーメンの具で例えると…あれ？話聞かないのか。
ゴールド,ああ、結構だ。お前といると俺の調子が狂うからな。お暇させてもらう。
ワニノコ,ここからが面白いところなのに。
