ひとよんで、,笑ゥせぇるすまん
孫悟空,無職
タイトル,バトルマニア
悟空,ふーっ、今日もトラクターで畑を耕すか・・・。毎日畑耕してチチのおつかいこなして・・・暇な時に修行して・・・。平和なのはいいんだが最近刺激的なことがねえなあ。クリリンも仕事が忙しいみてえだし。ベジータも家族との付き合いが忙しいって全然修行に付き合わねえし・・・。あーっ、なんか楽しいことねえかなあ・・・。やっべえ！ぼんやりしてたからぶっつけちまったんだ！。でぇじょぶかあ！
？？,ふーっ、ぼんやり歩いてたらトラクターにぶっかってしまいました
悟空,すんません！
？？,いえ、お気になさらずに。私こそ知らないうちに農地に入ってしまっていたようです
悟空,怪我がねえ様で何よりだよ・・・あんたけっこうタフなんだなあ
？？,ホホホホ・・・こう見えて体には自信があるのです
悟空,いつもはこんなポカしねえのに・・・。オラってばちょっとぼんやり考え事をしてたもんだから・・・
？？,ほう、何かお悩みなのですか？私、実はこういうものなのですが・・・
悟空,心のスキマお埋めします・・・喪黒福造
喪黒,まあ、ボランティアで人々の悩みを解決しているのです。私でよかったら相談に乗りますよ・・・孫悟空さん
悟空,な、なんでオラの名前を・・・
喪黒,ホホホ・・・天下一武道会常連のあなたは相当な有名人ですよ。知らない方がおかしいというものです
悟空,オラそんな有名なのか・・・
喪黒,戦いが相当お好きなようで・・・このような野良仕事をなさっているあたり・・・。最近は退屈なさっているのではないですか
悟空,そ、そうなんだよ！オラ、戦いがすごく好きなんだけどさあ・・・。最近つぇえ奴と戦えなくてウズウズしてんだ。もう暴れたくって暴れたくって仕方ねーんだ！
喪黒,バトルマニアというやつですね。よろしい、ここで出会ったのも何かの縁です。それではあなたを今夜素晴らしいところにお連れしましょう。今夜の１２時ごろにこの地図の場所にいらしてください
悟空,おもしろいとこなのか？。でも夜に抜け出すとチチがうるせぇんだ
喪黒,ホホホ・・・絶対に後悔はさせませんよ
悟空,わかったよ・・・なんとか抜け出してみるよ
喪黒,お待ちしておりますよ・・・
悟空,魔の巣・・・場所はここでいいみてぇだな・・・
喪黒,おまちしておりました、孫さん
悟空,うわあっ！いきなり出てきたらビビるじゃねえか！
喪黒,それでは中に入りましょう・・・私についてきてください
悟空,あ、ああ・・・。全然気配を感じなかったぞ・・・このおっさんただ者じゃねえな。おっす、オラ悟空ってんだ
マスター,・・・・・・
悟空,なんだよ、愛想のねえ奴だなあ
喪黒,ホホホホ・・・こういう方なんですよ
悟空,そんでよぉ、おもしれえとこってのはここなんかよ。オラ酒はあんまり好きじゃねんだけども・・・
喪黒,いえいえ、目的の場所はあちらです。あの先にとても素敵な場所があるのです。さあ、参りましょう
悟空,な、なんだここは・・・
喪黒,はい、ご覧のとおり地下闘技場です
悟空,すげえなあ・・・天下一武道会みてぇだ
喪黒,いいえ武術大会ではありません。こちらはあなたのように純粋に戦いを楽しみたいバトルマニアのための施設なのです。バトルをなさりたい方、バトルをご覧になりたい方。時空や時間を越え、いろいろな方たちがお集まりになります
悟空,へえ～、何かよくわかんねえけど楽しそうなとこだなあ・・・
？？？？,おや、喪黒・・・おまえが顔を出すなど珍しいな
喪黒,おや、エスデスさん・・・楽しんでいただけてますか？
エスデス,ああ、このような場所を紹介してもらって非常に感謝している。それで、そこの男は？新入りか？
悟空,あっ、オラ孫悟空っていうんだ。よろしくな、姉ちゃん
喪黒,なかなかの猛者ですよ。エスデスさんも気に入っていただけるかと
